# Table 1.
# Coordinates, period, amplitudes, mean magnitudes in gri, and distance for the 5 RR Lyrae stars in the DECam field.
ID,RA_deg,DEC_deg,Type,Period,Delat_g,g,Delat_r,r,Delat_i,i,dCar2,dH,e_dH,Var
# (deg),(deg),,(d),(mag),(mag),(mag),(mag),(mag),(mag),(`),(kpc),
MagLiteS_J073637.00-580114.4,114.15416,-58.02068,ab,0.6424,0.96,18.88,0.67,18.57,0.56,18.42,2.1,38.1,0.4,CarII-V1
MagLiteS_J073704.16-575334.4,114.26732,-57.89288,c,0.3654,0.58,19.56,0.39,19.31,0.30,19.21,7.3,47.6,0.6,
MagLiteS_J073645.85-575154.1,114.19105,-57.86502,c,0.4079,0.50,18.81,0.35,18.55,0.28,18.44,7.7,37.3,0.4,CarII-V2
MagLiteS_J073509.12-575714.8,113.78799,-57.95410,ab,0.7051,0.89,18.70,0.64,18.39,0.52,18.27,10.9,36.7,0.4,CarII-V3
MagLiteS_J073843.91-582645.9,114.68295,-58.44607,ab,0.6243,0.79,16.62,0.60,16.28,0.49,16.12,32.6,12.0,0.1,
