Name,Ion,Z,l_logepsX,logepsX,e_logepsX,N
BD +17 3248,Li I,3,<,0.2,,1
BD +17 3248,C-H,6,,6.00,0.15,
BD +17 3248,N-H,7,,6.20,0.20,
BD +17 3248,O I,8,,7.30,0.15,1
BD +17 3248,Na I,11,,4.19,0.04,4
BD +17 3248,Mg I,12,,5.90,0.10,3
BD +17 3248,Al I,13,,3.69,0.15,1
BD +17 3248,Si I,14,,5.95,0.11,6
BD +17 3248,Ca I,20,,4.68,0.06,19
BD +17 3248,Sc II,21,,1.17,0.05,5
BD +17 3248,Ti I,22,,3.23,0.09,13
BD +17 3248,Ti II,22,,3.27,0.13,19
BD +17 3248,V I,23,,1.86,0.01,2
BD +17 3248,Cr I,24,,3.45,0.06,5
BD +17 3248,Cr II,24,,3.69,0.09,4
BD +17 3248,Mn I,25,,3.02,0.15,2
BD +17 3248,Fe I,26,,5.44,0.08,139
BD +17 3248,Fe II,26,,5.42,0.09,24
BD +17 3248,Co I,27,,2.92,0.15,1
BD +17 3248,Ni I,28,,4.10,0.16,4
BD +17 3248,Cu I,29,,1.31,0.15,1
BD +17 3248,Zn I,30,,2.58,0.15,1
BD +17 3248,Ge I,32,,0.60,0.15,1
BD +17 3248,Sr I,38,,0.90,0.15,1
BD +17 3248,Sr II,38,,1.10,0.10,2
BD +17 3248,Y II,39,,0.04,0.05,11
BD +17 3248,Zr II,40,,0.76,0.14,19
BD +17 3248,Nb II,41,,-0.18,0.15,1
BD +17 3248,Pd I,46,,0.24,0.09,3
BD +17 3248,Ag I,47,,-0.28,0.11,2
BD +17 3248,Ba II,56,,0.44,0.11,6
BD +17 3248,La II,57,,-0.42,0.05,15
BD +17 3248,Ce II,58,,-0.18,0.06,22
BD +17 3248,Pr II,59,,-0.71,0.05,9
BD +17 3248,Nd II,60,,-0.07,0.17,40
BD +17 3248,Sm II,62,,-0.42,0.14,17
BD +17 3248,Eu II,63,,-0.67,0.05,9
BD +17 3248,Gd II,64,,-0.26,0.09,15
BD +17 3248,Tb II,65,,-0.91,0.05,5
BD +17 3248,Dy II,66,,-0.03,0.07,19
BD +17 3248,Ho II,67,,-0.70,0.17,3
BD +17 3248,Er II,68,,-0.20,0.06,7
BD +17 3248,Tm II,69,,-1.07,0.10,2
BD +17 3248,Os I,76,,0.45,0.10,2
BD +17 3248,Ir I,77,,0.30,0.13,3
BD +17 3248,Pt I,78,,0.67,0.07,5
BD +17 3248,Au I,79,,-0.3,0.30,1
BD +17 3248,Pb I,82,<,0.3,0.25,2
BD +17 3248,Th II,90,,-1.18,0.10,2
BD +17 3248,U II,92,,-2.0,0.30,1
