Name,Species,D_Teff,D_logg,D_Vmic,D_[Fe/H],e_tot
Car-1087,Fe I,+0.10,0.00,+0.08,+0.01,0.13
Car-1087,Fe II,-0.03,-0.02,+0.08,-0.01,0.09
Car-1087,Na I,+0.13,0.00,+0.06,+0.01,0.15
Car-1087,Mg I,+0.05,+0.02,+0.04,+0.01,0.07
Car-1087,Ca I,+0.08,+0.01,+0.02,+0.01,0.09
Car-1087,Sc II,+0.03,-0.02,+0.06,-0.01,0.07
Car-1087,Ti I,+0.17,+0.01,+0.08,+0.01,0.19
Car-1087,Ti II,0.00,-0.02,+0.08,-0.01,0.08
Car-1087,V I,+0.13,+0.02,+0.04,+0.01,0.14
Car-1087,Cr I,+0.18,+0.01,+0.09,+0.02,0.20
Car-1087,Mn I,+0.18,+0.02,+0.10,+0.02,0.21
Car-1087,Ni I,+0.07,+0.01,+0.03,+0.01,0.08
Car-1087,Ba II,+0.08,-0.04,+0.02,-0.01,0.09
Car-1087,Eu II,+0.04,-0.03,+0.02,-0.01,0.06
