#Spectroscopic Parameters (photometric gravities)
Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,logepsFe,e_logepsFe,Fe/H,sigma,N_FeI_lines,CaT
M68-6022,4550,44,1.53,0.04,1.50,0.12,4.99,0.02,-2.51,0.23,92,-2.16
M68-6023,4667,55,1.55,0.04,1.60,0.12,5.09,0.03,-2.41,0.24,92,-2.16
M68-6024,4650,56,1.61,0.04,1.80,0.12,4.86,0.03,-2.64,0.24,81,-2.16
Car-1087,4600,98,0.95,0.10,2.45,0.25,4.69,0.06,-2.81,0.34,38,-3.10
Car-5070,4550,81,0.83,0.10,2.30,0.20,5.35,0.05,-2.15,0.38,55,-2.57
Car-7002,4548,96,1.16,0.10,2.00,0.24,4.64,0.05,-2.86,0.33,38,-3.29
Car-484,4400,66,0.65,0.10,2.30,0.07,5.97,0.02,-1.53,0.21,114,-1.62
Car-524,4500,64,0.70,0.10,2.40,0.07,5.75,0.02,-1.75,0.21,121,-1.61
Car-612,4500,61,0.75,0.10,2.10,0.08,6.20,0.02,-1.30,0.23,126,-1.84
Car-705,4500,61,0.77,0.10,2.10,0.07,6.15,0.02,-1.35,0.25,127,-1.63
Car-769,4600,76,0.86,0.10,2.30,0.08,5.82,0.02,-1.68,0.25,125,-1.63
Car-1013,4600,105,0.75,0.10,2.20,0.11,6.20,0.03,-1.30,0.37,125,-1.58
