Star 1 DES J033447.94-540525.0 Ret2- 80 17.50 0.59 62.2 17 26 33
Star 2 DES J033523.85-540407.5          16.47 0.80 65.5 15 26 35
Star 3 DES J033531.14-540148.2 Ret2-115 17.57 0.56 59.7 25 40 48
Star 4 DES J033607.75-540235.6 Ret2-178 17.39 0.58 62.0 26 45 59
