MKV0397 -1.99 0.05 14 -2.80 0.17 1  ---   --- -  ---   --- - -2.86 0.17 1
MKV0458 -1.60 0.03 22 -1.77 0.14 1  ---   --- - -1.07 0.14 1 -1.16 0.10 2
MKV0514 -2.32 0.04 28 -2.66 0.23 1  ---   --- - -2.28 0.23 1 -3.31 0.16 2
MKV0556 -1.57 0.04 13 -1.36 0.11 2  ---   --- -  ---   --- - -1.17 0.21 1
MKV0577 -1.57 0.05 24 -1.51 0.26 1  ---   --- -  ---   --- - -1.23 0.26 1
MKV0596 -1.54 0.04 31 -1.39 0.21 1 -1.58 0.21 1 -1.06 0.21 1 -1.45 0.15 2
MKV0614 -1.57 0.04 22 -2.00 0.18 1  ---   --- - -1.56 0.18 1 -1.17 0.18 2
MKV0628 -1.67 0.03 28 -1.69 0.12 2 -1.60 0.17 1  ---   --- - -1.30 0.17 1
MKV0640 -1.73 0.04 31 -1.66 0.17 2 -1.59 0.24 1 -1.12 0.24 1 -1.00 0.24 1
MKV0652 -2.29 0.08 21 -3.03 0.36 1  ---   --- -  ---   --- -  ---   --- -
MKV0677 -1.75 0.03 27 -1.45 0.14 1 -1.86 0.14 1  ---   --- - -1.48 0.10 2
MKV0698 -1.48 0.02 19 -1.73 0.08 2  ---   --- -  ---   --- -  ---   --- -
MKV0708 -1.57 0.07 14 -1.60 0.25 1  ---   --- - -1.11 0.25 1  ---   --- -
MKV0729 -1.39 0.04 21 -1.09 0.19 1 -1.28 0.19 1 -0.84 0.19 1 -1.41 0.19 2
MKV0733 -1.64 0.05 19 -2.29 0.21 1  ---   --- - -1.49 0.21 1 -1.87 0.21 1
MKV0740 -1.20 0.09 20 -1.72 0.40 1 -1.46 0.40 1  ---   --- -  ---   --- -
MKV0743 -1.21 0.08 17 -1.55 0.32 1  ---   --- - -0.90 0.32 1 -1.30 0.32 1
MKV0770 -1.63 0.03 23 -1.65 0.14 1 -1.76 0.14 1 -1.22 0.10 2  ---   --- -
MKV0780 -1.78 0.05 32 -2.50 0.30 1  ---   --- - -1.99 0.30 1 -1.81 0.30 1
MKV0812 -1.34 0.03 10 -1.35 0.15 1  ---   --- -  ---   --- - -1.48 0.15 1
MKV0825 -1.43 0.03 29 -1.33 0.18 1 -0.96 0.18 1 -1.40 0.18 1 -1.17 0.18 1
MKV0840 -1.18 0.03 24 -1.24 0.15 1  ---   --- - -0.96 0.16 1 -0.93 0.11 2
MKV0842 -1.47 0.02 14 -1.76 0.16 1 -1.24 0.11 1 -1.21 0.42 1 -2.10 0.16 1
MKV0880 -1.58 0.03 36 -2.01 0.18 1 -1.42 0.18 1 -1.40 0.14 2 -1.56 0.18 1
MKV0900 -1.72 0.02 31 -1.84 0.12 1 -1.80 0.12 1 -1.66 0.12 1 -1.31 0.12 1
MKV0902 -1.99 0.02 22  ---   --- -  ---   --- - -2.71 0.18 1 -2.43 0.14 1
MKV0914 -2.51 0.07 17 -3.09 0.28 1  ---   --- - -2.74 0.28 1 -3.06 0.28 1
MKV0916 -1.51 0.05 16 -1.64 0.21 1  ---   --- - -1.33 0.21 1  ---   --- -
MKV0925 -1.55 0.04 20 -2.09 0.17 1  ---   --- - -1.12 0.27 1 -1.87 0.12 2
MKV0948 -2.04 0.04 20 -2.39 0.16 1  ---   --- -  ---   --- - -1.17 0.11 2
MKV0976 -1.24 0.06 16 -0.83 0.23 1  ---   --- - -1.55 0.23 1 -0.92 0.23 1
MKV1007 -1.39 0.06 21 -1.15 0.27 1 -0.89 0.27 1  ---   --- - -0.82 0.27 1
MKV1009 -1.75 0.04 32 -1.49 0.20 1  ---   --- -  ---   --- - -1.30 0.22 1
MKV1012 -1.60 0.04 26 -1.79 0.20 1 -1.62 0.20 1 -1.61 0.14 2 -1.43 0.14 2
MKV1061 -1.50 0.05 27 -1.53 0.24 1 -1.54 0.24 1 -1.01 0.24 1  ---   --- -
