Name,lambda,Species,logepsX,loggf,EW
MKV0397,5339.93,Fe I,3.270,-0.680,
MKV0397,5364.86,Fe I,4.450,0.220,54
MKV0397,5367.48,Fe I,4.420,0.550,63
MKV0397,5369.96,Fe I,4.370,0.540,80
MKV0397,5371.50,Fe I,0.960,-1.644,
MKV0397,5381.01,Ti II,1.570,-1.780,79
MKV0397,5383.37,Fe I,4.310,0.500,95
MKV0397,5389.48,Fe I,4.420,-0.400,
MKV0397,5393.17,Fe I,3.240,-0.920,108
MKV0397,5397.14,Fe I,0.910,-1.992,
MKV0397,5400.51,Fe I,4.370,-0.150,54
MKV0397,5402.78,Y II,1.840,-0.510,
MKV0397,5405.79,Fe I,0.990,-1.852,
MKV0397,5407.42,Mn I,2.140,-1.743,
MKV0397,5409.80,Cr I,1.030,-0.720,86
MKV0397,5415.19,Fe I,4.390,0.510,
MKV0397,5418.77,Ti II,1.580,-2.110,64
MKV0397,5420.36,Mn I,2.140,-1.460,
MKV0397,5424.07,Fe I,4.320,0.520,74
MKV0397,5425.25,Fe II,3.200,-3.360,27
MKV0397,5432.55,Mn I,0.000,-3.795,
MKV0397,5476.92,Ni I,1.830,-0.890,
MKV0397,5483.34,Co I,1.710,-1.488,
MKV0397,5485.71,Nd II,1.260,-0.120,
MKV0397,5490.16,Ti I,1.460,-0.933,
MKV0397,5501.48,Fe I,0.960,-3.050,157
MKV0397,5506.79,Fe I,0.990,-2.790,164
MKV0397,5516.77,Mn I,2.180,-1.847,
MKV0397,5528.41,Mg I,4.350,-0.357,
MKV0397,5534.85,Fe II,3.240,-2.920,32
MKV0397,6120.26,Fe I,0.910,-5.940,
MKV0397,6122.23,Ca I,1.890,-0.320,
MKV0397,6126.22,Ti I,1.070,-1.425,
MKV0397,6136.62,Fe I,2.450,-1.500,50
MKV0397,6137.70,Fe I,2.590,-1.366,
MKV0397,6141.73,Ba II,0.700,-0.077,
MKV0397,6149.25,Fe II,3.890,-2.720,
MKV0397,6151.62,Fe I,2.180,-3.370,
MKV0397,6157.75,Fe I,4.070,-1.260,
MKV0397,6160.75,Na I,2.100,-1.260,
MKV0397,6161.30,Ca I,2.520,-1.270,
MKV0397,6165.36,Fe I,4.140,-1.470,
MKV0397,6166.44,Ca I,2.520,-1.140,
MKV0397,6169.04,Ca I,2.520,-0.800,60
MKV0397,6169.56,Ca I,2.520,-0.480,
MKV0397,6173.34,Fe I,2.220,-2.850,
MKV0397,6176.82,Ni I,4.090,-0.430,
MKV0397,6177.25,Ni I,1.830,-3.500,
MKV0397,6187.99,Fe I,3.940,-1.580,
MKV0397,6191.57,Fe I,2.430,-1.416,
MKV0397,6213.43,Fe I,2.220,-2.660,
MKV0397,6219.29,Fe I,2.200,-2.438,
MKV0397,6229.23,Fe I,2.840,-2.900,
MKV0397,6230.74,Fe I,2.560,-1.276,
MKV0397,6238.38,Fe II,3.890,-2.480,
MKV0397,6240.66,Fe I,2.220,-3.230,
MKV0397,6243.82,Si I,5.610,-1.270,
MKV0397,6244.48,Si I,5.610,-1.270,
MKV0397,6247.56,Fe II,3.890,-2.360,
MKV0397,6252.57,Fe I,2.400,-1.757,
MKV0397,6258.10,Ti I,1.443,-0.355,
MKV0397,6290.97,Fe I,4.730,-0.760,
MKV0397,6297.80,Fe I,2.220,-2.740,
MKV0397,6301.50,Fe I,3.650,-0.720,
MKV0397,6302.49,Fe I,3.690,-1.150,
MKV0397,6309.90,Sc II,1.500,-1.520,
MKV0397,6311.51,Fe I,2.830,-3.220,
MKV0397,6320.43,La II,0.170,-1.562,
MKV0397,6330.09,Cr I,0.940,-2.920,
MKV0397,6355.04,Fe I,2.840,-2.290,51
MKV0397,6369.46,Fe II,2.890,-4.250,
MKV0397,6380.75,Fe I,4.190,-1.500,
MKV0397,6390.46,La II,0.320,-1.400,
MKV0397,6392.54,Fe I,2.280,-3.950,
MKV0397,6393.61,Fe I,2.430,-1.630,146
MKV0397,6416.93,Fe II,3.890,-2.790,
MKV0397,6419.96,Fe I,4.730,-0.240,
MKV0397,6421.36,Fe I,2.280,-2.014,84
MKV0397,6430.86,Fe I,2.180,-1.946,116
MKV0397,6432.68,Fe II,2.890,-3.710,39
MKV0397,6439.08,Ca I,2.520,0.390,
MKV0397,6455.60,Ca I,2.520,-1.290,
MKV0397,6456.39,Fe II,3.900,-2.080,61
MKV0397,6496.91,Ba II,0.600,-0.380,81
MKV0397,6498.94,Fe I,0.960,-4.690,55
MKV0397,6499.65,Ca I,2.520,-0.820,
MKV0397,6516.08,Fe II,2.890,-3.450,34
MKV0397,6518.37,Fe I,2.830,-2.460,
MKV0397,6554.24,Ti I,1.440,-1.218,
MKV0397,6556.08,Ti I,1.460,-1.074,
MKV0397,6574.23,Fe I,0.990,-5.020,39
MKV0397,6581.22,Fe I,1.480,-4.680,
MKV0397,6593.88,Fe I,2.430,-2.390,58
MKV0397,6608.03,Fe I,2.280,-3.940,
