Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Fe  1,5307.361,1.61,-2.99,28.0,,33.4,,42.7,,25.5,,13.3,,,,,,3.7,,24.8,,18.1,,,2.7,,9.9,,2.0,,25.6,,31.5,,7.5,,2.7,,9.2,,10.8,,16.4,,4.7,,4.4,,,,5.6,,9.6,,4.4,,7.8,,4.9,,17.4,,20.6,,4.1,,15.9,,12.0,,4.9,,16.0,
Fe  1,5324.179,3.21,-0.24,67.7,,71.0,,80.9,,74.9,,48.8,,,,5.2,,24.7,,58.9,,52.7,,,25.6,,43.2,,20.3,,66.6,,65.2,,32.2,,8.7,,37.1,,44.3,,40.9,,25.5,,29.5,,7.2,,27.7,,42.1,,26.7,,46.5,,19.9,,50.9,,58.2,,27.7,,54.0,,53.1,,24.0,,52.2,
Fe  1,5328.039,0.92,-1.47,149.5,,161.5,,154.6,,125.9,,121.8,,80.0,,63.6,,95.3,,128.5,,147.7,,,89.4,,126.0,,103.1,,146.6,,149.9,,117.3,,80.6,,127.8,,120.0,,109.8,,107.7,,106.8,,,,116.2,,114.6,,109.0,,100.4,,104.3,,135.2,,131.3,,96.3,,120.3,,112.3,,98.5,,,
Fe  1,5328.532,1.56,-1.85,98.3,,109.6,,113.3,,79.9,,71.5,,14.0,,11.1,,40.7,,83.4,,84.5,,,25.0,,72.1,,38.2,,97.9,,104.4,,51.1,,17.1,,63.1,,65.1,,56.9,,43.0,,42.8,,15.0,,50.1,,62.3,,49.2,,56.7,,39.6,,83.7,,85.3,,40.7,,75.2,,63.4,,42.7,,70.5,
Fe  1,5339.929,3.27,-0.72,,,39.3,,51.7,,46.5,,24.0,,,,1.4,,10.9,,31.8,,26.9,,,,,19.9,,6.0,,35.5,,34.9,,12.3,,,,15.1,,19.6,,17.3,,7.9,,11.9,,3.2,,9.0,,18.8,,9.8,,21.9,,6.7,,25.6,,28.8,,9.2,,26.3,,22.0,,9.2,,24.3,
Fe  1,5369.962,4.37,0.54,37.0,,28.5,,36.1,,39.5,,16.8,,,,3.3,,8.1,,23.6,,16.7,,,,,17.5,,4.7,,24.4,,24.5,,10.9,,,,11.0,,14.6,,14.0,,5.4,,10.4,,,,8.5,,13.9,,7.5,,18.3,,5.9,,17.0,,22.5,,8.0,,22.5,,16.7,,7.8,,,
Fe  1,5371.49,0.96,-1.65,139.7,,150.0,,151.8,,125.6,,115.1,,66.0,,48.3,,90.3,,122.1,,129.1,,,,,120.7,,95.0,,143.2,,154.6,,106.4,,68.7,,114.7,,113.2,,99.4,,100.3,,90.5,,62.6,,104.9,,107.2,,100.9,,93.3,,94.4,,130.7,,126.6,,88.8,,114.2,,103.4,,94.3,,115.9,
Fe  1,5383.369,4.31,0.64,47.7,,31.0,,45.6,,47.7,,23.5,,,,2.9,,11.6,,29.8,,23.7,,,,,21.9,,6.9,,31.9,,31.0,,15.3,,2.5,,16.3,,19.5,,21.0,,9.4,,13.7,,2.3,,,,20.9,,10.7,,25.6,,11.0,,21.8,,27.4,,11.2,,29.7,,24.8,,10.3,,25.0,
Fe  1,5389.479,4.42,-0.41,,,6.1,,9.8,,10.9,,3.2,,,,1.3,,2.8,,5.3,,2.4,,,1.9,,4.0,,1.4,,4.1,,4.4,,4.1,,,,1.4,,4.7,,,,2.0,,1.3,,,,1.7,,3.4,,,,4.5,,1.6,,2.8,,4.5,,1.8,,3.7,,3.5,,2.0,,,
Fe  1,5393.168,3.24,-0.91,38.8,,38.4,,49.7,,41.1,,20.5,,,,,,9.2,,30.7,,23.6,,,3.4,,18.6,,6.8,,31.0,,31.4,,11.2,,2.5,,14.0,,17.2,,19.8,,7.8,,10.5,,,,8.7,,18.3,,9.6,,19.1,,5.9,,23.2,,29.6,,9.0,,25.4,,21.7,,8.8,,24.3,
