Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Fe  2,4555.893,2.83,-2.16,59.3,,48.8,,53.6,,48.8,,32.4,,,,,,20.0,,46.0,,36.2,,,8.1,,33.0,,15.1,,49.9,,49.1,,24.2,,3.7,,28.0,,34.9,,22.5,,14.5,,30.1,,7.3,,22.1,,26.9,,19.5,,23.2,,4.9,,39.8,,40.9,,9.7,,,,27.2,,,,35.0,
Fe  2,4576.34,2.84,-2.82,32.3,,21.0,,29.0,,,,11.5,,,,,,6.3,,21.1,,16.3,,,,,12.3,,,,,,19.2,,,,,,11.3,,,,,,,,,,,,,,,,3.8,,13.2,,,,,,,,,,,,,,,,13.6,
Fe  2,5197.577,3.23,-2.23,52.0,,38.4,,45.5,,54.7,,22.0,,,,2.5,,10.0,,31.6,,24.9,,,4.5,,23.1,,,,36.5,,32.4,,13.4,,,,17.5,,21.5,,12.9,,8.8,,14.2,,,,,,18.4,,10.2,,16.8,,,,26.3,,29.4,,,,24.8,,,,,,24.5,
Fe  2,5234.625,3.22,-2.15,53.8,,42.6,,50.1,,57.3,,25.6,,2.4,,1.7,,12.1,,34.3,,29.3,,,5.0,,27.7,,,,42.1,,36.3,,21.0,,,,21.3,,22.2,,15.5,,10.2,,16.7,,,,,,22.4,,11.4,,17.8,,,,29.3,,33.9,,,,28.4,,,,,,27.6,
Fe  2,5325.553,3.22,-3.22,10.1,,7.1,,9.5,,12.7,,3.7,,,,,,2.2,,5.8,,3.0,,,,,2.5,,,,7.2,,4.9,,2.9,,,,3.2,,3.1,,2.0,,0.5,,1.6,,,,,,2.5,,1.7,,2.1,,,,3.2,,4.0,,,,3.5,,,,,,3.8,
Fe  2,6247.557,3.89,-2.33,14.1,,8.7,,12.5,,18.8,,4.0,,,,,,,,5.1,,4.9,,,0.4,,1.2,,,,7.0,,6.7,,3.9,,,,3.5,,4.5,,1.3,,2.0,,2.2,,,,,,3.3,,1.7,,5.2,,,,3.7,,7.1,,,,6.3,,,,,,5.3,
Fe  2,6432.68,2.89,-3.71,11.2,,8.3,,11.1,,12.7,,3.3,,,,1.4,,1.6,,4.6,,4.8,,,0.4,,5.2,,,,6.0,,6.3,,2.7,,,,3.2,,1.9,,,,1.9,,2.0,,,,,,2.8,,3.2,,,,,,3.8,,5.0,,,,6.2,,,,,,4.6,
Fe  2,6456.383,3.9,-2.08,21.8,,13.2,,19.1,,27.0,,7.1,,,,0.3,,2.5,,9.8,,7.4,,,,,8.0,,,,12.2,,10.6,,5.7,,,,5.6,,5.7,,5.7,,2.2,,3.6,,,,,,5.8,,2.7,,4.6,,,,6.2,,9.1,,,,9.4,,,,,,7.2,
Co  1,3845.461,0.92,0.01,88.7,,92.7,,95.1,,,,69.0,,24.6,,29.5,,55.0,,86.2,,63.6,,,41.7,,65.5,,51.6,,93.4,,87.9,,63.8,,34.0,,67.2,,59.6,,61.3,,56.5,,59.7,,30.9,,48.0,,57.2,,57.5,,63.5,,58.1,,74.0,,75.2,,49.1,,71.6,,62.3,,49.9,,70.4,
Co  1,3995.302,0.92,-0.22,,,85.3,,86.6,,78.7,,62.1,,17.8,,19.1,,49.1,,77.3,,55.3,,,36.4,,61.4,,43.8,,81.3,,77.6,,52.3,,25.9,,56.9,,55.7,,52.2,,50.4,,49.3,,16.7,,38.1,,51.8,,50.4,,55.2,,51.8,,69.9,,68.8,,41.9,,68.9,,54.8,,43.3,,71.0,
Co  1,4118.767,1.05,-0.49,,,76.3,,87.4,,,,,,,,13.8,,31.4,,68.6,,43.6,,,22.8,,46.7,,25.6,,72.5,,70.6,,38.0,,13.9,,40.6,,42.2,,,,35.6,,36.6,,7.9,,25.4,,35.5,,34.1,,37.2,,38.0,,57.3,,62.6,,28.1,,57.1,,39.3,,,,52.5,
Co  1,4121.311,0.92,-0.32,83.1,,94.4,,93.5,,74.9,,67.6,,19.0,,17.3,,51.9,,81.6,,60.3,,,37.3,,64.9,,43.7,,84.8,,86.0,,53.8,,25.8,,58.8,,60.7,,49.9,,53.1,,52.0,,17.2,,41.7,,54.4,,54.9,,56.3,,54.9,,72.9,,74.6,,41.9,,69.6,,58.1,,44.1,,70.5,
Ni  1,3807.138,0.42,-1.18,109.5,,118.3,,111.0,,97.8,,91.6,,44.0,,46.8,,77.1,,104.7,,96.1,,,63.4,,94.6,,78.4,,122.1,,112.5,,79.6,,59.2,,98.7,,84.9,,69.4,,83.3,,85.7,,50.4,,78.6,,83.3,,79.5,,82.7,,83.2,,97.1,,98.9,,66.8,,89.2,,81.4,,75.0,,97.1,
Ni  1,3858.292,0.42,-0.97,123.4,,127.7,,129.2,,109.5,,98.7,,56.4,,59.0,,88.7,,119.2,,104.6,,,72.3,,104.2,,85.6,,128.7,,123.7,,89.9,,65.6,,105.0,,94.8,,79.9,,90.5,,97.1,,58.9,,91.7,,90.1,,89.2,,92.3,,92.5,,110.8,,107.9,,75.7,,94.8,,89.8,,82.7,,106.0,
Ni  1,5476.9,1.83,-0.89,79.8,,84.4,,83.3,,65.3,,54.0,,,,7.7,,30.0,,64.8,,53.4,,,10.3,,44.4,,26.3,,74.1,,74.0,,30.3,,8.1,,41.1,,41.9,,39.7,,34.7,,35.5,,6.2,,26.8,,40.6,,27.5,,46.2,,32.9,,54.3,,59.0,,24.8,,56.0,,46.9,,27.2,,54.4,
Zn  1,4722.153,4.03,-0.338,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,
Zn  1,4810.528,4.08,-0.137,28.4,,20.3,,24.0,,24.4,,11.0,,2.5,,1.1,,4.3,,17.6,,10.0,,,3.5,,13.1,,6.0,,19.3,,16.5,,10.6,,1.9,,12.8,,9.9,,9.9,,11.2,,8.2,,3.5,,5.3,,8.4,,6.0,,10.9,,5.0,,13.8,,14.2,,4.0,,12.1,,11.6,,4.8,,13.8,
