Name,Simbad_Identifier,System,RA_hms,DEC_dms,HRV,Flag,t_exp,Nobs,SNR3950,SNR4550,SNR5200,SNR6750
BD+10 2495,BD+10  2495,Helmi,12:59:19.9306,+09:14:35.634,258.3,3,9200,2,50,105,140,185
BD+29 2356,BD+29  2356,Helmi,13:01:52.4291,+29:11:17.936,-207.3,1,5400,1,20,50,65,85
BD+30 2611,BD+30  2611,Helmi,15:06:53.8282,+30:00:36.941,-280.3,1,7500,3,35,120,180,270
CD-36 1052,CD-36  1052,Helmi,02:47:37.4429,-36:06:27.032,304.7,1,1200,1,85,140,130,195
CS 22876-040,BPS CS 22876-0040,Helmi,00:04:52.4533,-34:13:37.340,-189.9,0,5800,1,60,100,90,135
CS 22948-093,BPS CS 22948-0093,Helmi,21:50:31.5180,-41:07:49.355,,2,10300,4,85,110,75,95
CS 29513-031,BPS CS 29513-0031,Helmi,23:25:11.3549,-39:59:28.350,,2,7800,3,80,105,80,100
CS 29513-032,BPS CS 29513-0032,Helmi,23:22:19.0938,-39:44:24.309,-215.6,1,4400,2,60,100,95,140
HD 119516,HD 119516,Helmi,13:43:26.7251,+15:34:31.069,-285.9,1,2700,1,65,120,150,175
HD 128279,HD 128279,Helmi,14:36:48.5108,-29:06:46.612,-75.7,1,550,4,625,880,505,750
HD 175305,HD 175305,Helmi,18:47:06.4416,+74:43:31.451,-184.2,1,1500,1,60,135,190,250
HD 237846,HD 237846,Helmi,09:52:38.6827,+57:54:58.614,-303.6,1,8100,2,45,100,135,185
