Species, lambda , chi , loggf, EW    , e_EW, logepsX, ref
Na I   , 5889.95, 0.00, 0.11 , 197.33, 2.83,    4.04,   1
Na I   , 5895.92, 0.00, -0.19, 171.34, 2.89,    3.99,   1
Mg I   , 4167.27, 4.35, -0.74,  84.82, 6.00,    5.80,   1
Mg I   , 4702.99, 4.33, -0.44,  95.81, 2.96,    5.54,   1
Mg I   , 5172.68, 2.71, -0.36, 248.53, 6.18,    5.47,   2

## This is incomplete. 
