Name,Species,lambda,chi,loggf,EW,e_EW,logepsX
J220409,Fe I,7511.02,4.175,+0.12,36.3,15.1,4.78
J220409,Fe I,8387.77,2.174,-1.51,93.1,18.7,4.76
J220409,Fe I,8688.62,2.174,-1.20,131.1,18.8,4.99
J220409,Fe I,8824.22,2.196,-1.54,79.4,17.4,4.60
J220409,Fe II,4508.29,2.860,-2.25,48.2,13.9,4.67
J220409,Fe II,4515.34,2.840,-2.36,52.3,14.7,4.81
J220409,Fe II,4520.22,2.810,-2.60,41.6,13.9,4.85
J220409,Fe II,4522.63,2.840,-1.99,93.7,18.6,5.12
J220409,Fe II,4541.52,2.860,-2.79,38.1,15.4,5.04
J220409,Fe II,4555.89,2.830,-2.25,42.4,12.2,4.54
J220409,Fe II,5197.58,3.230,-2.05,39.0,8.5,4.71
J220409,Fe II,5234.63,3.220,-2.18,39.2,8.1,4.82
J220409,Fe II,5276.00,3.200,-1.90,39.7,11.1,4.53
J220409,Fe II,6247.56,3.890,-2.33,10.7,9.1,5.02
J220423,Fe I,4009.71,2.221,-1.25,95.2,8.3,5.03
J220423,Fe I,4114.44,2.830,-1.30,43.0,8.3,4.81
J220423,Fe I,4132.90,2.840,-0.92,61.7,9.7,4.76
J220423,Fe I,4147.67,1.484,-2.07,87.9,9.3,4.71
J220423,Fe I,4158.79,3.428,-0.70,48.9,8.8,5.03
J220423,Fe I,4175.64,2.850,-0.83,76.2,10.5,4.94
J220423,Fe I,4184.89,2.830,-0.87,82.5,10.5,5.07
J220423,Fe I,4187.04,2.450,-0.56,98.9,10.2,4.62
J220423,Fe I,4195.33,3.330,-0.49,69.4,11.8,5.05
J220423,Fe I,4238.81,3.400,-0.23,68.7,10.3,4.85
J220423,Fe I,4258.32,0.087,-4.36,86.5,10.9,5.18
J220423,Fe I,4291.46,0.052,-4.08,98.6,10.3,5.09
J220423,Fe I,4430.61,2.221,-1.73,85.8,10.5,5.17
J220423,Fe I,4442.34,2.196,-1.23,93.6,10.5,4.79
J220423,Fe I,4447.72,2.221,-1.34,92.0,11.0,4.90
J220423,Fe I,4592.65,1.556,-2.46,93.0,11.6,5.18
J220423,Fe I,4602.00,1.607,-3.13,30.1,10.7,4.86
J220423,Fe I,4602.94,1.484,-2.21,90.8,11.1,4.80
J220423,Fe I,4625.05,3.239,-1.27,28.5,9.3,4.96
J220423,Fe I,4630.12,2.277,-2.59,39.8,12.6,5.31
J220423,Fe I,4637.50,3.281,-1.29,27.1,9.1,5.00
J220423,Fe I,4647.43,2.950,-1.35,55.6,10.8,5.16
J220423,Fe I,4707.27,3.241,-0.96,49.5,12.9,5.02
J220423,Fe I,4733.59,1.484,-2.99,75.0,12.8,5.28
J220423,Fe I,4736.77,3.209,-0.67,79.6,12.6,5.18
J220423,Fe I,4772.80,1.556,-2.90,51.4,11.6,4.91
J220423,Fe I,4872.14,2.880,-0.57,94.0,15.3,4.91
J220423,Fe I,4890.76,2.876,-0.38,97.5,14.0,4.78
J220423,Fe I,4903.31,2.882,-0.89,78.9,12.9,4.96
J220423,Fe I,4907.73,3.428,-1.70,14.9,10.4,5.26
J220423,Fe I,4924.77,2.277,-2.11,54.7,13.0,5.05
J220423,Fe I,4939.69,0.858,-3.25,95.3,15.1,5.07
J220423,Fe I,4950.11,3.414,-1.50,22.3,15.2,5.24
J220423,Fe I,4966.09,3.329,-0.79,44.9,13.9,4.86
J220423,Fe I,5041.76,1.484,-2.20,122.5,5.6,5.29
J220423,Fe I,5049.82,2.277,-1.35,86.8,5.9,4.79
J220423,Fe I,5051.64,0.914,-2.76,125.9,6.4,5.21
J220423,Fe I,5079.74,0.989,-3.25,93.7,5.4,5.18
J220423,Fe I,5083.34,0.957,-2.84,110.6,5.8,5.05
J220423,Fe I,5098.70,2.174,-2.03,74.5,5.7,5.14
J220423,Fe I,5123.72,1.010,-3.06,97.7,6.5,5.08
J220423,Fe I,5127.36,0.914,-3.25,94.0,5.5,5.08
J220423,Fe I,5133.69,4.175,+0.36,65.2,7.3,5.05
J220423,Fe I,5141.74,2.420,-2.24,52.5,5.8,5.30
J220423,Fe I,5142.93,0.957,-3.07,95.4,5.9,4.98
J220423,Fe I,5151.91,1.010,-3.32,98.1,6.0,5.35
J220423,Fe I,5166.28,0.000,-4.12,126.2,6.2,5.35
J220423,Fe I,5171.60,1.484,-1.72,137.0,6.9,5.10
J220423,Fe I,5191.45,3.040,-0.55,74.9,5.7,4.72
J220423,Fe I,5192.34,3.000,-0.42,87.6,5.6,4.75
J220423,Fe I,5194.94,1.556,-2.02,124.4,6.7,5.24
J220423,Fe I,5198.71,2.221,-2.09,59.6,6.1,5.01
J220423,Fe I,5215.18,3.263,-0.86,51.1,5.9,4.93
J220423,Fe I,5216.27,1.607,-2.08,106.8,5.7,5.02
J220423,Fe I,5217.39,3.209,-1.07,60.7,5.6,5.22
J220423,Fe I,5229.85,3.283,-0.96,45.8,6.8,4.98
J220423,Fe I,5232.94,2.940,-0.06,119.8,6.4,4.89
J220423,Fe I,5247.05,0.087,-4.97,50.6,5.5,5.07
J220423,Fe I,5254.96,0.110,-4.76,70.1,5.0,5.16
J220423,Fe I,5263.31,3.263,-0.87,50.5,6.7,4.93
J220423,Fe I,5266.56,3.000,-0.39,106.8,6.1,5.05
J220423,Fe I,5281.79,3.040,-0.83,78.3,6.1,5.05
J220423,Fe I,5283.62,3.239,-0.45,63.6,5.8,4.68
J220423,Fe I,5302.30,3.281,-0.73,68.2,6.4,5.08
J220423,Fe I,5307.36,1.607,-2.91,55.6,6.7,4.99
J220423,Fe I,5324.18,3.211,-0.11,86.7,6.1,4.67
J220423,Fe I,5332.90,1.556,-2.78,66.1,5.4,4.95
J220423,Fe I,5339.93,3.263,-0.63,51.9,5.6,4.71
J220423,Fe I,5341.02,1.607,-1.95,125.0,6.2,5.22
J220423,Fe I,5369.96,4.370,+0.54,40.7,5.3,4.70
J220423,Fe I,5383.37,4.310,+0.65,49.8,5.9,4.67
J220423,Fe I,5393.17,3.241,-0.72,48.1,5.6,4.71
J220423,Fe I,5415.20,4.390,+0.64,51.2,6.2,4.79
J220423,Fe I,5424.07,4.320,+0.52,48.9,5.7,4.79
J220423,Fe I,5497.52,1.010,-2.83,119.4,6.3,5.18
J220423,Fe I,5501.47,0.957,-3.05,116.5,6.4,5.28
J220423,Fe I,5506.78,0.989,-2.79,116.5,6.3,5.06
J220423,Fe I,5569.62,3.414,-0.52,51.1,6.5,4.75
J220423,Fe I,5572.84,3.394,-0.28,71.9,6.6,4.81
J220423,Fe I,5586.76,3.366,-0.11,88.6,6.5,4.87
J220423,Fe I,5624.54,3.414,-0.76,41.6,6.3,4.84
J220423,Fe I,5956.69,0.858,-4.50,20.3,5.7,4.97
J220423,Fe I,6065.48,2.610,-1.53,73.4,6.8,5.07
J220423,Fe I,6137.69,2.590,-1.40,88.5,7.1,5.14
J220423,Fe I,6151.62,2.174,-3.37,13.5,5.7,5.27
J220423,Fe I,6173.34,2.223,-2.88,21.0,5.8,5.06
J220423,Fe I,6200.31,2.609,-2.43,28.2,8.3,5.25
J220423,Fe I,6213.43,2.221,-2.48,39.1,6.6,5.01
J220423,Fe I,6219.28,2.196,-2.45,44.4,6.4,5.03
J220423,Fe I,6230.72,2.560,-1.28,85.3,7.0,4.92
J220423,Fe I,6246.32,3.600,-0.77,36.3,7.2,4.95
J220423,Fe I,6252.56,2.400,-1.69,92.6,7.2,5.24
J220423,Fe I,6265.13,2.174,-2.54,53.6,8.2,5.23
J220423,Fe I,6301.50,3.651,-0.71,54.4,6.3,5.22
J220423,Fe I,6322.69,2.590,-2.43,22.2,6.5,5.08
J220423,Fe I,6335.33,2.196,-2.18,55.7,6.4,4.92
J220423,Fe I,6336.82,3.684,-0.85,20.8,6.6,4.81
J220423,Fe I,6344.15,2.430,-2.92,14.2,5.5,5.15
J220423,Fe I,6393.60,2.430,-1.58,94.0,7.5,5.18
J220423,Fe I,6408.02,3.684,-0.99,22.2,6.7,4.98
J220423,Fe I,6411.65,3.651,-0.59,47.3,8.0,5.01
J220423,Fe I,6421.35,2.277,-2.01,68.6,6.9,5.03
J220423,Fe I,6430.85,2.174,-1.95,83.8,7.1,5.06
J220423,Fe I,6494.98,2.400,-1.27,104.8,7.5,5.00
J220423,Fe I,6546.24,2.759,-1.53,70.3,8.3,5.18
J220423,Fe I,6592.91,2.730,-1.47,65.1,6.7,5.00
J220423,Fe I,6593.87,2.430,-2.42,38.4,7.4,5.17
J220423,Fe I,6677.99,2.690,-1.42,72.7,7.5,5.00
J220423,Fe I,6750.15,2.420,-2.62,37.6,8.3,5.34
J220423,Fe I,6978.85,2.480,-2.50,36.3,8.5,5.26
J220423,Fe I,7495.07,4.220,-0.10,29.3,7.9,4.85
J220423,Fe I,7511.02,4.175,+0.12,41.5,8.2,4.77
J220423,Fe I,8220.38,4.317,+0.30,52.3,9.2,4.91
J220423,Fe I,8387.77,2.174,-1.51,121.2,9.1,5.01
J220423,Fe II,4416.83,2.780,-2.41,69.4,12.1,5.02
J220423,Fe II,4489.18,2.828,-2.97,31.0,9.2,4.97
J220423,Fe II,4491.41,2.850,-2.64,45.7,9.9,4.93
J220423,Fe II,4515.34,2.840,-2.36,53.4,10.1,4.77
J220423,Fe II,4520.22,2.810,-2.60,54.1,11.6,4.98
J220423,Fe II,4541.52,2.860,-2.79,40.2,11.8,5.00
J220423,Fe II,4555.89,2.830,-2.25,86.7,10.3,5.22
J220423,Fe II,4582.84,2.840,-3.06,44.5,10.3,5.31
J220423,Fe II,4620.52,2.830,-3.19,24.1,12.1,5.04
J220423,Fe II,5197.58,3.230,-2.05,58.0,6.1,4.94
J220423,Fe II,5234.63,3.220,-2.18,48.2,5.4,4.91
J220423,Fe II,5276.00,3.200,-1.90,59.2,5.8,4.77
J220423,Fe II,5362.87,3.199,-2.61,29.8,6.1,4.99
J220423,Fe II,5534.85,3.245,-2.86,29.4,7.1,5.28
J220352,Fe I,4154.50,2.830,-0.69,36.3,9.0,4.40
J220352,Fe I,4156.80,2.830,-0.81,40.5,11.4,4.59
J220352,Fe I,4187.04,2.450,-0.56,67.9,14.8,4.35
J220352,Fe I,4187.80,2.420,-0.55,69.0,11.6,4.32
J220352,Fe I,4191.43,2.470,-0.67,62.3,15.2,4.39
J220352,Fe I,4222.21,2.450,-0.97,63.1,14.0,4.67
J220352,Fe I,4250.12,2.470,-0.41,88.0,12.9,4.57
J220352,Fe I,4408.41,2.196,-1.77,35.0,15.0,4.71
J220352,Fe I,4430.61,2.221,-1.73,27.8,13.6,4.56
J220352,Fe I,4442.34,2.196,-1.23,60.9,16.6,4.58
J220352,Fe I,4459.12,2.174,-1.33,55.5,13.2,4.57
J220352,Fe I,4461.65,0.087,-3.19,77.1,13.5,4.36
J220352,Fe I,4489.74,0.121,-3.90,42.5,15.4,4.55
J220352,Fe I,4528.61,2.174,-0.89,85.3,13.4,4.62
J220352,Fe I,4592.65,1.556,-2.46,44.6,16.0,4.81
J220352,Fe I,4602.94,1.484,-2.21,65.6,15.3,4.80
J220352,Fe I,4871.32,2.865,-0.34,53.4,17.3,4.31
J220352,Fe I,4890.76,2.876,-0.38,72.6,20.2,4.66
J220352,Fe I,4920.50,2.830,+0.07,87.4,15.8,4.40
J220352,Fe I,5171.60,1.484,-1.72,93.4,14.5,4.73
J220352,Fe I,5192.34,3.000,-0.42,62.8,15.2,4.67
J220352,Fe I,5194.94,1.556,-2.02,75.3,13.3,4.80
J220352,Fe I,5227.19,1.556,-1.23,95.9,14.6,4.37
J220352,Fe I,5341.02,1.607,-1.95,56.0,15.0,4.47
J220352,Fe I,5371.49,0.957,-1.64,126.0,15.1,4.67
J220352,Fe I,5405.78,0.989,-1.85,100.4,14.7,4.39
J220352,Fe I,5429.70,0.957,-1.88,111.6,17.1,4.60
J220352,Fe I,5434.52,1.010,-2.13,99.6,15.0,4.67
J220352,Fe I,5455.61,1.010,-2.09,104.2,17.4,4.72
J220352,Fe I,5506.78,0.989,-2.79,65.8,14.5,4.72
J220352,Fe I,6137.69,2.590,-1.40,30.8,16.0,4.61
J220352,Fe I,6494.98,2.400,-1.27,42.8,21.3,4.45
J220352,Fe II,4233.17,2.580,-1.81,56.5,12.4,4.21
J220352,Fe II,4508.29,2.860,-2.25,36.6,13.7,4.62
J220352,Fe II,4515.34,2.840,-2.36,36.4,12.0,4.70
J220352,Fe II,4520.22,2.810,-2.60,27.6,10.7,4.74
J220352,Fe II,4555.89,2.830,-2.25,32.4,13.7,4.50
J220352,Fe II,4583.84,2.810,-1.74,44.5,13.0,4.18
J220352,Fe II,4923.93,2.890,-1.21,82.4,14.9,4.32
J220352,Fe II,5234.63,3.220,-2.18,30.7,8.2,4.81
J220352,Fe II,5276.00,3.200,-1.90,39.8,11.4,4.66
J220352,Fe II,5316.62,3.150,-1.78,63.3,15.6,4.86
J220409,Mg I,3986.75,4.343,-1.44,21.7,9.7,5.38
J220409,Mg I,4057.51,4.343,-1.20,40.1,10.4,5.49
J220409,Mg I,4167.27,4.343,-1.00,50.2,12.7,5.44
J220409,Mg I,4571.10,0.000,-5.69,87.1,16.8,5.46
J220409,Mg I,4702.99,4.343,-0.67,75.4,15.0,5.41
J220409,Ca I,4283.01,1.884,-0.22,52.5,12.2,3.68
J220409,Ca I,4318.65,1.897,-0.21,62.0,13.3,3.83
J220409,Ca I,4425.44,1.878,-0.39,28.6,11.3,3.43
J220409,Ca I,4455.89,1.897,-0.51,27.2,10.9,3.54
J220409,Ca I,5594.46,2.521,-0.05,38.8,13.3,3.97
J220409,Ca I,5598.48,2.519,-0.22,18.2,9.8,3.71
J220409,Ca I,5857.45,2.930,+0.23,26.2,10.9,3.92
J220409,Ca I,6162.17,1.897,+0.10,75.9,13.5,3.59
J220409,Ca I,6439.08,2.524,+0.47,47.4,12.6,3.56
J220409,Ti I,3998.64,0.048,+0.02,80.5,13.0,2.28
J220409,Ti I,4533.24,0.848,+0.54,59.0,14.6,2.29
J220409,Ti I,4534.78,0.835,+0.35,65.3,17.4,2.56
J220409,Ti I,5192.97,0.021,-0.95,25.7,9.7,2.19
J220409,Ti II,4012.38,0.573,-1.78,94.8,13.0,2.38
J220409,Ti II,4053.82,1.891,-1.07,26.7,8.1,2.08
J220409,Ti II,4330.70,1.179,-2.09,38.2,10.0,2.44
J220409,Ti II,4337.91,1.079,-1.13,84.7,12.4,2.09
J220409,Ti II,4394.06,1.220,-1.77,61.4,13.4,2.52
J220409,Ti II,4395.84,1.242,-1.93,42.9,12.0,2.43
J220409,Ti II,4399.77,1.236,-1.20,89.1,14.8,2.41
J220409,Ti II,4418.33,1.236,-1.99,51.1,15.8,2.60
J220409,Ti II,4450.48,1.083,-1.52,70.9,11.6,2.24
J220409,Ti II,4571.97,1.571,-0.31,99.7,14.4,2.09
J220409,Ti II,5185.90,1.891,-1.41,32.5,9.8,2.45
J220423,Mg I,4167.27,4.343,-1.00,71.3,10.9,5.71
J220423,Mg I,4571.10,0.000,-5.69,105.0,11.3,5.55
J220423,Mg I,4702.99,4.343,-0.67,77.9,11.0,5.41
J220423,Mg I,5528.41,4.343,-0.62,93.4,6.2,5.54
J220423,Mg I,5711.09,4.343,-1.83,19.3,5.3,5.57
J220423,KI,7664.91,0.000,+0.13,80.3,8.6,2.95
J220423,KI,7698.97,0.000,-0.17,60.8,7.9,2.97
J220423,Ca I,4318.65,1.897,-0.21,62.2,9.7,3.76
J220423,Ca I,4425.44,1.878,-0.39,53.7,9.5,3.76
J220423,Ca I,4454.78,1.897,+0.25,100.7,11.3,3.96
J220423,Ca I,5588.75,2.524,+0.21,62.5,6.4,4.01
J220423,Ca I,5590.11,2.519,-0.71,16.6,5.9,4.06
J220423,Ca I,5594.46,2.521,-0.05,48.3,6.0,4.04
J220423,Ca I,5601.28,2.524,-0.69,22.3,5.1,4.20
J220423,Ca I,5857.45,2.930,+0.23,25.4,6.8,3.83
J220423,Ca I,6102.72,1.878,-0.89,48.1,6.7,4.06
J220423,Ca I,6122.22,1.884,-0.41,80.1,6.6,4.06
J220423,Ca I,6162.17,1.897,+0.10,97.9,6.7,3.84
J220423,Ca I,6439.08,2.524,+0.47,65.2,6.7,3.74
J220423,Ca I,6449.81,2.519,-0.55,29.8,7.9,4.18
J220423,Ti I,4512.73,0.835,-0.40,29.0,9.7,2.56
J220423,Ti I,4681.91,0.048,-1.07,46.9,12.4,2.55
J220423,Ti I,4840.87,0.899,-0.43,17.2,10.1,2.37
J220423,Ti I,4981.73,0.848,+0.57,92.3,14.8,2.60
J220423,Ti I,5039.96,0.021,-1.08,44.5,6.0,2.45
J220423,Ti I,5064.65,0.048,-0.94,47.4,5.1,2.39
J220423,Ti I,5192.97,0.021,-0.95,51.6,5.5,2.41
J220423,Ti I,5210.38,0.048,-0.82,65.5,6.0,2.52
J220423,Ti II,3813.39,0.607,-1.89,96.2,8.2,2.57
J220423,Ti II,4330.70,1.179,-2.09,59.0,9.9,2.65
J220423,Ti II,4394.06,1.220,-1.77,83.4,11.7,2.78
J220423,Ti II,4418.33,1.236,-1.99,68.3,10.8,2.76
J220423,Ti II,4444.55,1.115,-2.20,45.2,10.4,2.45
J220423,Ti II,4450.48,1.083,-1.52,99.9,12.0,2.66
J220423,Ti II,4464.45,1.160,-2.08,62.0,10.7,2.64
J220423,Ti II,4470.86,1.164,-2.28,45.2,9.6,2.58
J220423,Ti II,4493.52,1.079,-2.78,24.4,8.1,2.59
J220423,Ti II,4583.41,1.164,-2.84,11.6,9.1,2.37
J220423,Ti II,4708.66,1.236,-2.35,42.5,10.4,2.68
J220423,Ti II,4779.99,2.046,-1.37,31.3,8.8,2.49
J220423,Ti II,4798.53,1.079,-2.66,35.1,11.4,2.66
J220423,Ti II,4805.09,2.060,-1.10,57.7,14.1,2.67
J220423,Ti II,4865.61,1.115,-2.70,25.5,12.0,2.55
J220423,Ti II,5129.16,1.890,-1.34,47.7,4.7,2.52
J220423,Ti II,5185.90,1.891,-1.41,36.4,5.0,2.40
J220423,Ti II,5336.79,1.581,-1.60,46.9,5.1,2.37
J220423,Ti II,5381.02,1.565,-1.97,34.7,4.9,2.52
J220423,Cr I,4545.95,0.941,-1.37,28.3,9.8,2.84
J220423,Cr I,4600.75,1.003,-1.25,26.1,8.7,2.75
J220423,Cr I,4646.16,1.029,-0.74,42.0,9.5,2.56
J220423,Cr I,4652.16,1.003,-1.04,25.0,9.0,2.51
J220423,Cr I,5296.69,0.982,-1.36,15.5,4.3,2.50
J220423,Cr I,5345.80,1.003,-0.95,35.2,5.8,2.56
J220423,Cr I,5348.31,1.003,-1.21,25.5,5.5,2.64
J220423,Ni I,4604.99,3.477,-0.24,26.1,12.8,3.89
J220423,Ni I,4714.42,3.377,+0.25,40.4,11.0,3.54
J220423,Ni I,5080.53,3.652,+0.32,23.5,4.8,3.45
J220423,Ni I,5084.09,3.676,+0.03,20.7,3.9,3.70
J220423,Ni I,5155.76,3.895,-0.09,16.9,3.9,3.97
J220423,Ni I,6643.63,1.675,-2.22,30.2,7.5,3.61
J220423,Ni I,6767.77,1.825,-2.14,33.7,7.1,3.77
J220352,Na I,5889.95,0.000,+0.12,97.4,15.6,2.62
J220352,Na I,5895.92,0.000,-0.18,107.6,19.9,3.08
J220352,Mg I,4571.10,0.000,-5.69,62.7,14.3,5.44
J220352,Mg I,4702.99,4.343,-0.67,60.2,16.9,5.32
J220352,Ti II,4290.22,1.164,-0.87,52.2,11.5,1.64
J220352,Ti II,4443.80,1.079,-0.71,69.8,12.4,1.63
J220352,Ti II,4450.48,1.083,-1.52,49.3,15.4,2.13
J220352,Ti II,4468.49,1.130,-0.63,65.3,11.9,1.54
J220352,Ti II,4501.27,1.115,-0.77,59.3,14.1,1.57
J220352,Ti II,4533.97,1.236,-0.77,83.0,15.5,2.08
J220352,Ti II,4563.76,1.220,-0.96,62.2,14.8,1.91
