# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
J120213.1-111220, -1.34   , 0.34    , 0.41    , 0.31    , 0.13     , 0.29
J120244.8-171201, -0.89   , 0.47    , 0.34    , 0.14    , 0.23     , 0.23
J120324.9-353405, -1.51   , 0.34    , 0.36    , 0.32    , 0.18     , 0.33
J120920.8-203636, -1.46   , 0.43    , 0.37    , 0.36    , 0.17     , 0.31
J121231.9-334428, -0.75   , 0.13    , 0.16    , 0.14    , 0.01     , 0.07
J122239.1-422157, -1.56   , 0.36    , 0.38    , 0.22    , 0.11     , 0.26
J123050.9-451108, -1.42   , 0.3     , 0.26    , 0.28    , 0.05     , 0.31
J123824.6-292725, -0.87   , 0.33    , 0.37    , 0.28    , 0.12     , 0.25
J123859.7-025609, -1.88   , 0.34    , 0.3     , 0.25    , 0.16     , 0.35
J124244.9-131503, -1.52   , 0.25    , 0.24    , 0.37    , 0.28     , 0.39
J124307.9-140657, -1.45   , 0.32    , 0.39    , 0.35    , 0.15     , 0.26
J125431.7-425303, -1.25   , 0.25    , 0.23    , 0.32    , 0.13     , 0.2
J125815.0-402633, -1.23   , 0.31    , 0.35    , 0.34    , 0.14     , 0.27
J130043.2-091049, -1.54   , 0.33    , 0.42    , 0.4     , 0.14     , 0.28
J131013.0-334236, -1.94   , 0.28    , 0.34    , 0.28    , 0.17     , 0.31
J131951.5-144755, -1.26   , 0.46    , 0.39    , 0.37    , 0.17     , 0.29
J132157.2-241639, -1.35   , 0.5     , 0.37    , 0.34    , 0.16     , 0.36
J132302.8-174949, -1.12   , 0.44    , 0.37    , 0.17    , 0.08     , 0.18
J132414.3-180620, -2.2    , 0.18    , 0.2     , 0.12    , 0.0      , 0.11
J132604.5-152502, -1.74   , 0.23    , 0.25    , 0.22    , 0.06     , 0.25
J132635.5-280343, -1.11   , 0.54    , 0.4     , 0.28    , 0.25     , 0.28
J133403.6-122545, -1.34   , 0.25    , 0.3     , 0.28    , 0.13     , 0.28
J134340.7-112620, -1.7    , 0.36    , 0.37    , 0.22    , 0.16     , 0.27
J135125.0-470627, -1.41   , 0.46    , 0.31    , 0.37    , 0.2      , 0.44
J140206.8-135654, -0.74   , 0.18    , 0.23    , 0.14    , 0.0      , 0.14
J140722.5-295446, -1.43   , 0.44    , 0.45    , 0.34    , 0.19     , 0.31
J140741.7-175143, -0.99   , 0.43    , 0.37    , 0.17    , 0.07     , 0.22
J140908.9-281336, -0.59   , 0.11    , 0.18    , 0.17    , 0.01     , 0.07
J141231.4-050201, -2.23   , 0.19    , 0.32    , 0.26    , 0.12     , 0.21
J141810.5-333452, -1.24   , 0.29    , 0.32    , 0.23    , 0.04     , 0.17
J141832.4-081824, -1.39   , 0.4     , 0.36    , 0.2     , 0.15     , 0.31
J142522.3-114202, -1.13   , 0.38    , 0.41    , 0.31    , 0.16     , 0.29
J142546.2-154629, -1.97   , 0.5     , 0.33    , 0.15    , 0.02     , 0.2
J142839.0-204459, -1.6    , 0.35    , 0.38    , 0.29    , 0.15     , 0.31
J142911.4-053131, -0.85   , 0.34    , 0.31    , 0.25    , 0.16     , 0.18
J144548.8-165433, -1.65   , 0.28    , 0.2     , 0.21    , 0.11     , 0.28
J144603.1-011132, -1.65   , 0.49    , 0.46    , 0.29    , 0.08     , 0.26
J144614.2-123902, -1.99   , 0.34    , 0.28    , 0.3     , 0.06     , 0.37
J144747.0-143827, -1.11   , 0.29    , 0.17    , 0.26    , 0.13     , 0.29
J145446.0-251541, -1.14   , 0.37    , 0.35    , 0.32    , 0.15     , 0.25
J150031.0-122656, -0.89   , 0.39    , 0.5     , 0.3     , 0.22     , 0.34
J150212.0-093319, -1.26   , 0.46    , 0.42    , 0.32    , 0.22     , 0.35
J150223.7-194824, -1.77   , 0.33    , 0.34    , 0.22    , 0.05     , 0.29
J150436.8-123108, -1.32   , 0.5     , 0.61    , 0.3     , 0.24     , 0.26
J150505.2-035039, -1.07   , 0.27    , 0.26    , 0.17    , 0.03     , 0.21
J150628.6-142803, -1.92   , 0.25    , 0.35    , 0.22    , 0.22     , 0.34
J150740.0-212242, -0.85   , 0.29    , 0.38    , 0.04    , 0.01     , 0.19
