# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
T8428_00929_1   , -1.51   , 0.35    , 0.42    , 0.36    , 0.18     , 0.3
T8446_00381_1   , -1.82   , 0.29    , 0.38    , 0.26    , 0.05     , 0.33
T8454_00937_1   , -0.88   , 0.36    , 0.37    , 0.28    , 0.16     , 0.23
T8488_00009_1   , -1.11   , 0.32    , 0.39    , 0.16    , 0.04     , 0.15
T8519_00103_1   , -0.61   , 0.15    , 0.18    , 0.12    , -0.01    , 0.05
T8789_00425_1   , -1.55   , 0.32    , 0.29    , 0.25    , 0.03     , 0.31
T8824_00811_1   , -1.07   , 0.32    , 0.2     , 0.21    , 0.11     , 0.26
T8847_00274_1   , -1.51   , 0.39    , 0.38    , 0.34    , 0.15     , 0.24
T8865_00425_1   , -1.24   , 0.41    , 0.39    , 0.38    , 0.18     , 0.38
T8870_00259_1   , -1.52   , 0.27    , 0.36    , 0.39    , 0.26     , 0.34
T9159_01533_1   , -1.12   , 0.37    , 0.31    , 0.34    , 0.16     , 0.27
T9161_00706_1   , -1.38   , 0.43    , 0.36    , 0.31    , 0.12     , 0.27
T9169_01585_1   , -0.87   , 0.48    , 0.33    , 0.15    , 0.02     , 0.17
T9378_00079_1   , -1.75   , 0.32    , 0.39    , 0.29    , 0.11     , 0.28
T9392_00902_1   , -0.54   , 0.17    , 0.1     , 0.15    , 0.0      , 0.09
