Name,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J070028.0-270512,07:00:28.0800,-27:05:13.200,105.117,-27.087,9.5,20090212,ESO,160
J070333.5-291748,07:03:33.5900,-29:17:49.200,105.89,-29.297,9.8,20090214,ESO,140
J070648.0-324056,07:06:48.0000,-32:40:55.200,106.7,-32.682,10.7,20080317,APO,120
J073554.7-351938,07:35:54.7200,-35:19:37.200,113.978,-35.327,9.2,20090215,ESO,110
J081343.6-233252,08:13:43.6800,-23:32:52.800,123.432,-23.548,10.1,20090214,ESO,130
J082838.7-482652,08:28:38.8800,-48:26:52.800,127.162,-48.448,10.5,20090214,ESO,150
J085934.2-053404,08:59:34.3200,-05:34:04.800,134.893,-5.568,9.4,20080324,APO,180
J090722.4-283415,09:07:22.3200,-28:34:15.600,136.843,-28.571,10.9,20090215,ESO,130
J090922.5-272207,09:09:22.5600,-27:22:08.400,137.344,-27.369,10.8,20090216,ESO,130
J093101.0-030405,09:31:00.9600,-03:04:04.800,142.754,-3.068,9.9,20080317,APO,170
J093101.0-030405,09:31:00.9600,-03:04:04.800,142.754,-3.068,9.9,combo,APO,180
J093121.3-332635,09:31:21.3600,-33:26:34.800,142.839,-33.443,10.2,20090215,ESO,180
J093619.9-205314,09:36:19.9200,-20:53:13.200,144.083,-20.887,9.2,20090212,ESO,200
J100310.2-203704,10:03:10.3200,-20:37:04.800,150.793,-20.618,10.1,20090217,ESO,130
J100334.4-170612,10:03:34.3200,-17:06:10.800,150.893,-17.103,10.3,20080324,APO,160
J100603.1-114029,10:06:03.1200,-11:40:30.000,151.513,-11.675,9.2,20071219,APO,180
J101915.7-192446,10:19:15.8400,-19:24:46.800,154.816,-19.413,10.2,20090216,ESO,130
J102436.9-063029,10:24:36.9600,-06:30:28.800,156.154,-6.508,10.5,20090214,ESO,100
J102818.1-280723,10:28:18.0000,-28:07:22.800,157.075,-28.123,10.0,20090215,ESO,150
J103742.2-104232,10:37:42.2400,-10:42:32.400,159.426,-10.709,9.4,20090213,ESO,160
J103748.8-350618,10:37:48.9600,-35:06:18.000,159.454,-35.105,10.5,20090212,ESO,140
J104034.8-112021,10:40:34.8000,-11:20:20.400,160.145,-11.339,10.2,20080324,APO,130
J104610.9-023806,10:46:11.0400,-02:38:06.000,161.546,-2.635,9.4,20090213,ESO,110
J104943.6-092646,10:49:43.6800,-09:26:45.600,162.432,-9.446,9.3,20071219,APO,160
J105252.9-262048,10:52:53.0400,-26:20:49.200,163.221,-26.347,9.2,20090218,ESO,200
J105642.1-273735,10:56:42.2400,-27:37:33.600,164.176,-27.626,11.1,20080317,APO,200
J105811.4-263418,10:58:11.5200,-26:34:19.200,164.548,-26.572,9.2,20090217,ESO,150
J110248.5-030125,11:02:48.4800,-03:01:26.400,165.702,-3.024,10.8,20070506,LCO,130
J110416.2-124129,11:04:16.0800,-12:41:31.200,166.067,-12.692,9.4,20090216,ESO,160
J110708.8-265825,11:07:08.8800,-26:58:26.400,166.787,-26.974,10.9,20090214,ESO,110
J110746.5-033433,11:07:46.5600,-03:34:33.600,166.944,-3.576,10.5,20070506,LCO,200
J111447.8-405219,11:14:47.7600,-40:52:19.200,168.699,-40.872,10.8,20090212,ESO,150
J112344.9-290327,11:23:44.8800,-29:03:28.800,170.937,-29.058,10.1,20090215,ESO,150
J112651.4-180530,11:26:51.3600,-18:05:31.200,171.714,-18.092,10.2,20080324,APO,120
J113110.2-154315,11:31:10.3200,-15:43:15.600,172.793,-15.721,10.6,20080324,APO,150
J113635.0-083517,11:36:35.0400,-08:35:16.800,174.146,-8.588,9.4,20080324,APO,220
J114029.4-222107,11:40:29.5200,-22:21:07.200,175.123,-22.352,10.7,20070506,LCO,110
J114200.1-161729,11:42:00.2400,-16:17:31.200,175.501,-16.292,10.9,20080317,APO,160
J115337.3-020036,11:53:37.2000,-02:00:36.000,178.405,-2.01,9.2,20090217,ESO,200
J115408.3-125455,11:54:08.4000,-12:54:57.600,178.535,-12.916,10.2,20090213,ESO,130
J115824.2-130520,11:58:24.2400,-13:05:20.400,179.601,-13.089,10.8,20080317,APO,170
J120213.1-111220,12:02:13.2000,-11:12:21.600,180.555,-11.206,10.9,20070506,LCO,150
J120244.8-171201,12:02:44.8800,-17:11:60.000,180.687,-17.2,10.2,20090217,ESO,170
J120324.9-353405,12:03:24.9600,-35:34:04.800,180.854,-35.568,9.7,20090214,ESO,170
J120920.8-203636,12:09:20.8800,-20:36:36.000,182.337,-20.61,9.8,20090215,ESO,120
J121231.9-334428,12:12:31.9200,-33:44:27.600,183.133,-33.741,9.7,20090214,ESO,120
J122239.1-422157,12:22:39.1200,-42:21:57.600,185.663,-42.366,9.8,20090213,ESO,150
J123050.9-451108,12:30:50.8800,-45:11:09.600,187.712,-45.186,9.1,20090218,ESO,140
J123824.6-292725,12:38:24.7200,-29:27:25.200,189.603,-29.457,10.2,20070506,LCO,110
J123859.7-025609,12:38:59.7600,-02:56:09.600,189.749,-2.936,10.1,20070506,LCO,100
J124244.9-131503,12:42:44.8800,-13:15:03.600,190.687,-13.251,9.6,20090213,ESO,120
J124307.9-140657,12:43:07.9200,-14:06:57.600,190.783,-14.116,9.9,20090216,ESO,160
J125431.7-425303,12:54:31.6800,-42:53:02.400,193.632,-42.884,10.4,20070624,AAT,150
J125815.0-402633,12:58:14.8800,-40:26:31.200,194.562,-40.442,10.3,20070506,LCO,180
J130043.2-091049,13:00:43.2000,-09:10:48.000,195.18,-9.18,10.5,20080317,APO,150
J131013.0-334236,13:10:12.9600,-33:42:36.000,197.554,-33.71,9.7,20090214,ESO,130
J131951.5-144755,13:19:51.5900,-14:47:56.400,199.965,-14.799,10.0,20070506,LCO,140
J132157.2-241639,13:21:57.1200,-24:16:40.800,200.488,-24.278,9.8,20090217,ESO,170
J132302.8-174949,13:23:02.8800,-17:49:48.000,200.762,-17.83,10.8,20070506,LCO,130
J132414.3-180620,13:24:14.4000,-18:06:21.600,201.06,-18.106,10.5,20080611,APO,190
J132604.5-152502,13:26:04.5600,-15:25:01.200,201.519,-15.417,10.3,20070622,AAT,190
J132635.5-280343,13:26:35.5200,-28:03:43.200,201.648,-28.062,9.2,20090214,ESO,120
J133403.6-122545,13:34:03.5900,-12:25:44.400,203.515,-12.429,10.1,20080327,APO,180
J134340.7-112620,13:43:40.5600,-11:26:20.400,205.919,-11.439,9.2,20090215,ESO,150
J135125.0-470627,13:51:24.9600,-47:06:28.800,207.854,-47.108,9.1,20090215,ESO,150
J140206.8-135654,14:02:06.9600,-13:56:52.800,210.529,-13.948,10.5,20070506,LCO,150
J140722.5-295446,14:07:22.5600,-29:54:46.800,211.844,-29.913,9.7,20090215,ESO,130
J140741.7-175143,14:07:41.7600,-17:51:43.200,211.924,-17.862,10.1,20090218,ESO,160
J140908.9-281336,14:09:08.8800,-28:13:37.200,212.287,-28.227,10.8,20070506,LCO,140
J141231.4-050201,14:12:31.4400,-05:02:02.400,213.131,-5.034,10.6,20070623,AAT,120
J141810.5-333452,14:18:10.5600,-33:34:51.600,214.544,-33.581,10.1,20070624,AAT,140
J141832.4-081824,14:18:32.4000,-08:18:25.200,214.635,-8.307,9.8,20090217,ESO,150
J142522.3-114202,14:25:22.3200,-11:42:03.600,216.343,-11.701,10.0,20070506,LCO,150
J142546.2-154629,14:25:46.3200,-15:46:30.000,216.443,-15.775,9.8,20090212,ESO,130
J142839.0-204459,14:28:39.1200,-20:45:00.000,217.163,-20.75,9.7,20090213,ESO,170
J142911.4-053131,14:29:11.5200,-05:31:30.000,217.298,-5.525,10.7,20070506,LCO,170
J144548.8-165433,14:45:48.7200,-16:54:32.400,221.453,-16.909,10.9,20080317,APO,100
J144603.1-011132,14:46:03.1200,-01:11:31.200,221.513,-1.192,10.0,20090212,ESO,160
J144614.2-123902,14:46:14.1600,-12:39:03.600,221.559,-12.651,10.5,20070506,LCO,130
J144747.0-143827,14:47:47.0400,-14:38:27.600,221.946,-14.641,11.1,20090216,ESO,130
J145446.0-251541,14:54:46.0800,-25:15:43.200,223.692,-25.262,10.2,20080317,APO,110
J145446.0-251541,14:54:46.0800,-25:15:43.200,223.692,-25.262,10.2,20070622,APO,130
J150031.0-122656,15:00:30.9600,-12:26:56.400,225.129,-12.449,9.7,20080228,APO,170
J150212.0-093319,15:02:12.0000,-09:33:18.000,225.55,-9.555,10.6,20070623,AAT,160
J150223.7-194824,15:02:23.7600,-19:48:25.200,225.599,-19.807,10.0,20090218,ESO,140
J150436.8-123108,15:04:36.7200,-12:31:08.400,226.153,-12.519,9.3,20090213,ESO,130
J150505.2-035039,15:05:05.2800,-03:50:38.400,226.272,-3.844,9.1,20080611,APO,120
J150628.6-142803,15:06:28.8000,-14:28:04.800,226.62,-14.468,10.5,20070505,LCO,130
J150740.0-212242,15:07:40.0800,-21:22:44.400,226.917,-21.379,9.3,20080327,APO,130
J150824.0-125620,15:08:24.0000,-12:56:20.400,227.1,-12.939,10.4,20070506,LCO,160
J151446.1-062842,15:14:46.0800,-06:28:44.400,228.692,-6.479,9.6,20090217,ESO,180
J152033.7-094304,15:20:33.5900,-09:43:04.800,230.14,-9.718,9.2,20080419,APO,170
J152141.1-155317,15:21:41.0400,-15:53:16.800,230.421,-15.888,10.3,20070506,LCO,130
J152423.2-092207,15:24:23.2800,-09:22:08.400,231.097,-9.369,10.4,20070506,LCO,100
J155803.8-061632,15:58:03.8400,-06:16:33.600,239.516,-6.276,10.2,20070506,LCO,160
J160433.6-123549,16:04:33.5900,-12:35:49.200,241.14,-12.597,10.4,20070623,AAT,150
J161527.2-141858,16:15:27.1200,-14:18:57.600,243.863,-14.316,10.4,20070506,LCO,100
J161637.1-143139,16:16:37.2000,-14:31:40.800,244.155,-14.528,10.7,20070506,LCO,120
J162128.4-114017,16:21:28.5600,-11:40:15.600,245.369,-11.671,10.4,20070622,AAT,120
J162230.6-062843,16:22:30.7200,-06:28:44.400,245.628,-6.479,10.7,20070506,LCO,100
J162849.6-033521,16:28:49.6800,-03:35:20.400,247.207,-3.589,10.2,20080419,APO,180
J165253.6-011557,16:52:53.7600,-01:15:57.600,253.224,-1.266,10.6,20080327,APO,120
J174311.3-804846,17:43:11.5200,-80:48:46.800,265.798,-80.813,9.0,20070921,AAT,110
J180811.5-802007,18:08:11.5200,-80:20:09.600,272.048,-80.336,10.1,2007combo,APO,150
J185443.3-822504,18:54:43.2000,-82:25:04.800,283.68,-82.418,10.2,20070920,AAT,120
J185501.5-675744,18:55:01.4400,-67:57:46.800,283.756,-67.963,9.1,20080909,AAT,180
J190708.1-635829,19:07:08.1600,-63:58:30.000,286.784,-63.975,10.4,20070506,LCO,150
J191144.7-600208,19:11:44.6400,-60:02:09.600,287.936,-60.036,10.3,20080909,AAT,160
J191258.2-790347,19:12:58.3200,-79:03:46.800,288.243,-79.063,9.0,20080908,AAT,130
J191618.2-554445,19:16:18.2400,-55:44:45.600,289.076,-55.746,10.2,20080908,AAT,150
J192145.9-712436,19:21:45.8400,-71:24:36.000,290.441,-71.41,10.5,20070623,AAT,130
J192334.3-834540,19:23:34.3200,-83:45:39.600,290.893,-83.761,9.4,20080912,AAT,170
J192406.6-693706,19:24:06.7200,-69:37:04.800,291.028,-69.618,10.5,20070506,LCO,100
J192916.9-511613,19:29:17.0400,-51:16:12.000,292.321,-51.27,9.4,20080910,AAT,160
J193338.2-595902,19:33:38.1600,-59:59:02.400,293.409,-59.984,10.4,20070505,LCO,110
J193357.0-582141,19:33:57.1200,-58:21:43.200,293.488,-58.362,9.5,20080910,AAT,150
J193443.1-462130,19:34:43.2000,-46:21:28.800,293.68,-46.358,9.2,20080913,AAT,120
J194550.6-392630,19:45:50.6400,-39:26:31.200,296.461,-39.442,11.7,20081016,LCO,180
J194552.6-504608,19:45:52.8000,-50:46:08.400,296.47,-50.769,10.4,20081016,LCO,160
J194811.5-483511,19:48:11.5200,-48:35:13.200,297.048,-48.587,9.3,20070920,AAT,190
J194850.3-344917,19:48:50.4000,-34:49:19.200,297.21,-34.822,10.4,20070506,LCO,100
J194952.7-641309,19:49:52.8000,-64:13:12.000,297.47,-64.22,11.1,20081015,LCO,190
J195221.4-695417,19:52:21.3600,-69:54:18.000,298.089,-69.905,10.6,20070623,AAT,130
J195244.9-600813,19:52:44.8800,-60:08:13.200,298.187,-60.137,10.1,20081016,LCO,160
J195313.7-531456,19:53:13.6800,-53:14:56.400,298.307,-53.249,11.0,20070506,LCO,130
J195716.7-335026,19:57:16.8000,-33:50:27.600,299.32,-33.841,10.5,20081016,LCO,160
J200150.5-310651,20:01:50.6400,-31:06:50.400,300.461,-31.114,10.7,20081015,LCO,140
J200420.2-270110,20:04:20.4000,-27:01:12.000,301.085,-27.02,10.1,20070506,LCO,120
J200728.5-495434,20:07:28.5600,-49:54:32.400,301.869,-49.909,10.1,20070506,LCO,100
J201031.9-355854,20:10:31.9200,-35:58:55.200,302.633,-35.982,10.5,20081015,LCO,150
J201721.9-380126,20:17:21.8400,-38:01:26.400,304.341,-38.024,10.1,20070506,LCO,120
