Name,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
T6340_00478_1,20:20:01.9200,-22:07:30.000,305.008,-22.125,9.7,20070506,LCO,200
T6412_00004_1,00:10:20.6400,-22:46:08.400,2.586,-22.769,9.3,20061202,APO,160
T6444_00154_1,03:05:24.2400,-28:57:39.600,46.351,-28.961,9.2,20080912,AAT,170
T6501_01104_1,05:42:59.2800,-29:56:09.600,85.747,-29.936,10.1,20081015,LCO,280
T6640_00549_1,11:04:46.8000,-24:34:22.800,166.195,-24.573,9.6,20071219,APO,150
T6642_00874_1,10:47:00.9600,-27:06:39.600,161.754,-27.111,10.3,20070505,LCO,130
T6695_00459_1,12:33:59.7600,-29:44:06.000,188.499,-29.735,10.4,20070505,LCO,110
T6703_00690_1,13:14:34.0800,-26:06:57.600,198.642,-26.116,9.4,20070417,APO,190
T6709_00331_1,12:54:11.0400,-28:49:48.000,193.546,-28.83,9.7,20070505,LCO,100
T6709_00331_1,12:54:11.0400,-28:49:48.000,193.546,-28.83,9.7,20070417,LCO,150
T6718_00241_1,13:37:25.2000,-25:12:50.400,204.355,-25.214,10.5,20070506,LCO,130
T6757_00705_1,14:37:03.1200,-29:09:07.200,219.263,-29.152,10.6,20070505,LCO,120
T6904_00180_1,20:04:49.4400,-28:16:26.400,301.206,-28.274,9.1,20070506,LCO,200
T6904_00180_1,20:04:49.4400,-28:16:26.400,301.206,-28.274,9.1,20060715,LCO,150
T6909_00633_1,20:08:25.9200,-25:30:18.000,302.108,-25.505,9.6,20080912,AAT,180
T6909_01741_1,20:13:15.8400,-24:58:22.800,303.316,-24.973,9.2,20070506,LCO,100
T6913_00155_1,20:08:00.7200,-27:59:27.600,302.003,-27.991,9.6,20070505,LCO,120
T6953_00510_1,21:51:52.5600,-22:56:06.000,327.969,-22.935,9.9,20081016,LCO,140
T6975_00058_1,23:10:52.8000,-26:41:56.400,347.72,-26.699,10.1,20061202,APO,130
T6975_00904_1,23:05:50.6400,-25:57:21.600,346.461,-25.956,10.3,20081015,LCO,140
T7217_00088_1,11:42:09.8400,-31:25:48.000,175.541,-31.43,9.4,20090216,ESO,130
T7222_00638_1,11:58:06.9600,-32:07:19.200,179.529,-32.122,10.9,20090213,ESO,130
T7228_01050_1,11:37:57.8400,-35:39:43.200,174.491,-35.662,9.9,20070506,LCO,120
T7232_00209_1,12:10:59.2800,-31:08:06.000,182.747,-31.135,9.5,20070624,AAT,100
T7242_00198_1,12:28:45.8400,-33:56:52.800,187.191,-33.948,9.4,20070505,LCO,140
T7299_00506_1,14:25:34.0800,-33:01:08.400,216.392,-33.019,9.7,20070505,LCO,150
T7464_00857_1,20:40:31.4400,-34:54:28.800,310.131,-34.908,9.4,20070505,LCO,100
T7538_00271_1,00:46:23.5200,-44:46:51.600,11.598,-44.781,9.8,20080910,AAT,200
T7578_00560_1,04:22:57.8400,-38:21:28.800,65.741,-38.358,10.1,20090217,ESO,130
T7729_00280_1,11:05:38.6400,-39:28:58.800,166.411,-39.483,10.6,20090218,ESO,160
T7922_00252_1,19:19:32.1600,-39:50:52.800,289.884,-39.848,9.3,20070506,LCO,130
T8055_00583_1,02:22:46.3200,-51:50:34.800,35.693,-51.843,9.4,20070924,AAT,130
T8117_00251_1,06:51:52.5600,-46:48:25.200,102.969,-46.807,9.8,20080317,APO,140
T8251_00250_1,13:17:26.8800,-47:45:43.200,199.362,-47.762,9.4,20070624,AAT,120
T8409_01371_1,20:16:03.5900,-47:42:07.200,304.015,-47.702,9.0,20070505,LCO,100
T8413_00131_1,20:19:29.5200,-48:46:15.600,304.873,-48.771,9.6,20070506,LCO,100
T8428_00929_1,21:35:57.3600,-48:29:49.200,323.989,-48.497,9.9,20080911,AAT,190
T8446_00381_1,22:42:11.2800,-45:45:10.800,340.547,-45.753,10.1,20070924,AAT,130
T8454_00937_1,23:08:58.8000,-50:15:00.000,347.245,-50.25,9.7,20070623,AAT,160
T8488_00009_1,01:58:04.5600,-58:48:50.400,29.519,-58.814,9.1,20070924,AAT,130
T8519_00103_1,05:40:51.8400,-52:44:27.600,85.216,-52.741,10.7,20090214,ESO,110
T8789_00425_1,20:23:19.9200,-58:51:57.600,305.833,-58.866,9.5,20070505,LCO,120
T8824_00811_1,22:58:38.6400,-53:07:58.800,344.661,-53.133,10.4,20080910,AAT,170
T8847_00274_1,00:23:53.5200,-66:49:22.800,5.973,-66.823,10.0,20070921,AAT,130
T8865_00425_1,02:47:06.2400,-66:31:58.800,41.776,-66.533,9.3,20070924,AAT,100
T8870_00259_1,03:48:31.4400,-62:45:39.600,57.131,-62.761,10.7,20081015,LCO,170
T9159_01533_1,03:55:13.2000,-73:44:16.800,58.805,-73.738,9.1,20080911,AAT,130
T9161_00706_1,05:07:09.5900,-67:55:04.800,76.79,-67.918,9.8,20070924,AAT,100
T9169_01585_1,05:05:40.0800,-71:36:07.200,76.417,-71.602,9.8,20090215,ESO,100
T9378_00079_1,05:38:17.0400,-75:16:19.200,84.571,-75.272,10.5,20081015,LCO,220
T9392_00902_1,06:57:40.3200,-81:33:14.400,104.418,-81.554,9.3,20090218,ESO,130
