Table 3 
Measured Structural Parameters: Exponential and Plummer Models


No.	Object	theta_exp	epsilon_exp	r_h,exp	r_h,exp	theta_p	epsilon_p	r_h,p	r_h,p	
		(deg)		(arcmin)	(pc)	(deg)		(arcmin)	(pc)	
Primary Sample										
34	UMi	50 +or- 1	0.55 +or- 0.01	18.2 +or- 0.1	404 +or- 2	50 +or- 1	0.55 +or- 0.01	18.3 +or- 0.11	407 +or- 2	
35	Palomar 14	81 +or- 18	0.10 +or- 0.06	1.42 +or- 0.08	31.6 +or- 1.8	86 +or- 17	0.09 +or- 0.05	1.36 +or- 0.06	30.3 +or- 1.3	
36	Hercules	-74 +or- 2	0.70 +or- 0.03	5.83 +or- 0.65	224 +or- 25	-73 +or- 2	0.69 +or- 0.03	5.63 +or- 0.46	216 +or- 17	
37	NGC 6229	-53 +or- 23	0.03 +or- 0.01	cdots	cdots	102 +or- 76	0.03 +or- 0.01	0.41 +or- 0.01	3.63 +or- 0.09	
38	Palomar 15	93 +or- 18	0.04 +or- 0.02	1.45 +or- 0.04	19.0 +or- 0.5	91 +or- 18	0.04 +or- 0.02	1.49 +or- 0.03	19.5 +or- 0.4	
39	Draco	87 +or- 1	0.30 +or- 0.01	9.61 +or- 0.10	212 +or- 2	87 +or- 1	0.29 +or- 0.01	9.67 +or- 0.09	214 +or- 2	
40	NGC 7006	111 +or- 6	0.06 +or- 0.02	cdots	cdots	108 +or- 6	0.05 +or- 0.01	cdots	cdots	
41	Segue 3	55 +or- 29	0.25 +or- 0.13	0.54 +or- 0.11	4.2 +or- 0.9	51 +or- 38	0.23 +or- 0.11	0.49 +or- 0.08	3.8 +or- 0.6	
42	Pisces II	98 +or- 13	0.39 +or- 0.10	1.18 +or- 0.20	62.5 +or- 10.6	78 +or- 20	0.34 +or- 0.10	1.12 +or- 0.16	59.3 +or- 8.5	
43	Palomar 13	6 +or- 37	0.04 +or- 0.04	1.26 +or- 0.10	9.5 +or- 0.8	11 +or- 32	0.05 +or- 0.05	1.14 +or- 0.10	8.6 +or- 0.8	
44	NGC 7492	125 +or- 21	0.03 +or- 0.01	cdots	cdots	-51 +or- 33	0.03 +or- 0.02	1.28 +or- 0.02	9.79 +or- 0.16	
Secondary Sample										
1	Triangulum II	28 +or- 19	0.48 +or- 0.17	2.34 +or- 0.58	20.4 +or- 5.1	44 +or- 18	0.46 +or- 0.16	1.99 +or- 0.49	17.4 +or- 4.3	
2	Eridanus III	73 +or- 28	0.57 +or- 0.20	0.34 +or- 0.23	8.6 +or- 5.8	60 +or- 28	0.58 +or- 0.25	0.30 +or- 0.24	7.6 +or- 6.1	
3	Horologium I	53 +or- 27	0.32 +or- 0.13	1.71 +or- 0.37	39.3 +or- 8.5	57 +or- 25	0.27 +or- 0.13	1.59 +or- 0.31	36.5 +or- 7.1	
4	Horologium II	137 +or- 12	0.71 +or- 0.17	2.17 +or- 0.59	49.2 +or- 13.3	140 +or- 12	0.72 +or- 0.16	1.94 +or- 0.61	44.0 +or- 13.8	
5	Reticulum II	69 +or- 2	0.56 +or- 0.03	5.41 +or- 0.18	47.2 +or- 1.6	70 +or- 2	0.58 +or- 0.02	5.52 +or- 0.19	48.2 +or- 1.7	
6	Eridanus II	82 +or- 8	0.38 +or- 0.07	1.80 +or- 0.16	199 +or- 17	82 +or- 8	0.35 +or- 0.06	1.77 +or- 0.17	196 +or- 18.8	
7	Pictoris I	69 +or- 21	0.57 +or- 0.19	0.89 +or- 0.36	29.5 +or- 11.9	72 +or- 21	0.63 +or- 0.21	0.88 +or- 0.38	29.2 +or- 12.6	
8	Laevens 1	102 +or- 20	0.20 +or- 0.11	0.50 +or- 0.06	21.1 +or- 2.5	111 +or- 16	0.17 +or- 0.12	0.51 +or- 0.16	21.5 +or- 6.7	
9	Hydra II	13 +or- 28	0.25 +or- 0.16	1.65 +or- 0.39	64.3 +or- 15.2	16 +or- 25	0.24 +or- 0.16	1.52 +or- 0.28	59.2 +or- 10.9	
10	Kim 2	3 +or- 26	0.72 +or- 0.30	0.70 +or- 0.46	20.4 +or- 13.3	8 +or- 20	0.32 +or- 0.28	0.48 +or- 0.41	14.0 +or- 11.9	
11	Balbinot 1	156 +or- 13	0.33 +or- 0.12	0.86 +or- 0.20	8.0 +or- 1.8	154 +or- 10	0.37 +or- 0.15	0.87 +or- 0.20	8.1 +or- 1.9	
	Kim 1	120 +or- 26	0.64 +or- 0.19	0.93 +or- 0.25	5.4 +or- 1.4	120 +or- 20	0.59 +or- 0.22	1.09 +or- 0.25	6.3 +or- 1.4	
12	Grus I	6 +or- 33	0.55 +or- 0.25	1.50 +or- 0.68	52.4 +or- 23.8	23 +or- 18	0.45 +or- 0.30	0.81 +or- 0.66	28.3 +or- 23.0	
13	Phoenix II	-19 +or- 15	0.62 +or- 0.19	1.60 +or- 0.33	38.6 +or- 8.0	-20 +or- 18	0.67 +or- 0.22	1.49 +or- 0.53	36.0 +or- 12.8	
Note.
^a Battaglia et al. (2006).
