Name,Name2,<[Fe/H]>,<O>,<Na>,<Mg>,<Si>,<Ca>,<Sc>,<Ti>,<V>,<Cr>,<Mn>,<FeII>,<Co>,<Ni>,<Cu>,<Ba>,<La>,<Nd>,<Eu>,e_<[Fe/H]>,e_<O>,e_<Na>,e_<Mg>,e_<Si>,e_<Ca>,e_<Sc>,e_<Ti>,e_<V>,e_<Cr>,e_<Mn>,e_<FeII>,e_<Co>,e_<Ni>,e_<Cu>,e_<Ba>,e_<La>,e_<Nd>,e_<Eu>
MKV0842,,-1.39,,,0.3,,0.5,,0.26,,-0.29,,0.5,,,,-0.66,,,,0.15,,,0.21,,0.2,,0.16,,0.21,,0.19,,,,0.22,,,
CC10194,,-1.42,0.17,-0.31,0.15,0.18,0.01,-0.27,0.22,-0.25,0.0,-0.9,-0.01,,-0.25,,0.13,0.24,-0.31,,0.15,0.27,0.24,0.14,0.27,0.08,0.15,0.12,0.19,0.23,0.17,0.21,,0.12,,0.22,0.26,0.25,
MKV0677,,-1.66,,,0.33,,0.12,,0.24,,0.19,-0.41,0.18,,,,-0.05,,,,0.14,,,0.19,,0.06,,0.09,,0.19,0.09,0.16,,,,0.1,,,
MKV0628,,-1.71,,,0.41,,0.09,,0.25,,0.03,,0.35,,,,-0.07,,,,0.14,,,0.21,,0.08,,0.11,,0.15,,0.16,,,,0.22,,,
MKV0640,,-1.85,,,0.34,,0.19,0.52,0.49,,0.16,-0.16,0.32,,,,0.34,1.09,,,0.15,,,0.24,,0.05,0.25,0.09,,0.11,0.13,0.17,,,,0.25,0.25,,
MKV0914,,-2.09,,,0.42,,0.22,,0.08,,-0.46,,-0.01,,,,-0.44,,,,0.15,,,0.24,,0.35,,0.25,,0.24,,0.19,,,,0.25,,,
MKV0925,,-1.35,,,0.62,,0.57,,0.9,,-0.29,,0.12,,,,0.06,,,,0.15,,,0.19,,0.05,,0.21,,0.19,,0.17,,,,0.12,,,
Car-7002,,-2.68,,,-0.01,,-0.02,,0.45,,,,,,,,-0.84,,,,0.15,,,0.23,,0.11,,0.23,,,,,,,,0.17,,,
MKV0812,,-0.83,,,,,-0.04,,0.9,,-0.11,,0.18,,,,-0.4,,,,0.15,,,,,0.25,,0.48,,0.25,,0.49,,,,0.27,,,
CC09869,MKV0825,-1.32,,-0.19,0.19,0.13,0.04,0.14,0.15,-0.28,0.02,-0.3,0.1,,-0.1,,0.04,0.48,,,0.11,,0.22,0.04,0.14,0.05,0.14,0.06,0.16,0.11,0.06,0.12,,0.08,,0.14,0.11,,
MKV0780,,-1.42,,,-0.2,,-0.13,,0.21,,-0.62,-0.3,0.21,,,,0.15,,,,0.15,,,0.31,,0.09,,0.29,,0.31,0.32,0.16,,,,0.33,,,
MKV0976,,-1.29,,,0.06,,-0.05,,0.74,,0.33,,0.06,,,,-0.14,,,,0.15,,,0.24,,0.23,,0.24,,0.24,,0.27,,,,0.25,,,
CC11388,,-1.52,,,0.52,,0.08,,,,,,,,-0.04,,0.02,,,,0.14,,,0.25,,0.15,,,,,,,,0.25,,0.14,,,
CC07452,Car-612,-1.33,,-0.69,-0.45,,-0.27,-0.62,-0.22,-0.63,-0.14,-0.36,0.27,,-0.35,,-0.67,,-0.34,,0.1,,0.19,0.11,,0.03,0.12,0.07,0.16,0.08,0.07,0.12,,0.05,,0.1,,0.22,
CC11560,MKV1009,-1.58,0.58,0.25,0.07,,0.21,0.16,0.18,0.33,-0.03,-0.28,0.39,,-0.06,,0.43,0.89,,,0.1,0.24,0.21,0.1,,0.03,0.18,0.08,0.39,0.12,0.18,0.12,,0.17,,0.18,0.23,,
CC12038,MKV1012,-1.56,,-0.25,0.43,0.55,0.15,-0.1,0.14,,-0.1,-0.25,0.31,,-0.11,,0.13,0.59,,,0.11,,0.24,0.16,0.44,0.06,0.13,0.09,,0.16,0.24,0.12,,0.08,,0.09,0.25,,
CC11217,,-1.28,0.28,-0.23,0.09,0.11,0.04,-0.04,0.23,-0.13,-0.12,-0.31,0.14,-0.41,-0.11,,0.07,0.12,,0.44,0.14,0.21,0.17,0.12,0.15,0.04,0.14,0.07,0.13,0.12,0.06,0.16,0.18,0.07,,0.11,0.13,,0.2
MKV0596,,-1.58,,,-0.08,,-0.22,,0.18,,0.12,-0.22,0.06,,,,-0.31,,,,0.15,,,0.25,,0.06,,0.09,,0.25,0.07,0.16,,,,0.16,,,
CC08447,,-1.48,,-0.21,0.28,0.1,0.08,0.01,0.29,0.02,-0.07,-0.29,0.32,,-0.27,-0.48,0.11,,,,0.13,,0.2,0.23,0.22,0.04,0.16,0.08,0.16,0.1,0.14,0.19,,0.09,0.2,0.14,,,
CC09226,MKV0770,-1.5,0.45,-0.22,0.22,0.34,0.08,0.1,0.3,0.58,-0.01,-0.17,0.18,,-0.06,,0.45,1.15,,,0.1,0.27,0.26,0.13,0.29,0.05,0.16,0.11,0.19,0.11,0.25,0.12,,0.07,,0.21,0.26,,
Car-524,,-1.73,0.47,,0.25,0.41,-0.01,-0.02,0.04,-0.03,-0.05,-0.37,0.17,,-0.02,,0.19,0.61,0.44,,0.14,0.21,,0.13,0.21,0.05,0.13,0.1,0.19,0.14,0.11,0.16,,0.06,,0.2,0.11,0.19,
Car-1087,,-2.47,,,0.15,,-0.45,0.06,0.53,,-0.51,,,,,,-1.07,,,,0.16,,,0.26,,0.15,0.16,0.28,,0.26,,,,,,0.28,,,
MKV0880,,-1.52,,,0.29,0.51,0.11,,0.16,,-0.08,-0.39,0.26,,0.24,,-0.11,,,0.52,0.14,,,0.17,0.2,0.06,,0.07,,0.17,0.08,0.16,,0.17,,0.19,,,0.21
CC10690,MKV0902,-1.93,,,-0.4,,-0.17,-0.27,0.15,,-0.39,-0.25,0.29,,-0.37,,-0.31,,,,0.1,,,0.13,,0.05,0.21,0.09,,0.12,0.17,0.12,,0.13,,0.1,,,
CC10944,,-1.89,,,0.26,0.44,0.06,-0.01,0.32,0.27,-0.06,-0.47,0.3,,-0.01,,0.2,,,,0.12,,,0.13,0.24,0.06,0.16,0.16,0.34,0.09,0.09,0.16,,0.06,,0.12,,,
CC09179,,-1.78,,,0.03,0.84,-0.14,-0.22,-0.08,0.29,-0.13,,0.31,,-0.28,,0.41,,,0.95,0.15,,,0.38,0.24,0.08,0.17,0.12,0.22,0.12,,0.16,,0.1,,0.16,,,0.25
