Name,Simbad_Identifier,System,Loc,RA_hms,DEC_dms,Vmag,B-V,Imag,Jmag,Hmag,Ksmag,Vel,e_Vel
CC06122,[NYV2017] CC06122,Carina,DW,06:41:39.64,-50:49:58.8,17.60,1.43,16.18,15.23,14.48,14.34,230.31,0.08
CC06486,[NYV2017] CC06486,Carina,DW,06:41:46.00,-50:51:00.6,18.17,1.24,16.89,16.01,15.41,15.27,226.23,0.19
CC06975,[NYV2017] CC06975,Carina,DW,06:42:10.86,-50:52:20.6,18.38,1.11,17.13,16.23,15.65,15.55,229.57,0.18
CC07452,[NYV2017] CC07452,Carina,DW,06:40:58.46,-50:53:35.5,17.80,1.29,16.41,15.52,14.88,14.74,225.23,0.09
CC07889,[NYV2017] CC07889,Carina,DW,06:41:40.83,-50:54:45.8,18.55,1.06,17.34,16.53,15.97,15.83,236.29,0.27
CC08447,[NYV2017] CC08447,Carina,DW,06:41:10.54,-50:55:53.0,17.99,1.25,16.65,15.72,15.09,14.94,232.52,0.1
CC08469,[NYV2017] CC08469,Carina,DW,06:42:17.43,-50:55:55.3,17.81,1.29,16.43,15.47,14.8,14.64,223.63,0.11
CC08615,[NYV2017] CC08615,Carina,DW,06:41:49.58,-50:56:11.5,18.50,1.05,17.32,16.45,15.93,15.78,223.91,0.21
CC08695,[NYV2017] CC08695,Carina,DW,06:41:36.49,-50:56:23.3,17.88,1.29,16.53,15.53,14.9,14.74,228.46,0.08
CC08788,[NYV2017] CC08788,Carina,DW,06:41:50.10,-50:56:35.2,18.59,1.04,17.41,16.56,16.03,15.92,228.31,0.11
CC09000,[NYV2017] CC09000,Carina,DW,06:41:54.60,-50:57:00.9,17.67,1.49,16.1,15.06,14.44,14.27,230.46,0.14
CC09179,[NYV2017] CC09179,Carina,DW,06:41:17.93,-50:57:20.5,18.30,1.13,17.04,16.14,15.58,15.46,233.0,0.19
CC09225,[NYV2017] CC09225,Carina,DW,06:41:19.70,-50:57:25.6,18.01,1.21,16.71,15.74,15.14,15.02,220.18,0.07
CC09226,[NYV2017] CC09226,Carina,DW,06:41:12.30,-50:57:26.1,18.33,1.04,17.13,16.25,15.69,15.57,219.84,0.2
CC09430,[NYV2017] CC09430,Carina,DW,06:42:05.38,-50:57:48.6,18.26,1.15,16.98,16.07,15.48,15.35,223.54,0.19
CC09507,[NYV2017] CC09507,Carina,DW,06:41:54.08,-50:57:56.8,18.31,1.06,17.13,16.29,15.73,15.58,227.39,0.2
CC09633,[NYV2017] CC09633,Carina,DW,06:41:53.85,-50:58:11.2,17.88,1.21,16.53,15.62,15.04,14.9,219.04,0.25
CC09869,[NYV2017] CC09869,Carina,DW,06:40:56.96,-50:58:38.4,18.11,1.2,16.81,15.89,15.28,15.13,219.07,0.07
CC09929,[NYV2017] CC09929,Carina,DW,06:41:54.84,-50:58:47.0,18.47,1.11,17.21,16.31,15.72,15.57,217.07,0.27
CC10038,[NYV2017] CC10038,Carina,DW,06:42:02.81,-50:58:59.5,18.25,1.16,16.98,16.06,15.45,15.32,222.85,0.11
CC10194,[NYV2017] CC10194,Carina,DW,06:40:30.85,-50:59:15.4,17.76,1.29,16.38,15.38,14.77,14.62,215.26,0.2
CC10318,[NYV2017] CC10318,Carina,DW,06:41:57.63,-50:59:32.8,17.97,1.25,16.61,15.65,14.99,14.84,222.46,0.15
CC10414,[NYV2017] CC10414,Carina,DW,06:41:47.63,-50:59:44.2,18.13,1.19,16.84,15.92,15.29,15.13,222.14,0.18
CC10686,[NYV2017] CC10686,Carina,DW,06:41:27.18,-51:00:18.4,17.75,1.3,16.36,15.37,14.69,14.55,232.56,0.08
CC10690,[NYV2017] CC10690,Carina,DW,06:41:16.31,-51:00:18.7,18.14,1.16,16.84,15.92,15.33,15.19,222.15,0.22
CC10802,[NYV2017] CC10802,Carina,DW,06:41:27.55,-51:00:34.9,18.64,1.06,17.45,16.61,15.99,15.83,236.63,0.24
CC10944,[NYV2017] CC10944,Carina,DW,06:41:16.76,-51:00:54.1,17.78,1.28,16.46,15.52,14.88,14.75,220.43,0.15
CC11217,[NYV2017] CC11217,Carina,DW,06:41:05.01,-51:01:36.0,17.62,1.37,16.2,15.2,14.5,14.37,220.78,0.12
CC11388,[NYV2017] CC11388,Carina,DW,06:40:58.04,-51:02:00.3,17.92,1.2,16.62,15.68,15.07,14.94,224.83,0.22
CC11560,[NYV2017] CC11560,Carina,DW,06:40:59.29,-51:02:26.7,18.14,1.15,16.87,15.98,15.38,15.23,217.57,0.12
CC12038,[NYV2017] CC12038,Carina,DW,06:41:00.31,-51:03:43.1,18.42,1.1,17.19,16.29,15.7,15.58,223.79,0.29
CC12039,[NYV2017] CC12039,Carina,DW,06:41:21.98,-51:03:43.3,17.78,1.27,16.42,15.5,14.83,14.71,219.02,0.07
