Name,I/O,Simbad_Identifier,System,Slit,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg
10_8_3558,1,[CSF2018] 10-8-3558,Sculptor,,M2FS,,Blueward_of_RGB,01:00:02.65,-33:49:18.73,15.011042,-33.821869,5309,3.02
10_8_3625,1,[CSF2018] 10-8-3625,Sculptor,,M2FS,,RGB,01:00:01.44,-33:51:16.74,15.006,-33.85465,4469,1.0
10_8_3698,1,[CSF2018] 10-8-3698,Sculptor,,M2FS,,RGB,01:00:00.04,-33:45:28.81,15.000167,-33.758003,4546,1.18
10_8_3709,1,[CSF2018] 10-8-3709,Sculptor,,M2FS,,RGB,00:59:59.95,-33:47:02.03,14.999792,-33.783897,4742,1.67
10_8_3723,1,[CSF2018] 10-8-3723,Sculptor,,M2FS,,Blueward_of_RGB,00:59:59.92,-33:51:11.79,14.999667,-33.853275,5286,2.96
10_8_3751,1,[CSF2018] 10-8-3751,Sculptor,,M2FS,,RGB,00:59:59.33,-33:44:24.34,14.997208,-33.740094,4711,1.6
10_8_3804,1,[CSF2018] 10-8-3804,Sculptor,,M2FS,S,CEMP-s,00:59:58.91,-33:50:53.61,14.995458,-33.848225,4727,1.63
10_8_3926,1,[CSF2018] 10-8-3926,Sculptor,,M2FS,S,CEMP-s,00:59:56.73,-33:39:37.54,14.986375,-33.660428,4626,1.36
10_8_3963,1,[CSF2018] 10-8-3963,Sculptor,,M2FS,S,CEMP-s,00:59:56.17,-33:43:04.89,14.984042,-33.718025,4488,1.09
10_8_4014,1,[CSF2018] 10-8-4014,Sculptor,,M2FS,,Blueward_of_RGB,00:59:55.48,-33:45:51.48,14.981167,-33.7643,5244,2.88
10_8_4020,1,[CSF2018] 10-8-4020,Sculptor,,M2FS,,RGB,00:59:55.22,-33:42:11.34,14.980083,-33.70315,4624,1.4
10_8_4247,1,[CSF2018] 10-8-4247,Sculptor,,M2FS,,Blueward_of_RGB,00:59:51.56,-33:45:07.76,14.964833,-33.752156,5419,3.32
10_8_4250,1,[CSF2018] 10-8-4250,Sculptor,,M2FS,,RGB,00:59:51.51,-33:44:02.67,14.964625,-33.734075,4573,1.29
10_8_436,1,[CSF2018] 10-8-436,Sculptor,,M2FS,,Blueward_of_RGB,01:01:14.95,-33:47:21.34,15.312292,-33.789261,5404,3.35
10_8_437,1,[CSF2018] 10-8-437,Sculptor,,M2FS,S,CEMP-s,01:01:15.05,-33:50:02.63,15.312708,-33.834064,4553,1.24
10_8_440,1,[CSF2018] 10-8-440,Sculptor,,M2FS,,Blueward_of_RGB,01:01:14.29,-33:39:27.82,15.309542,-33.657728,5493,3.59
10_8_462,1,[CSF2018] 10-8-462,Sculptor,,M2FS,,RGB,01:01:13.19,-33:43:20.56,15.304958,-33.722378,4681,1.53
10_8_577,1,[CSF2018] 10-8-577,Sculptor,,M2FS,,RGB,01:01:06.92,-33:46:13.15,15.278833,-33.770319,4773,1.74
10_8_61,1,[CSF2018] 10-8-61,Sculptor,,M2FS,,RGB,01:01:47.52,-33:47:27.64,15.448,-33.791011,4713,1.6
10_8_758,1,[CSF2018] 10-8-758,Sculptor,,M2FS,,RGB,01:00:57.56,-33:39:39.74,15.239833,-33.661039,4746,1.64
10_8_798,1,[CSF2018] 10-8-798,Sculptor,,M2FS,,RGB,01:00:56.41,-33:49:47.18,15.235042,-33.829772,4609,1.37
11_1_2583,1,[CSF2018] 11-1-2583,Sculptor,,M2FS,,RGB,00:59:57.59,-33:38:32.54,14.989958,-33.642372,4539,1.35
11_1_3246,1,[CSF2018] 11-1-3246,Sculptor,,M2FS,,RGB,00:59:51.19,-33:44:51.82,14.963292,-33.747728,4546,1.36
11_1_3334,1,[CSF2018] 11-1-3334,Sculptor,,M2FS,S,CEMP-s,00:59:49.62,-33:40:41.78,14.95675,-33.678272,4721,1.62
11_1_3513,1,[CSF2018] 11-1-3513,Sculptor,,M2FS,,RGB,00:59:48.19,-33:46:50.01,14.950792,-33.780558,4724,1.59
11_1_3646,1,[CSF2018] 11-1-3646,Sculptor,,M2FS,,RGB,00:59:46.67,-33:47:19.71,14.944458,-33.788808,4764,1.72
11_1_3738,1,[CSF2018] 11-1-3738,Sculptor,,M2FS,,RGB,00:59:45.30,-33:43:53.83,14.93875,-33.731619,4756,1.79
11_1_3743,1,[CSF2018] 11-1-3743,Sculptor,,M2FS,,RGB,00:59:45.37,-33:45:34.19,14.939042,-33.759497,4740,1.66
11_1_4121,1,[CSF2018] 11-1-4121,Sculptor,,M2FS,S,CEMP-s,00:59:41.05,-33:45:25.28,14.921042,-33.757022,4554,1.25
11_1_4122,1,[CSF2018] 11-1-4122,Sculptor,,M2FS,,RGB,00:59:41.24,-33:48:03.56,14.921833,-33.800989,4467,1.2
11_1_4277,1,[CSF2018] 11-1-4277,Sculptor,,M2FS,,RGB,00:59:38.42,-33:40:11.57,14.910083,-33.669881,4805,1.81
11_1_4296,1,[CSF2018] 11-1-4296,Sculptor,,M2FS,,RGB,00:59:38.75,-33:46:14.58,14.911458,-33.770717,4697,1.55
11_1_4422,1,[CSF2018] 11-1-4422,Sculptor,,M2FS,,RGB,00:59:36.61,-33:40:38.51,14.902542,-33.677364,4783,1.76
11_1_4673,1,[CSF2018] 11-1-4673,Sculptor,,M2FS,,RGB,00:59:33.63,-33:49:10.10,14.890125,-33.819472,4546,1.23
11_1_4824,1,[CSF2018] 11-1-4824,Sculptor,,M2FS,,RGB,00:59:30.49,-33:39:04.16,14.877042,-33.651156,4508,1.09
11_1_5047,1,[CSF2018] 11-1-5047,Sculptor,,M2FS,,RGB,00:59:26.68,-33:40:22.43,14.861167,-33.672897,4662,1.49
11_1_5437,1,[CSF2018] 11-1-5437,Sculptor,,M2FS,S,CEMP-s,00:59:19.87,-33:38:56.77,14.832792,-33.649103,4517,1.12
11_1_6192,1,[CSF2018] 11-1-6192,Sculptor,,M2FS,,RGB,00:59:06.14,-33:44:11.39,14.775583,-33.736497,4552,1.37
11_1_6267,1,[CSF2018] 11-1-6267,Sculptor,,M2FS,,RGB,00:59:04.05,-33:40:31.48,14.766875,-33.675411,4503,1.08
11_1_6440,1,[CSF2018] 11-1-6440,Sculptor,,M2FS,S,CEMP-s,00:59:00.13,-33:38:50.96,14.750542,-33.647489,4579,1.3
11_1_6443,1,[CSF2018] 11-1-6443,Sculptor,,M2FS,,RGB,00:59:00.28,-33:43:14.64,14.751167,-33.720733,4484,1.03
11_1_6533,1,[CSF2018] 11-1-6533,Sculptor,,M2FS,,RGB,00:58:57.88,-33:41:50.34,14.741167,-33.697317,4635,1.43
11_2_425,1,[CSF2018] 11-2-425,Sculptor,,M2FS,,RGB,00:59:50.64,-33:58:07.10,14.961,-33.968639,4715,1.6
11_2_661,1,[CSF2018] 11-2-661,Sculptor,,M2FS,,RGB,00:59:25.63,-33:58:21.42,14.856792,-33.972617,4524,1.18
11_2_956,1,[CSF2018] 11-2-956,Sculptor,,M2FS,,RGB,00:58:39.65,-33:55:34.76,14.665208,-33.926322,4477,1.02
6_5_1035,1,[CSF2018] 6-5-1035,Sculptor,,M2FS,,RGB,01:00:19.33,-33:37:11.74,15.080542,-33.619928,4564,1.27
6_5_1598,1,[CSF2018] 6-5-1598,Sculptor,,M2FS,,RGB,00:59:59.09,-33:36:44.90,14.996208,-33.612472,4492,1.09
6_5_163,1,[CSF2018] 6-5-163,Sculptor,,M2FS,,Blueward_of_RGB,01:01:19.89,-33:35:57.44,15.332875,-33.599289,5055,2.41
6_5_239,1,[CSF2018] 6-5-239,Sculptor,,M2FS,,RGB,01:01:10.27,-33:38:37.81,15.292792,-33.643836,4505,1.09
6_5_420,1,[CSF2018] 6-5-420,Sculptor,,M2FS,,RGB,01:00:51.64,-33:36:56.74,15.215167,-33.615761,4565,2.5
6_5_505,1,[CSF2018] 6-5-505,Sculptor,,M2FS,S,CEMP-s,01:00:45.76,-33:38:34.83,15.190667,-33.643008,4706,1.57
6_5_678,1,[CSF2018] 6-5-678,Sculptor,,M2FS,,RGB,01:00:34.10,-33:35:08.73,15.142083,-33.585758,4615,1.38
6_5_736,1,[CSF2018] 6-5-736,Sculptor,,M2FS,,RGB,01:00:31.87,-33:38:00.22,15.132792,-33.633394,4547,1.23
6_5_948,1,[CSF2018] 6-5-948,Sculptor,,M2FS,,RGB,01:00:22.37,-33:38:07.79,15.093208,-33.635497,4633,1.39
