Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],[Ba/Fe]
10_7_442,-3.15,0.22,0.39,0.38,
10_7_486,>-3.02,,,,
10_7_570,-2.94,0.24,0.37,0.34,
10_7_923,-3.77,0.20,<0.34,0.36,
10_8_1062,-2.91,0.23,0.37,0.30,
10_8_1072,-3.63,0.21,<0.25,,
10_8_1124,-2.72,0.2,-0.49,0.38,
10_8_1308,-2.97,0.23,-0.01,0.40,
10_8_1325,-1.96,0.48,-0.53,0.41,
10_8_1366,-2.10,0.38,-0.22,0.41,
10_8_1463,-2.91,0.27,0.22,0.32,
10_8_1566,-2.42,0.2,-0.74,0.31,
10_8_1615,-2.55,0.34,<0.25,,
10_8_1640,-1.59,0.26,-0.89,0.27,
10_8_1731,-2.91,0.23,<0.25,,
10_8_1877,-1.87,0.26,-0.70,0.30,
10_8_1887,-2.72,0.21,-0.26,0.36,
10_8_2028,-2.39,0.51,-0.22,0.51,
10_8_2126,-2.74,0.24,0.38,0.36,
10_8_2134,>-2.98,,,,
10_8_2148,-2.83,0.27,0.55,0.35,
10_8_2211,-1.59,0.25,-1.09,0.27,
10_8_2558,-2.91,0.28,0.22,0.47,
10_8_2635,-3.05,0.2,-0.28,0.36,
10_8_2647,-2.39,0.29,-0.11,0.34,
10_8_265,-3.05,0.22,0.37,0.34,
10_8_2669,-2.94,0.23,-0.03,0.38,
10_8_2730,-2.86,0.22,-0.37,0.40,
10_8_2818,-2.83,0.19,-0.18,0.34,
10_8_2824,-3.14,0.22,0.39,0.31,
10_8_2908,-2.78,0.15,-0.53,0.32,
10_8_2927,-2.94,0.17,0.03,0.39,
10_8_2933,-2.96,0.23,<0.25,,
10_8_3045,-2.55,0.28,0.16,0.39,
10_8_3111,-1.15,0.37,-0.86,0.30,
10_8_3167,-3.05,0.22,0.11,0.42,
10_8_3188,-1.98,0.45,<0.00,,
10_8_320,-3.00,0.15,-0.39,0.40,
10_8_3315,-2.54,0.18,-0.59,0.35,
10_8_3520,-2.85,0.21,-0.38,0.38,
10_8_3558,-2.48,0.31,<0.4,,
10_8_3625,-2.11,0.17,-0.84,0.31,
10_8_3698,-2.59,0.21,-0.47,0.38,
10_8_3709,-2.85,0.24,0.26,0.40,
10_8_3723,-2.38,0.82,<0.40,,
10_8_3751,-3.05,0.24,0.18,0.39,
10_8_3804,>-3.15,,,,
10_8_3926,>-3.76,,,,
10_8_3963,>-3.09,,,,
10_8_4014,-2.99,0.42,0.64,0.51,
10_8_4020,-3.05,0.21,-0.07,0.36,
10_8_4247,-2.84,0.39,<0.40,,
10_8_4250,-2.73,0.22,-0.75,0.40,
10_8_436,-1.42,0.83,-0.47,0.57,
10_8_437,>-3.20,,,,
10_8_440,-1.65,0.2,-0.45,0.31,
10_8_462,-3.06,0.22,0.28,0.36,
10_8_577,-3.23,0.27,0.61,0.39,
10_8_61,-3.15,0.25,<0.75,,
10_8_758,-2.50,0.28,0.00,0.38,
10_8_798,-2.74,0.23,-0.34,0.37,
11_1_2583,-1.78,0.78,-0.78,0.61,
11_1_3246,-1.83,0.58,-1.05,0.53,
11_1_3334,>-3.24,,,,
11_1_3513,-2.62,0.27,0.18,0.39,
11_1_3646,-3.05,0.24,0.55,0.38,
11_1_3738,-1.92,0.35,-1.01,0.37,
11_1_3743,-2.97,0.23,0.53,0.36,
11_1_4121,>-3.12,,,,
11_1_4122,-2.01,0.2,-0.88,0.24,
11_1_4277,-2.94,0.25,<0.00,,
11_1_4296,-3.33,0.22,0.25,0.32,
11_1_4422,-3.04,0.25,0.74,0.34,
11_1_4673,-3.11,0.17,-0.11,0.35,
11_1_4824,-2.66,0.24,-0.97,0.47,
11_1_5047,-3.23,0.2,-0.01,0.35,
11_1_5437,>-3.41,,,,
11_1_6192,-2.02,0.22,-0.89,0.26,
11_1_6267,-2.57,0.18,-0.74,0.37,
11_1_6440,>-3.04,,,,
11_1_6443,-2.45,0.17,-0.72,0.34,
11_1_6533,-2.98,0.22,0.09,0.44,
11_2_425,-3.15,0.22,0.39,0.37,
11_2_661,-3.10,0.16,-0.05,0.31,
11_2_956,-2.16,0.18,-0.86,0.24,
6_5_1035,-3.03,0.2,-0.30,0.35,
6_5_1598,-2.92,0.16,0.18,0.34,
6_5_163,-2.95,0.45,0.84,0.48,
6_5_239,-2.44,0.23,-0.43,0.32,
6_5_420,-0.61,0.46,-0.40,0.40,
6_5_505,>-3.33,,,,
6_5_678,-2.74,0.24,0.09,0.43,
6_5_736,-3.03,0.18,-0.07,0.38,
6_5_948,-2.50,0.27,-0.18,0.35,
7_3_243,-1.48,0.27,-1.32,0.32,
7_4_1514,-1.45,0.26,-1.14,0.27,
7_4_2408,-2.68,0.16,-0.72,0.35,
7_4_2750,-3.05,0.2,-0.34,0.42,
7_4_3182,-3.05,0.26,0.07,0.37,
7_4_3266,-2.40,0.15,-1.07,0.33,
