Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],[Ba/Fe]
10_7_442,-3.33,0.22,0.45,0.20,
10_7_486,>-2.64,,,,<3.0
10_7_790,-3.03,0.17,-0.05,0.30,
10_7_923,-3.87,0.20,<0.20,,
10_8_1226,-3.05,0.21,0.18,0.25,
10_8_1566,-2.11,0.34,-0.60,0.20,
10_8_2714,-2.96,0.38,<1.00,,
10_8_3804,>-2.78,,,,
10_8_3810,-3.10,0.33,<0.70,,
10_8_3963,>-3.00,,,,<3.8
11_1_3334,,,,,
11_1_4121,>-3.03,,,,<2.5
11_1_4296,-3.99,0.22,<1.00,,
11_1_4422,-2.85,0.23,1.10,0.25,
11_1_4673,-2.94,0.18,-0.30,0.20,
11_1_6015,-2.42,0.30,-0.60,0.20,
11_1_6440,>-2.78,,,,<2.6
11_2_556,>-3.27,,,,
11_2_661,-2.93,0.17,0.05,0.15,
6_5_1035,-2.86,0.20,0.00,0.20,
6_5_1598,-2.83,0.16,0.30,0.20,
6_5_505,,,,,
6_6_402,-3.91,0.25,<0.80,,
7_4_1992,-3.14,0.22,0.19,0.25,
7_4_2408,-2.64,0.16,-0.40,0.20,
7_4_3280,-2.41,0.25,<0.70,,
CS29497-034,-2.90,0.27,2.60,0.10,<2.2
