BD-21 3420  5909  4.30  -1.14  1.12  -0.94  -0.47  -1.16  -0.01  -0.81   0.02  -0.78   0.00  -0.81   0.03  -1.01  -0.90  -1.04  -1.13  -1.40   0.06  -1.13  -1.06  -1.15  -1.43  -0.97  3
CD-33 3337  6112  3.86  -1.37  1.56  -1.23  -0.82  -1.25  -0.01  -1.00   0.07  -1.10  -0.01  -1.03   0.05  -1.22  -1.15  -1.17  -1.41  -1.45   0.20  -1.37  -1.22  -1.36  -1.44  -1.28  3
CD-43 6810  6059  4.32  -0.44  1.24  -0.25  -0.05  -0.30  -0.01  -0.12   0.03  -0.21  -0.00  -0.23  -0.00  -0.30  -0.22  -0.29  -0.47  -0.59   0.04  -0.44  -0.32  -0.42  -0.46  -0.26  1
CD-45 3283  5685  4.61  -0.93  0.95  -1.04  -0.50  -1.25   0.00  -0.88  -0.03  -0.79   0.00  -0.71   0.03  -1.00  -0.86  -0.94  -0.88  -1.22   0.02  -0.93  -1.02  -1.08  -1.47  -0.96  2
CD-51 4628  6296  4.29  -1.32  1.31  -1.45  -0.94  -1.56   0.01  -1.15   0.05  -1.12  -0.00  -0.96   0.05  -1.33  -1.13   9.99  -1.35  -1.51   0.16  -1.34   9.99  -1.41   9.99  -1.31  2
CD-57 1633  5981  4.29  -0.91  1.08  -0.99  -0.62  -1.25  -0.00  -0.87   0.02  -0.85  -0.00  -0.73   0.03  -1.03  -0.88  -0.98  -0.94  -1.19   0.06  -0.93  -1.05  -1.10  -1.55  -1.01  2
CD-61 0282  5869  4.34  -1.25  1.19  -1.32  -0.69  -1.44   0.00  -1.04   0.01  -1.04   0.00  -0.93   0.04  -1.22  -1.08  -1.18  -1.23  -1.55   0.06  -1.23  -1.24  -1.34  -1.87  -1.19  2
G05-19      5970  4.28  -1.19  1.17  -1.29  -0.74  -1.44   0.01  -1.00   0.02  -1.03  -0.00  -0.90   0.04  -1.22  -1.08  -1.15  -1.23  -1.47   0.08  -1.18  -1.19  -1.32  -1.77  -1.18  2
G05-36      6139  4.22  -1.25  1.29  -1.15  -0.67  -1.26   0.00  -0.85   0.05  -0.88  -0.00  -0.83   0.04  -1.14  -0.96   9.99  -1.28  -1.50   0.13  -1.24   9.99  -1.25   9.99  -1.13  1
G05-40      5892  4.20  -0.83  1.12  -0.64  -0.29  -0.73  -0.02  -0.46   0.02  -0.51  -0.00  -0.50   0.01  -0.66  -0.56  -0.69  -0.81  -1.04   0.05  -0.83  -0.73  -0.82  -0.98  -0.64  1
G15-23      5373  4.63  -1.12  0.90  -0.88  -0.38  -1.12   0.00  -0.75  -0.03  -0.78   0.01  -0.76   0.02  -1.03  -0.84  -0.96  -1.03  -1.44  -0.00  -1.12   9.99  -1.14  -1.26  -0.90  1
G18-28      5443  4.49  -0.85  0.88  -0.60  -0.21  -0.78  -0.00  -0.51  -0.03  -0.55   0.00  -0.53   0.02  -0.69  -0.59  -0.71  -0.80  -1.07   0.00  -0.86  -0.75  -0.85  -0.90  -0.68  1 SB1
G18-39      6112  4.23  -1.41  1.44  -1.31  -0.80  -1.46   0.00  -1.03   0.04  -1.11  -0.00  -0.98   0.05  -1.33  -1.14   9.99  -1.43  -1.63   0.14  -1.39   9.99  -1.45  -1.80  -1.22  1
