Star              , Teff, logg, Vmic   , [FeII/H], [Sr/Fe], [Ba/Fe], [Eu/Fe], [Yb/Fe], Ref.
CS 22183-031      , 4850, 1.60 , 1.55 , -3.50  , -0.22  , +0.13  , +0.84  , +0.68  , "1"
(RG)              , 5270, 2.80 , 1.20 , -2.93  , +0.10  , +0.38  , +1.16  ,        , "2"
CS 22892-052      , 4690, 1.15 , 1.50 , -3.16  , +0.68  , +0.94  , +1.35  , +1.39  , "1"
(RG)              , 4790, 1.60 , 1.80 , -2.92  , +0.44  , +0.92  , +1.51  , +1.29  , "2"
                  , 4760, 1.30 , 2.29 , -3.03  , +0.68  , +0.93  , +1.48  ,        , "3,4"
                  , 4850, 1.60 , 1.90 , -3.02  , +0.53  , +1.01  , +1.49  ,        , "5,6"
                  , 4800, 1.50 , 1.95 , -3.12  , +0.58  , +0.92  , +1.65  , +1.63  , "7,8"
                  , 4884, 1.81 , 1.67 , -2.95  , +0.61  , +1.19  , +1.54  ,        , "9"
                  , 4725, 1.00 , 2.00 , -3.16  , +0.52  , +0.89  , +1.56  ,        , "10"
                  , 4760, 1.30 , 2.30 , -3.03  , +0.63  , +0.89  , +1.63  , +1.15  , "11"
CS 22953-003      , 4860, 1.65 , 1.45 , -3.00  , +0.32  , +0.29  , +0.79  , +0.63  , "1"
(RG)              , 4960, 1.70 , 1.95 , -2.83  , +0.31  , +0.00  , +0.72  ,        , "3,4"
                  , 5100, 2.30 , 1.70 , -2.82  , +0.22  , +0.49  , +1.05  , +1.02  , "5,6"
CS 31082-001      , 4650, 1.05 , 1.55 , -3.03  , +0.67  , +0.92  , +1.37  , +1.38  , "1"
(RG)              , 4825, 1.50 , 1.80 , -2.92  , +0.65  , +1.17  , +1.63  ,        , "12"
                  , 4790, 1.80 , 1.90 , -2.81  , +0.47  , +1.02  , +1.67  , +1.54  , "2"
                  , 4825, 1.50 , 1.80 , -2.92  , +0.73  , +1.16  , +1.69  , +1.66  , "13"
                  , 4825, 1.50 , 1.80 , -2.92  ,        ,        , +1.68  , +1.57  , "8"
                  , 4922, 1.90 , 1.88 , -2.78  , +0.53  , +1.18  , +1.66  ,        , "9"
                  , 4925, 1.51 , 1.40 , -2.81  , +0.66  , +1.43  , +1.53  ,        , "14"
CS 22875-029      , 5990, 1.85 , 2.80 , -2.69  , +0.85  , +0.30  , +0.92  , +0.86  , "1"
(RHB)             , 6000, 2.35 , 3.05 , -2.63  , +0.83  , +0.48  , +1.10  ,        , "15"
                  , 6000, 2.05 , 3.00 , -2.66  , +0.86  , +0.44  , +0.91  ,        , "16"
CS 22882-001      , 5930, 1.90 , 3.00 , -2.62  , +0.16  , +0.06  , +0.81  , +0.56  , "1"
(RHB)             , 5950, 2.50 , 3.20 , -2.45  , +0.28  , +0.20  , +0.92  ,        , "15"
                  , 5950, 2.00 , 3.05 , -2.54  , +0.22  , +0.16  , +0.84  ,        , "16"
CS 22888-047      , 5950, 1.90 , 3.00 , -2.54  , +0.60  , +0.04  , +0.86  , +0.67  , "1"
(RHB)             , 6000, 2.50 , 3.00 , -2.30  , +0.63  , +0.29  , +1.03  ,        , "15"
                  , 5850, 1.70 , 3.20 , -2.57  , +0.31  , +0.23  , +0.93  ,        , "16"
# Average differences for the four red giant stars
Mean              , -169, -0.46, -0.33, -0.19  , +0.06  , -0.11  , -0.22  , -0.13  , 
Standard deviation, 105 , 0.35 , 0.31 , 0.13   , 0.13   , 0.19   , 0.10   , 0.22   , 
No. comparisons   , 14  , 14   , 14   , 14     , 15     , 15     , 16     , 7      , 
# Average differences for the three stars on the RHB
Mean              , -2  , -0.30, -0.15, -0.09  , +0.02  , -0.05  , -0.09  ,        , 
Standard deviation, 52  , 0.32 , 0.10 , 0.10   , 0.14   , 0.15   , 0.08   ,        , 
No. comparisons   , 6   , 6    , 6    , 6      , 6      , 6      , 6      ,        , 

# Note:aAs derived from Fe ii lines                                                                                                          , if specified.
# Studies that adopted model parameters without change from an earlier study have been excluded from computing the average deviations of Teff, log g        , vt      , and [Fe/H].

# References: 
# (1) This study; 
# (2) Honda et al. (2004b); 
# (3) McWilliam et al. (1995b); 
# (4) McWilliam (1998); 
# (5) Cayrel et al. (2004); 
# (6) François et al. (2007); 
# (7) Sneden et al. (2003a); 
# (8) Sneden et al. (2009); 
# (9) Barklem et al. (2005); 
# (10) Sneden et al. (1994); 
# (11) Sneden et al. (1996); 
# (12) Hill et al. (2002); 
# (13) Siqueira Mello et al. (2013); 
# (14) Hansen et al. (2012); 
# (15) Preston et al. (2006); 
# (16) For & Sneden (2010).
