Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,rmag,imag,zmag,MJD,t_exp,SNR4100,f_SNR4100,SNR5500,f_SNR5500,Vel,e_Vel,Mem
J220423,DES J220423.91-463702.5,22:04:23.90,-46:37:02.48,17.524,16.741,16.456,16.289,57605,7x1800,12,,32,,-106.9,0.6,Yes
J220409,DES J220409.98-462102.2,22:04:09.98,-46:21:02.21,18.157,17.477,17.227,17.086,57607,3x3000,9,,17,,-106.6,0.6,Yes
#J220352,DES J220352.01-462446.5,22:03:52.01,-46:24:46.67,19.396,18.860,18.678,18.568,57983,2x1800,9,a,12,a,-106.5,1.1,Yes
J220352,DES J220352.01-462446.5,22:03:52.01,-46:24:46.67,19.396,18.860,18.678,18.568,58430,3x1800+824,9,a,12,a,-106.4,0.7,Yes
#J220318,DES J220318.62-464116.4,22:03:18.62,-46:41:16.44,18.726,,,,58433,600+1800,5,,7,,+76.3,0.7,No
#J220253,DES J220253.88-463522.6,22:02:53.88,-46:35:22.56,18.703,,,,58341,1800,3,,5,,+40.0,0.9,No
