Name,Simbad_Identifier,System,RA_hms,DEC_dms,Vmag,Vel,e_Vel,SNR6500,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
Her-2,PSO J247.7384+12.7889,Hercules,16:30:57.23,+12:47:20.31,18.7,48.2,1.5,32,4270,50,0.69,0.15,2.5,0.1,-2.02,0.20
Her-3,PSO J247.8456+12.7466,Hercules,16:31:22.96,+12:44:47.90,19.0,42.0,0.6,32,4340,50,0.91,0.15,2.5,0.1,-2.04,0.43
