Name,RA_hms,DEC_dms,RA_deg,DEC_deg,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
LMC-319,05:38:55.896,-64:21:50.52,84.7329,-64.364033,Gaia DR3 4756965486239848192,84.73290280471,-64.36403450745,0.0,0.0,12.0,1636148068921376768,4756965486239848192,1080020239,0.0416,0.0452,-0.0653,0.0466,-1.4001,2.116,1.931,0.053,0.864,0.057,0.0363,0.2118,0.1646,-0.1553,0.223,0.0063,-0.2045,0.3272,-0.2847,-0.2084,310,9,309,1,-1.234,286.44,0.0,0.0,31,false,1.449,,,,,,,,36,25,0.085937,42,0.02772,16.23,0,0,0.949,0,332,3836.93619,2.29935,1668.7,16.727406,0.002831,41,1639.26,13.5003,121.424,17.301924,0.009367,40,3156.52,6.65435,474.354,15.999874,0.004418,1.25,0,3,0,1,0,1.30205,0.574518,0.727531,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,5685.5,5628.9,5737.0,4.0113,3.9437,4.0607,-0.3267,-0.3775,-0.2834,2501.8103,2366.3877,2712.3862,1.1336,1.1011,1.1628,0.9084,0.8816,0.9328,0.4901,0.4752,0.5034,PHOENIX,84.73288296569,-64.36403834632,0.842777,0.918516,-0.2001,0.006967
LMC-323,06:17:10.604,-73:59:35.81,94.294183,-73.993281,Gaia DR3 5264937079429558016,94.29418705614,-73.99328064903,0.0,0.0,170.0,1636148068921376768,5264937079429558016,656210109,0.043,0.0464,-0.0069,0.0451,-0.1533,1.76,1.415,0.055,1.046,0.06,-0.0281,0.1551,-0.0227,-0.126,0.1812,-0.0457,-0.2987,0.1645,-0.1978,-0.1749,316,0,314,2,-1.033,296.27,0.0,0.0,31,false,1.432,,,,,,,,37,25,0.088393,43,0.01484,18.87,0,0,0.958,0,344,3650.89329,2.21296,1649.78,16.781368,0.002833,36,1447.87,9.21789,157.072,17.436714,0.007454,37,3141.55,9.30631,337.572,16.005035,0.004963,1.257,0,0,0,0,0,1.431679,0.655346,0.776333,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,5446.5,5333.5,5522.3,3.7646,3.6892,3.8185,-0.5692,-0.61,-0.4789,2996.7925,2847.7046,3205.745,1.263,1.1904,1.3065,0.9983,0.9382,1.0348,0.5405,0.5076,0.5602,PHOENIX,94.29416424999,-73.99328529954,0.887136,0.974396,-0.1637,0.00422
LMC-400,05:08:33.774,-72:25:27.55,77.140725,-72.424319,Gaia DR3 4651431542707782400,77.14072534752,-72.42431889145,0.0,0.0,45.0,1636148068921376768,4651431542707782400,561469540,0.032,0.032,0.0233,0.0325,0.7178,2.105,2.104,0.04,0.044,0.038,0.1768,0.1808,0.0668,-0.1341,0.0367,-0.0834,-0.2814,0.2253,-0.1725,0.0785,308,0,306,2,0.5504,326.66,0.0,0.0,31,false,1.426,,,,,,,,35,25,0.056329,42,0.02634,153.2,0,0,1.021,0,340,6718.35458,3.60175,1865.3,16.11921,0.002816,39,2629.23,8.23441,319.298,16.788973,0.004399,40,5849.13,11.0608,528.815,15.330168,0.004301,1.262,0,1,0,1,0,1.458805,0.669764,0.789042,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,,,,,,,,,,,,,,,,,,,,,,,77.14069437565,-72.42431908568,0.63112,0.610383,0.089,5.44E-4
LMC-402,04:28:27.512,-69:22:08.36,67.114633,-69.368989,Gaia DR3 4655928343402591104,67.11463554723,-69.36898874196,0.0,0.0,20.0,1636148068921376768,4655928343402591104,913544328,0.0349,0.04,-0.0631,0.0367,-1.7182,1.921,1.714,0.045,-0.868,0.048,0.1117,0.0305,-0.1298,-0.1963,0.2281,-0.2105,-0.3836,0.0358,-0.2166,0.1849,374,0,374,0,-0.4246,373.0,0.0,0.0,31,false,1.448,,,,,,,,42,26,0.073213,46,0.01637,24.93,0,0,0.984,0,388,4409.98709,2.29678,1920.07,16.576273,0.002813,40,1818.32,11.8793,153.066,17.189367,0.007622,40,3691.81,9.22115,400.363,15.829798,0.004652,1.249,0,1,0,1,0,1.35957,0.613094,0.746475,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,67.11461392727,-69.36898488528,0.724585,0.781275,0.1999,0.003362
LMC-403,05:27:13.519,-65:11:46.17,81.806329,-65.196158,Gaia DR3 4660981114748450304,81.80632983352,-65.19615961979,0.0,0.0,15.0,1636148068921376768,4660981114748450304,1152312833,0.0376,0.0407,0.013,0.0401,0.3245,1.512,1.414,0.046,0.536,0.049,0.0453,0.1566,0.1402,-0.1863,0.198,-0.0766,-0.419,0.3258,-0.2409,-0.0679,294,0,294,0,-1.6871,260.57,0.0,0.0,31,false,1.437,,,,,,,,34,25,0.07223,55,0.02184,38.7,1,0,0.93,0,448,5100.38841,2.2084,2309.54,16.418358,0.002795,50,2075.25,10.3334,200.829,17.045866,0.006084,49,4303.85,5.84121,736.808,15.663253,0.004056,1.251,0,1,0,0,0,1.382613,0.627508,0.755105,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999987,5528.4,5508.4,5558.9,4.0639,4.0503,4.0804,-0.346,-0.3767,-0.3124,2488.0999,2410.5654,2566.2256,1.1771,1.1656,1.1938,0.9344,0.9248,0.9483,0.5033,0.4981,0.5109,PHOENIX,81.80631485424,-65.19616200033,0.737417,0.801781,-0.0535,0.005966
LMC-404,04:35:40.896,-66:09:29.18,68.9204,-66.158106,Gaia DR3 4662748678454160128,68.92040115166,-66.15810555054,0.0,0.0,26.0,1636148068921376768,4662748678454160128,791277045,0.043,0.0455,-0.0774,0.0442,-1.7514,1.846,1.839,0.058,-0.157,0.059,0.0723,0.0146,-0.1679,-0.189,0.2189,-0.164,-0.3024,0.1202,-0.1937,0.0801,357,0,357,0,-0.097,364.33,0.0,0.0,31,false,1.468,,,,,,,,41,25,0.087203,81,0.01137,126.9,0,0,0.995,0,657,3249.87427,1.61885,2007.52,16.9077,0.002808,76,1440.64,7.40886,194.449,17.44215,0.006242,77,2576.9,6.78639,379.717,16.22015,0.004739,1.236,0,4,0,4,0,1.222,0.534451,0.68755,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,6332.4,6304.9,6365.3,4.2265,4.1938,4.2591,-0.1479,-0.1864,-0.1138,2811.8013,2687.9043,2950.346,1.3165,1.2992,1.3367,1.0806,1.0658,1.098,0.5838,0.5758,0.5933,PHOENIX,68.92038092906,-66.15810485372,0.938227,0.966435,0.0945,0.00233
LMC-405,04:54:16.665,-64:50:01.06,73.569438,-64.833628,Gaia DR3 4663107359763310720,73.56943650818,-64.83362721781,0.0,0.0,3.0,1636148068921376768,4663107359763310720,843078687,0.0407,0.0481,-0.0365,0.0461,-0.7926,1.646,1.64,0.052,0.142,0.063,0.0201,0.1567,-0.0537,-0.0682,0.2255,0.0011,-0.1811,0.199,-0.177,0.0394,308,0,307,1,-1.3042,282.68,0.0,0.0,31,false,1.463,,,,,,,,36,24,0.087847,86,0.01337,57.76,0,0,0.946,0,710,3529.17401,1.57545,2240.11,16.818184,0.002798,80,1528.95,7.89899,193.562,17.377562,0.006265,74,2818.44,7.23295,389.667,16.122873,0.004695,1.232,0,2,0,1,0,1.254688,0.559378,0.695311,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,5678.1,5618.1,5727.6,4.032,3.9569,4.0782,-0.306,-0.3726,-0.2618,2639.5942,2520.6658,2880.3308,1.0518,1.0141,1.0815,0.8499,0.8181,0.8753,0.4606,0.4435,0.4744,MARCS,73.56941936687,-64.83362784951,0.837513,1.014893,0.0422,0.003626
LMC-406,05:15:58.050,-64:49:18.10,78.991875,-64.821694,Gaia DR3 4663669798635063680,78.99187570862,-64.82169407855,0.0,0.0,9.0,1636148068921376768,4663669798635063680,1704753602,0.0297,0.0326,-0.0211,0.0319,-0.6639,1.99,1.98,0.038,0.193,0.042,0.0308,0.0288,-0.0924,-0.0594,0.1948,-0.003,-0.2777,0.2563,-0.122,0.0079,340,0,339,1,-0.176,342.45,0.0,0.0,31,false,1.433,,,,,,,,39,26,0.059211,65,0.01059,79.79,0,0,0.992,0,546,6263.88297,3.06789,2041.76,16.195257,0.002806,62,2499.29,6.63421,376.728,16.844,0.004011,60,5387.12,11.1825,481.745,15.419504,0.0044,1.259,0,62,0,60,0,1.424496,0.648743,0.775753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,5513.7,5479.6,5536.7,3.6118,3.5772,3.6467,-0.0309,-0.0492,-0.0193,3500.081,3369.1414,3646.7349,1.2031,1.1807,1.2208,0.9468,0.9284,0.9612,0.5053,0.4954,0.5133,PHOENIX,78.99185502154,-64.8216949347,0.606607,0.682498,0.0108,0.001122
LMC-407,04:55:47.448,-64:12:45.29,73.9477,-64.212581,Gaia DR3 4664647264455036032,73.94770007061,-64.2125809357,0.0,0.0,34.0,1636148068921376768,4664647264455036032,1356439814,0.0453,0.0472,-0.0331,0.0462,-0.7154,1.831,1.825,0.06,-0.143,0.064,0.1065,-0.0178,-0.0202,-0.1686,0.0718,-0.124,-0.3279,0.2113,-0.1925,-0.0289,285,0,285,0,-0.5127,279.58,0.0,0.0,31,false,1.455,,,,,,,,33,26,0.090538,80,0.01512,95.89,0,0,0.977,0,648,3774.87552,1.77945,2121.37,16.74511,0.002802,77,1615.45,6.43813,250.919,17.317808,0.005149,77,3072.46,6.33029,485.359,16.029179,0.004392,1.242,0,0,0,0,0,1.28863,0.572699,0.715931,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,5115.1,5050.4,5160.8,4.1344,4.123,4.1504,-0.4214,-0.4899,-0.3685,2408.58,2268.7334,2514.4504,0.7074,0.657,0.7447,0.5605,0.5194,0.5908,0.3015,0.2796,0.3179,MARCS,73.94768142274,-64.21258029964,0.956532,1.035086,-0.0146,2.57E-4
LMC-409,05:55:03.971,-63:54:43.19,88.766546,-63.911997,Gaia DR3 4756433807950488704,88.76654561037,-63.91199770913,0.0,0.0,65.0,1636148068921376768,4756433807950488704,305109644,0.0373,0.0333,-0.0082,0.0336,-0.2436,1.826,1.787,0.049,0.375,0.044,0.1359,0.0518,-0.3093,-0.0867,-0.0786,-0.0951,-0.2949,0.141,-0.0265,0.1452,307,0,305,2,-0.8446,291.09,0.0,0.0,31,false,1.442,,,,,,,,35,25,0.071861,40,0.006806,90.84,0,0,0.965,0,328,5621.16319,3.15903,1779.39,16.312801,0.002822,40,2318.19,8.90335,260.373,16.92567,0.005017,37,4727.24,12.5689,376.106,15.561376,0.004756,1.253,0,0,0,1,0,1.364295,0.612869,0.751426,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999974,5392.6,5348.3,5431.3,3.7718,3.7363,3.7947,-0.0641,-0.1093,-0.0274,2897.839,2799.9697,2997.5774,1.0897,1.0574,1.1153,0.8642,0.8375,0.885,0.4641,0.4498,0.4754,MARCS,88.76652754579,-63.91199937474,0.799216,0.719861,0.1495,0.002626
