Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,I,J,H,V,R,U,B,K,rvz_nature,pmra,rvz_qual,otype,plx_value,pmdec,sp_type,sp_qual,sp_bibcode
True,,C19-01984,23:39:04.8240,+30:15:03.240,UCAC4 602-138666,354.7701509377312,30.250996130321397,0.0265,0.0198,90.0,O,2020yCat.1350....0G,,14.229999542236328,13.64799976348877,15.972000122070312,15.744999885559082,,16.851999282836914,13.57800006866455,s,1.294,C,Pe*,0.0104,-2.648,,,
True,,C19-99008,23:40:31.8480,+27:58:54.840,UCAC4 590-139227,355.13267695212255,27.98197212405861,0.0222,0.0167,90.0,O,2020yCat.1350....0G,,13.77400016784668,13.253000259399414,15.654000282287598,15.545999526977539,,16.726999282836914,13.071000099182129,s,1.236,B,Pe*,0.0548,-2.804,,,
True,,C19-99008,23:40:31.8480,+27:58:54.840,UCAC4 590-139227,355.13267695212255,27.98197212405861,0.0222,0.0167,90.0,O,2020yCat.1350....0G,,13.77400016784668,13.253000259399414,15.654000282287598,15.545999526977539,,16.726999282836914,13.071000099182129,s,1.236,B,Pe*,0.0548,-2.804,,,
True,,C19-00352,23:41:06.1200,+27:44:53.880,UCAC4 589-133864,355.27554456675415,27.748346824437498,0.0291,0.0198,90.0,O,2020yCat.1350....0G,,14.321999549865723,13.765999794006348,16.049999237060547,15.927000045776367,,16.92099952697754,13.70199966430664,s,1.217,C,Pe*,0.0242,-2.855,,,
True,,C19-92544,23:35:11.8560,+21:15:53.280,2MASS J23351189+2115536,353.7994447129091,21.26482115921,0.0735,0.0608,90.0,O,2020yCat.1350....0G,,16.46299934387207,,,,,,,s,1.144,B,Pe*,0.1248,-3.244,,,
True,,C19-41344,23:38:32.5920,+23:47:38.760,2MASS J23383258+2347392,354.6357952891721,23.794136722221108,0.0772,0.0569,90.0,O,2020yCat.1350....0G,,16.121999740600586,15.560999870300293,,,,,,s,1.266,B,Pe*,0.0717,-3.054,,,
True,,C19-38656,23:41:04.1040,+22:58:03.720,2MASS J23410412+2258039,355.2671084370179,22.967755300149445,0.076,0.0558,90.0,O,2020yCat.1350....0G,,16.55900001525879,15.854999542236328,,,,,15.805999755859375,s,1.271,C,Pe*,,-3.028,,,
True,,C19-71392,23:41:17.3520,+27:35:57.480,UCAC4 588-136056,355.3223998024496,27.59936934764861,0.0146,0.0099,90.0,O,2020yCat.1350....0G,,12.461999893188477,11.906000137329102,14.45199966430664,14.336000442504883,,15.51200008392334,11.788000106811523,s,1.222,A,Pe*,0.0241,-2.785,,,
True,,C19-71392,23:41:17.3520,+27:35:57.480,UCAC4 588-136056,355.3223998024496,27.59936934764861,0.0146,0.0099,90.0,O,2020yCat.1350....0G,,12.461999893188477,11.906000137329102,14.45199966430664,14.336000442504883,,15.51200008392334,11.788000106811523,s,1.222,A,Pe*,0.0241,-2.785,,,
True,,C19-28384,23:41:37.3440,+24:16:59.520,2MASS J23413735+2416597,355.4056284574274,24.28331067121528,0.0531,0.0487,90.0,O,2020yCat.1350....0G,,15.942999839782715,15.529999732971191,,,,,15.371000289916992,s,1.196,B,Pe*,,-2.907,,,
False,,C19-83584,23:39:04.8000,+32:41:21.840,,,,,,,,,,,,,,,,,,,,,,,,,
