Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,M/H,e_M/H
HD 108317,,,,,,,,5100,200,2.67,0.2,1.50,0.2,-2.37,0.20
HD 128279,,,,,,,,5080,200,2.57,0.2,1.60,0.2,-2.46,0.22
