Found, DEC_input   , RA_input   , Query_ID   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC  , PLX_VALUE, RV_VALUE, SCRIPT_NUMBER_ID
True , -34:43:20.90, 02:37:23.65, Fnx-mem0584, [WMO2009] For-1353     , 02 37 23.6730, -34 43 21.040,      14,       14,       0.0608,       0.0809,            90, A       , O             , 2020yCat.1350....0G,       , 19.832, 18.56 ,       , 17.28 , 16.253, 15.468, 15.7  , RGB*      ,        , 02 37 23.6730, -34 43 21.040, 0.373 , -0.414 ,    0.0622,  65.0   ,                1
True , -34:44:02.40, 02:38:35.50, Fnx-mem0595, [LDH2014] Fnx-mem0595  , 02 38 35.5497, -34 44 02.616,      14,       14,       0.0549,       0.0685,            90, A       , O             , 2020yCat.1350....0G,       , 20.19 , 18.47 ,       , 16.96 , 16.026, 15.095, 15.24 , Star      ,        , 02 38 35.5497, -34 44 02.616, 0.466 , -0.371 ,    0.0285,  50.415 ,                1
True , -34:44:21.80, 02:38:00.01, Fnx-mem0598, 2MASS J02380004-3444219, 02 38 00.0356, -34 44 22.086,      14,       14,       0.0484,       0.0638,            90, A       , O             , 2020yCat.1350....0G,       , 20.34 , 18.562,       , 16.702, 15.686, 14.744, 14.654, RGB*      ,        , 02 38 00.0356, -34 44 22.086, 0.279 , -0.446 ,    0.0835,  40.0248,                1
True , -34:44:55.00, 02:38:52.25, Fnx-mem0604, DK 13                  , 02 38 52.2848, -34 44 55.359,      14,       14,       0.0429,       0.0555,            90, A       , O             , 2020yCat.1350....0G,       , 19.78 , 18.14 ,       , 16.41 , 15.23 , 14.44 , 14.25 , AGB*      ,        , 02 38 52.2848, -34 44 55.359, 0.36  , -0.312 ,    0.0073,  44.7   ,                1
True , -34:45:02.70, 02:38:30.20, Fnx-mem0606, 2MASS J02383024-3445030, 02 38 30.2416, -34 45 03.134,      14,       14,       0.0464,       0.0589,            90, A       , O             , 2020yCat.1350....0G,       , 20.464, 18.324,       , 16.449, 15.476, 14.672, 14.319, AGB*      ,        , 02 38 30.2416, -34 45 03.134, 0.41  , -0.275 ,          ,  55.637 ,                1
True , -34:45:06.00, 02:38:22.41, Fnx-mem0607, 2MASS J02382246-3445061, 02 38 22.4564, -34 45 06.389,      14,       14,       0.0546,       0.0691,            90, A       , O             , 2020yCat.1350....0G,       , 20.123, 18.576,       , 17.014, 16.054, 15.006, 14.809, ChemPec*  ,        , 02 38 22.4564, -34 45 06.389, 0.464 , -0.356 ,          ,  51.0246,                1
True , -34:45:20.70, 02:38:36.71, Fnx-mem0610, [LDH2014] Fnx-mem0610  , 02 38 36.7333, -34 45 21.040,      14,       14,       0.046 ,       0.0594,            90, A       , O             , 2020yCat.1350....0G,       , 20.006, 18.537,       , 16.526, 15.344, 14.705, 14.432, Star      ,        , 02 38 36.7333, -34 45 21.040, 22.159, -7.206 ,    1.16  ,  57.6   ,                1
True , -34:45:35.00, 02:38:50.89, Fnx-mem0612, 2MASS J02385092-3445351, 02 38 50.9226, -34 45 35.382,      14,       14,       0.0558,       0.0735,            90, A       , O             , 2020yCat.1350....0G,       , 19.887, 18.47 ,       , 17.06 , 16.038, 15.476, 15.338, RGB*      ,        , 02 38 50.9226, -34 45 35.382, 0.46  , -0.536 ,    0.0933,  68.4   ,                1
True , -34:45:36.00, 02:38:59.50, Fnx-mem0613, DK 12                  , 02 38 59.5388, -34 45 36.363,      14,       14,       0.051 ,       0.066 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.029, 18.38 ,       , 16.46 , 15.72 , 14.84 , 14.68 , AGB*      ,        , 02 38 59.5388, -34 45 36.363, 0.373 , -0.387 ,    0.1056,  52.5624,                1
True , -34:45:58.60, 02:37:44.47, Fnx-mem0621, [KHI2013] III-84       , 02 37 44.4915, -34 45 58.887,      14,       14,       0.1122,       0.1497,            90, A       , O             , 2020yCat.1350....0G,       , 19.741, 18.607,       , 17.293, 16.238, 15.668, 15.516, Star      ,        , 02 37 44.4915, -34 45 58.887, 0.263 , 9.028  ,    1.067 ,  53.6   ,                1
True , -34:46:36.60, 02:38:21.97, Fnx-mem0626, 2MASS J02382200-3446368, 02 38 22.0137, -34 46 37.015,      14,       14,       0.065 ,       0.0843,            90, A       , O             , 2020yCat.1350....0G,       , 20.119, 18.62 ,       , 17.14 , 16.005, 15.148, 15.222, ChemPec*  ,        , 02 38 22.0137, -34 46 37.015, 0.382 , -0.49  ,    0.0729,  38.7791,                1
True , -34:46:45.70, 02:37:20.19, Fnx-mem0629, [LDH2014] Fnx-mem0629  , 02 37 20.2055, -34 46 46.016,      14,       14,       0.0578,       0.077 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.2  , 18.59 ,       , 17.11 , 16.037, 15.244, 15.0  , Star      ,        , 02 37 20.2055, -34 46 46.016, 0.431 , -0.47  ,    0.1907,  52.3   ,                1
