Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
Seg 1-7,O  I,6300.304,0.00,-9.78,<,10,<,7.35
Seg 1-7,Na I,5889.951,0.00,0.11,,104,,3.17
Seg 1-7,Na I,5895.924,0.00,-0.19,,92,,3.20
Seg 1-7,Mg I,3829.355,2.71,-0.21,,148,,5.07
Seg 1-7,Mg I,3832.304,2.71,0.15,,166,,4.89
Seg 1-7,Mg I,5172.684,2.71,-0.38,,149,,5.07
Seg 1-7,Mg I,5183.604,2.72,-0.16,,157,,4.96
Seg 1-7,Mg I,5528.405,4.34,-0.34,,40,,4.76
Seg 1-7,Al I,3961.520,0.01,-0.34,,102,,3.08
Seg 1-7,Ca I,4226.728,0.00,0.24,,163,,3.78
Seg 1-7,Ca I,4318.652,1.90,-0.21,,34,,3.64
Seg 1-7,Ca I,5265.556,2.52,-0.26,,11,,3.67
Seg 1-7,Ca I,5588.749,2.52,0.21,,24,,3.62
Seg 1-7,Ca I,5857.451,2.93,0.23,,12,,3.66
Seg 1-7,Ca I,6102.723,1.88,-0.79,,13,,3.54
Seg 1-7,Ca I,6122.217,1.89,-0.32,,32,,3.60
Seg 1-7,Ca I,6162.173,1.90,-0.09,,44,,3.63
Seg 1-7,Ca I,6439.075,2.52,0.47,,34,,3.56
Seg 1-7,Ti I,3998.636,0.05,-0.06,,30,,1.91
Seg 1-7,Ti II,3759.296,0.61,0.27,,113,,1.96
Seg 1-7,Ti II,3761.323,0.57,0.17,,108,,1.91
Seg 1-7,Ti II,3913.468,1.12,-0.41,,73,,2.00
Seg 1-7,Ti II,4012.385,0.57,-1.75,,41,,1.80
Seg 1-7,Ti II,4443.794,1.08,-0.70,,68,,1.94
Seg 1-7,Ti II,4464.450,1.16,-1.81,,31,,2.27
Seg 1-7,Ti II,4468.507,1.13,-0.60,,91,,2.59
Seg 1-7,Ti II,4501.273,1.12,-0.76,,55,,1.70
Seg 1-7,Ti II,5188.680,1.58,-1.05,,31,,1.94
Seg 1-7,Ti II,5226.543,1.57,-1.23,,26,,1.99
Seg 1-7,Ti II,5336.771,1.58,-1.63,,18,,2.18
Seg 1-7,Cr I,4254.332,0.00,-0.11,,64,,1.91
Seg 1-7,Cr I,5206.038,0.94,0.02,,27,,1.87
Seg 1-7,Cr I,5208.419,0.94,0.16,,30,,1.80
Seg 1-7,Mn I,4033.062,0.00,-0.62,,32,,1.31
Seg 1-7,Fe I,3758.233,0.96,-0.03,,96,,3.61
Seg 1-7,Fe I,3763.789,0.99,-0.24,,91,,3.72
Seg 1-7,Fe I,3765.539,3.24,0.48,,22,,3.51
Seg 1-7,Fe I,3787.880,1.01,-0.86,,75,,3.84
Seg 1-7,Fe I,3815.840,1.48,0.24,,97,,3.90
Seg 1-7,Fe I,3827.823,1.56,0.06,,95,,4.11
Seg 1-7,Fe I,3865.523,1.01,-0.98,,63,,3.52
Seg 1-7,Fe I,3899.707,0.09,-1.53,,94,,4.05
Seg 1-7,Fe I,3922.912,0.05,-1.65,,87,,3.90
Seg 1-7,Fe I,4005.242,1.56,-0.61,,70,,3.97
Seg 1-7,Fe I,4045.812,1.48,0.28,,102,,3.90
Seg 1-7,Fe I,4063.594,1.56,0.07,,90,,3.89
Seg 1-7,Fe I,4071.738,1.61,-0.02,,97,,4.22
Seg 1-7,Fe I,4132.058,1.61,-0.67,,73,,4.14
Seg 1-7,Fe I,4143.868,1.56,-0.46,,67,,3.68
Seg 1-7,Fe I,4233.603,2.48,-0.60,,20,,3.64
Seg 1-7,Fe I,4260.474,2.40,-0.02,,66,,4.13
Seg 1-7,Fe I,5171.596,1.49,-1.79,,34,,3.97
Seg 1-7,Fe I,5191.455,3.04,-0.55,,15,,4.00
Seg 1-7,Fe I,5194.942,1.56,-2.09,,12,,3.73
Seg 1-7,Fe I,5216.274,1.61,-2.15,,16,,4.00
Seg 1-7,Fe I,5232.940,2.94,-0.06,,26,,3.71
Seg 1-7,Fe I,5266.555,3.00,-0.39,,18,,3.89
Seg 1-7,Fe I,5269.537,0.86,-1.32,,94,,4.34
Seg 1-7,Fe I,5324.179,3.21,-0.24,,16,,3.91
Seg 1-7,Fe I,5328.039,0.92,-1.47,,80,,4.14
Seg 1-7,Fe I,5328.532,1.56,-1.85,,30,,4.01
Seg 1-7,Fe I,5371.490,0.96,-1.65,,69,,4.04
Seg 1-7,Fe I,5397.128,0.92,-1.99,,53,,3.91
Seg 1-7,Fe I,5405.775,0.99,-1.84,,60,,4.02
Seg 1-7,Fe I,5429.697,0.96,-1.88,,57,,3.95
Seg 1-7,Fe I,5434.524,1.01,-2.12,,44,,3.94
Seg 1-7,Fe I,5446.917,0.99,-1.91,,47,,3.78
Seg 1-7,Fe I,5455.609,1.01,-2.09,,47,,3.98
Seg 1-7,Fe I,5497.516,1.01,-2.85,,19,,4.08
