Name,Simbad_Identifier,RA_hms,DEC_dms,RA_deg,DEC_deg,System,SNR,Vel,e_pVel,e_mVel,Teff,e_pTeff,e_mTeff,logg,e_plogg,e_mlogg,M/H,e_M/H
SDSS 92278782,2MASS 03353201-5810421,03:35:32.01,-58:10:42.12,53.883391,-58.178368,Large Magellanic Cloud,28.12,175,12,-12,4652,+47,-42,1.10,.10,-.09,-3.21,0.21
SDSS 96041179,2MASS 06263634-6505446,06:26:36.34,-65:05:44.70,96.651421,-65.095749,Large Magellanic Cloud,20.93,244,17,-28,4861,+71,-65,1.64,.17,-.15,-2.39,0.21
SDSS 98320880,2MASS 06015797-6404064,06:01:57.97,-64:04:06.48,90.491551,-64.068466,Large Magellanic Cloud,25.01,291,11,-11,4614,+53,-52,1.17,.12,-.12,-2.09,0.17
SDSS 98332219,2MASS 06483772-6154077,06:48:37.73,-61:54:07.75,102.157201,-61.902153,Large Magellanic Cloud,20.46,317,10,-9,4692,+110,-61,1.26,.20,-.13,-2.68,0.23
SDSS 98357416,2MASS 06181734-6050215,06:18:17.34,-60:50:21.54,94.572269,-60.839317,Large Magellanic Cloud,31.74,295,8,7,4856,+52,-53,1.47,.10,-.11,-2.63,0.16
