Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe]
SDSS 92278782,-3.21,0.21,2.11,0.30
SDSS 96041179,-2.39,0.21,1.71,0.14
SDSS 98320880,-2.09,0.17,0.96,0.39
SDSS 98332219,-2.68,0.23,1.69,0.11
SDSS 98357416,-2.63,0.16,2.01,0.20
