Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-50:52:37.60,06:40:35.78,MKV0571,[LHT2012] MKV0571,06 40 35.78,-50 52 37.6,6,6,,,0,D,O,2012A&A...538A.100L,,19.099,18.158,,17.004,,,,Star,,06 40 35.78,-50 52 37.6,,,,13.8,1
True,-50:52:47.90,06:41:25.13,MKV0576,2MASS J06412511-5052479,06 41 25.1323,-50 52 47.861,14,14,0.1045,0.1183,90,A,O,2020yCat.1350....0G,,19.706,18.733,,17.568,16.666,16.307,16.016,RGB*_Candidate,,06 41 25.1323,-50 52 47.861,0.461,0.212,0.0376,223.7,1
True,-50:52:49.00,06:41:45.03,MKV0577,[LHT2012] MKV0577,06 41 45.0355,-50 52 48.961,14,14,0.114,0.1186,90,A,O,2020yCat.1350....0G,,19.906,18.938,,17.771,17.005,16.402,16.35,RGB*,,06 41 45.0355,-50 52 48.961,0.143,0.256,0.0908,216.0,1
True,-50:52:59.60,06:41:05.69,MKV0584,[FBN2016] 73112,06 41 05.7010,-50 52 59.574,14,14,0.1405,0.1606,90,A,O,2020yCat.1350....0G,,20.055,19.237,,18.185,17.446,16.934,16.864,RGB*_Candidate,,06 41 05.7010,-50 52 59.574,0.557,0.182,0.0716,224.5,1
True,-50:53:02.30,06:41:19.97,MKV0587,[MOP2000] C130959,06 41 19.98,-50 53 02.5,6,6,,,0,D,O,2006ApJ...649..201M,,20.179,19.099,,17.769,16.931,16.327,16.193,Star,,06 41 19.98,-50 53 02.5,,,,111.0,1
True,-50:53:09.70,06:40:29.55,MKV0592,[MOP2000] C130313,06 40 29.5773,-50 53 09.920,14,14,0.0768,0.0723,90,A,O,2020yCat.1350....0G,,19.608,18.36,,16.75,15.879,15.181,15.26,Star,,06 40 29.5773,-50 53 09.920,-4.432,7.138,0.8728,74.4,1
True,-50:53:11.40,06:41:18.04,MKV0596,[KGW2006] LG04a-001875,06 41 18.0,-50 53 11,5,5,,,0,D,O,2015A&A...580A..18F,,19.885,18.926,,17.758,,,,RGB*_Candidate,,06 41 18.0,-50 53 11,,,,217.0,1
True,-50:53:11.40,06:41:18.04,MKV0596,2MASS J06411769-5053074,06 41 17.6915,-50 53 07.700,14,14,0.0883,0.095,90,A,O,2020yCat.1350....0G,,19.587,18.531,,17.306,16.289,15.803,15.637,RGB*,,06 41 17.6915,-50 53 07.700,0.545,-0.183,0.0457,216.88,1
True,-50:53:11.40,06:41:18.04,MKV0596,2MASS J06411857-5053115,06 41 18.5671,-50 53 11.585,14,14,0.0665,0.07,90,A,O,2020yCat.1350....0G,,19.255,18.069,,16.71,15.922,15.212,15.042,RGB*,,06 41 18.5671,-50 53 11.585,0.431,0.296,,225.9,1
True,-50:53:18.10,06:42:01.12,MKV0598,[LHT2012] MKV0598,06 42 01.1201,-50 53 18.063,14,14,0.1283,0.137,90,A,O,2020yCat.1350....0G,,19.999,19.028,,17.871,17.077,16.484,16.379,RGB*_Candidate,,06 42 01.1201,-50 53 18.063,0.574,0.062,,221.2,1
