Name,Species,logepsX_sun,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
Car-2,Eu II,0.51,,,,,+0.07,0.14
Car-12,Fe I,7.52,,-1.41,0.02,,,
Car-12,Fe II,7.52,,-1.38,0.04,,,
Car-12,O I,8.83,,,,,+0.17,0.10
Car-12,Na I,6.33,,,,,-0.26,0.11
Car-12,Mg I,7.58,,,,,+0.24,0.10
Car-12,Al I,6.47,,,,,+0.03,0.16
Car-12,Si I,7.55,,,,,+0.22,0.07
Car-12,Ca I,6.36,,,,,+0.12,0.05
Car-12,Sc II,3.10,,,,,+0.03,0.14
Car-12,Ti I,4.99,,,,,+0.04,0.05
Car-12,Ti II,4.99,,,,,+0.04,0.07
Car-12,Cr I,5.67,,,,,-0.01,0.11
Car-12,Mn I,5.39,,,,,-0.32,0.06
Car-12,Co I,4.92,,,,,+0.07,0.14
Car-12,Ni I,6.25,,,,,-0.06,0.08
Car-12,Cu I,4.21,,,,,-0.61,0.14
Car-12,Zn I,4.60,,,,,-0.22,0.14
Car-12,Y II,2.24,,,,,-0.46,0.07
Car-12,Ba II,2.13,,,,,+0.11,0.08
Car-12,Nd II,1.50,,,,,+0.14,0.10
Car-12,La II,1.22,,,,,+0.11,0.09
Car-12,Eu II,0.51,,,,,+0.04,0.14
Car-10,Fe I,7.52,,-1.94,0.02,,,
Car-10,Fe II,7.52,,-1.94,0.04,,,
Car-10,O I,8.83,,,,,+0.08,0.19
Car-10,Na I,6.33,,,,,-0.66,0.15
Car-10,Mg I,7.58,,,,,+0.06,0.11
Car-10,Al I,6.47,,,,,,
Car-10,Si I,7.55,,,,,+0.38,0.22
Car-10,Ca I,6.36,,,,,-0.02,0.05
Car-10,Sc II,3.10,,,,,+0.05,0.15
Car-10,Ti I,4.99,,,,,+0.11,0.05
Car-10,Ti II,4.99,,,,,+0.16,0.06
Car-10,Cr I,5.67,,,,,-0.19,0.11
Car-10,Mn I,5.39,,,,,-0.42,0.09
Car-10,Co I,4.92,,,,,-0.16,0.15
Car-10,Ni I,6.25,,,,,-0.08,0.15
Car-10,Cu I,4.21,,,,<,-0.60,
Car-10,Zn I,4.60,,,,,-0.20,0.15
Car-10,Y II,2.24,,,,,-0.31,0.08
Car-10,Ba II,2.13,,,,,+0.25,0.09
Car-10,Nd II,1.50,,,,,+0.57,0.11
Car-10,La II,1.22,,,,,+0.25,0.09
Car-10,Eu II,0.51,,,,,+0.80,0.15
Scl-459,Fe I,7.52,,-1.66,0.02,,,
Scl-459,Fe II,7.52,,-1.65,0.04,,,
Scl-459,O I,8.83,,,,,+0.22,0.15
Scl-459,Na I,6.33,,,,,-0.33,0.14
Scl-459,Mg I,7.58,,,,,+0.36,0.13
Scl-459,Al I,6.47,,,,,+0.30,
Scl-459,Si I,7.55,,,,,+0.22,0.15
Scl-459,Ca I,6.36,,,,,+0.24,0.05
Scl-459,Sc II,3.10,,,,,+0.01,0.15
Scl-459,Ti I,4.99,,,,,-0.05,0.05
Scl-459,Ti II,4.99,,,,,-0.01,0.08
Scl-459,Cr I,5.67,,,,,-0.21,0.11
Scl-459,Mn I,5.39,,,,,-0.34,0.08
Scl-459,Co I,4.92,,,,,+0.13,0.15
Scl-459,Ni I,6.25,,,,,+0.11,0.12
Scl-459,Cu I,4.21,,,,,-1.05,0.15
Scl-459,Zn I,4.60,,,,,+0.17,0.15
Scl-459,Y II,2.24,,,,,-0.05,0.12
Scl-459,Ba II,2.13,,,,,+0.33,0.09
Scl-459,Nd II,1.50,,,,,+0.35,0.11
Scl-459,La II,1.22,,,,,-0.08,0.09
Scl-459,Eu II,0.51,,,,,+0.63,0.15
Scl-479,Fe I,7.52,,-1.77,0.02,,,
Scl-479,Fe II,7.52,,-1.79,0.05,,,
Scl-479,O I,8.83,,,,,+0.48,0.11
Scl-479,Na I,6.33,,,,,-0.59,0.11
Scl-479,Mg I,7.58,,,,,+0.26,0.16
Scl-479,Al I,6.47,,,,<,+0.30,
Scl-479,Si I,7.55,,,,,+0.00,0.22
Scl-479,Ca I,6.36,,,,,+0.17,0.05
Scl-479,Sc II,3.10,,,,,-0.05,0.15
Scl-479,Ti I,4.99,,,,,-0.05,0.06
Scl-479,Ti II,4.99,,,,,+0.02,0.09
Scl-479,Cr I,5.67,,,,,-0.07,0.11
Scl-479,Mn I,5.39,,,,,-0.39,0.09
Scl-479,Co I,4.92,,,,,+0.01,0.11
Scl-479,Ni I,6.25,,,,,-0.24,0.09
Scl-479,Cu I,4.21,,,,,-0.83,0.15
Scl-479,Zn I,4.60,,,,,-0.38,0.15
Scl-479,Y II,2.24,,,,,-0.79,0.08
Scl-479,Ba II,2.13,,,,,-0.19,0.09
Scl-479,Nd II,1.50,,,,,-0.36,0.11
Scl-479,La II,1.22,,,,,-0.35,0.15
Scl-479,Eu II,0.51,,,,,+0.25,0.15
Scl-461,Fe I,7.52,,-1.56,0.02,,,
Scl-461,Fe II,7.52,,-1.58,0.04,,,
Scl-461,O I,8.83,,,,,+0.44,0.16
Scl-461,Na I,6.33,,,,,-0.55,0.11
Scl-461,Mg I,7.58,,,,,+0.18,0.11
Scl-461,Al I,6.47,,,,<,+0.19,
Scl-461,Si I,7.55,,,,,+0.14,0.16
Scl-461,Ca I,6.36,,,,,+0.22,0.06
Scl-461,Sc II,3.10,,,,,-0.22,0.16
Scl-461,Ti I,4.99,,,,,+0.00,0.06
Scl-461,Ti II,4.99,,,,,-0.01,0.08
Scl-461,Cr I,5.67,,,,,-0.18,0.11
Scl-461,Mn I,5.39,,,,,-0.49,0.08
Scl-461,Co I,4.92,,,,,+0.17,0.16
Scl-461,Ni I,6.25,,,,,+0.04,0.09
Scl-461,Cu I,4.21,,,,,-0.79,0.11
Scl-461,Zn I,4.60,,,,,-0.33,0.15
Scl-461,Y II,2.24,,,,,-0.38,0.09
Scl-461,Ba II,2.13,,,,,+0.18,0.09
Scl-461,Nd II,1.50,,,,,+0.11,0.11
Scl-461,La II,1.22,,,,,-0.09,0.12
Scl-461,Eu II,0.51,,,,,+0.32,0.16
Scl-482,Fe I,7.52,,-1.24,0.02,,,
Scl-482,Fe II,7.52,,-1.26,0.05,,,
Scl-482,O I,8.83,,,,,+0.18,0.18
Scl-482,Na I,6.33,,,,,-0.55,0.13
Scl-482,Mg I,7.58,,,,,+0.09,0.13
Scl-482,Al I,6.47,,,,<,-0.02,
Scl-482,Si I,7.55,,,,,-0.07,0.15
Scl-482,Ca I,6.36,,,,,+0.06,0.06
Scl-482,Sc II,3.10,,,,,-0.38,0.19
Scl-482,Ti I,4.99,,,,,-0.17,0.06
Scl-482,Ti II,4.99,,,,,-0.01,0.10
Scl-482,Cr I,5.67,,,,,-0.14,0.13
Scl-482,Mn I,5.39,,,,,-0.40,0.09
Scl-482,Co I,4.92,,,,,-0.07,0.19
Scl-482,Ni I,6.25,,,,,-0.28,0.11
Scl-482,Cu I,4.21,,,,,-1.13,0.19
Scl-482,Zn I,4.60,,,,,+0.08,0.19
Scl-482,Y II,2.24,,,,,-0.64,0.11
Scl-482,Ba II,2.13,,,,,+0.23,0.11
Scl-482,Nd II,1.50,,,,,-0.14,0.19
Scl-482,La II,1.22,,,,,+0.10,0.19
Scl-482,Eu II,0.51,,,,,+0.20,0.19
Scl-400,Fe I,7.52,,-1.98,0.03,,,
Scl-400,Fe II,7.52,,-1.94,0.06,,,
Scl-400,O I,8.83,,,,,,
Scl-400,Na I,6.33,,,,,-0.16,0.20
Scl-400,Mg I,7.58,,,,,+0.37,0.12
Scl-400,Al I,6.47,,,,,,
Scl-400,Si I,7.55,,,,,,
Scl-400,Ca I,6.36,,,,,+0.38,0.09
Scl-400,Sc II,3.10,,,,,,
Scl-400,Ti I,4.99,,,,,-0.07,0.13
Scl-400,Ti II,4.99,,,,,+0.00,0.09
Scl-400,Cr I,5.67,,,,,-0.13,0.14
Scl-400,Mn I,5.39,,,,,,
Scl-400,Co I,4.92,,,,,,
Scl-400,Ni I,6.25,,,,,+0.01,0.20
Scl-400,Cu I,4.21,,,,<,-0.46,
Scl-400,Zn I,4.60,,,,,,
Scl-400,Y II,2.24,,,,,+0.21,0.23
Scl-400,Ba II,2.13,,,,,+0.73,0.17
Scl-400,Nd II,1.50,,,,,+0.72,0.20
Scl-400,La II,1.22,,,,,+0.59,0.13
Scl-400,Eu II,0.51,,,,,+1.00,0.20
Fnx-12,Fe I,7.52,,-1.60,0.02,,,
Fnx-12,Fe II,7.52,,-1.59,0.05,,,
Fnx-12,O I,8.83,,,,,-0.02,0.18
Fnx-12,Na I,6.33,,,,,-0.51,0.08
Fnx-12,Mg I,7.58,,,,,+0.09,0.07
Fnx-12,Al I,6.47,,,,,,
Fnx-12,Si I,7.55,,,,,+0.29,0.11
Fnx-12,Ca I,6.36,,,,,+0.23,0.06
Fnx-12,Sc II,3.10,,,,,-0.11,0.14
Fnx-12,Ti I,4.99,,,,,+0.03,0.08
Fnx-12,Ti II,4.99,,,,,-0.15,0.08
Fnx-12,Cr I,5.67,,,,,-0.03,0.13
Fnx-12,Mn I,5.39,,,,,-0.35,0.10
Fnx-12,Co I,4.92,,,,,+0.15,0.29
Fnx-12,Ni I,6.25,,,,,-0.12,0.16
Fnx-12,Cu I,4.21,,,,,-0.67,0.14
Fnx-12,Zn I,4.60,,,,,-0.24,0.14
Fnx-12,Y II,2.24,,,,,-0.57,0.09
Fnx-12,Ba II,2.13,,,,,-0.05,0.08
Fnx-12,Nd II,1.50,,,,,+0.10,0.10
Fnx-12,La II,1.22,,,,,-0.27,0.08
Fnx-12,Eu II,0.51,,,,,+0.26,0.14
Fnx-25,Fe I,7.52,,-1.21,0.02,,,
Fnx-25,Fe II,7.52,,-1.17,0.04,,,
Fnx-25,O I,8.83,,,,,+0.17,0.11
Fnx-25,Na I,6.33,,,,,-0.31,0.08
Fnx-25,Mg I,7.58,,,,,+0.02,0.09
Fnx-25,Al I,6.47,,,,,+0.09,0.16
Fnx-25,Si I,7.55,,,,,,
Fnx-25,Ca I,6.36,,,,,+0.21,0.06
Fnx-25,Sc II,3.10,,,,,-0.16,0.16
Fnx-25,Ti I,4.99,,,,,-0.14,0.06
Fnx-25,Ti II,4.99,,,,,-0.35,0.09
Fnx-25,Cr I,5.67,,,,,+0.33,0.16
Fnx-25,Mn I,5.39,,,,,-0.40,0.08
Fnx-25,Co I,4.92,,,,,+0.04,0.15
Fnx-25,Ni I,6.25,,,,,-0.08,0.09
Fnx-25,Cu I,4.21,,,,,-0.60,0.16
Fnx-25,Zn I,4.60,,,,,+0.08,0.16
Fnx-25,Y II,2.24,,,,,-0.52,0.14
Fnx-25,Ba II,2.13,,,,,+0.56,0.11
Fnx-25,Nd II,1.50,,,,,+0.23,0.11
Fnx-25,La II,1.22,,,,,-0.09,0.13
Fnx-25,Eu II,0.51,,,,,+0.33,0.16
Fnx-21,Fe I,7.52,,-0.67,0.03,,,
Fnx-21,Fe II,7.52,,-0.73,0.13,,,
Fnx-21,O I,8.83,,,,,+0.12,0.17
Fnx-21,Na I,6.33,,,,,+0.02,0.12
Fnx-21,Mg I,7.58,,,,,+0.20,0.12
Fnx-21,Al I,6.47,,,,,-0.04,0.24
Fnx-21,Si I,7.55,,,,,+0.08,0.11
Fnx-21,Ca I,6.36,,,,,+0.23,0.08
Fnx-21,Sc II,3.10,,,,,+0.05,0.24
Fnx-21,Ti I,4.99,,,,,+0.38,0.09
Fnx-21,Ti II,4.99,,,,,+0.31,0.24
Fnx-21,Cr I,5.67,,,,,-0.06,0.32
Fnx-21,Mn I,5.39,,,,,-0.34,0.15
Fnx-21,Co I,4.92,,,,,+0.03,0.23
Fnx-21,Ni I,6.25,,,,,-0.02,0.12
Fnx-21,Cu I,4.21,,,,,+0.39,0.24
Fnx-21,Zn I,4.60,,,,,,
Fnx-21,Y II,2.24,,,,,+0.63,0.22
Fnx-21,Ba II,2.13,,,,,+0.93,0.14
Fnx-21,Nd II,1.50,,,,,+1.08,0.18
Fnx-21,La II,1.22,,,,,+1.24,0.17
Fnx-21,Eu II,0.51,,,,,+0.61,0.24
Leo-5,Fe I,7.52,,-1.52,0.02,,,
Leo-5,Fe II,7.52,,-1.48,0.05,,,
Leo-5,O I,8.83,,,,,+0.53,0.13
Leo-5,Na I,6.33,,,,,-0.43,0.13
Leo-5,Mg I,7.58,,,,,+0.12,0.13
Leo-5,Al I,6.47,,,,,+0.42,0.18
Leo-5,Si I,7.55,,,,,,
Leo-5,Ca I,6.36,,,,,+0.15,0.06
Leo-5,Sc II,3.10,,,,,,
Leo-5,Ti I,4.99,,,,,+0.11,0.07
Leo-5,Ti II,4.99,,,,,+0.42,0.13
Leo-5,Cr I,5.67,,,,,+0.08,0.14
Leo-5,Mn I,5.39,,,,,-0.35,0.09
Leo-5,Co I,4.92,,,,,,
Leo-5,Ni I,6.25,,,,,-0.03,0.09
Leo-5,Cu I,4.21,,,,,-0.60,0.13
Leo-5,Zn I,4.60,,,,,-0.31,0.18
Leo-5,Y II,2.24,,,,,-0.62,0.13
Leo-5,Ba II,2.13,,,,,+0.15,0.11
Leo-5,Nd II,1.50,,,,,+0.28,0.18
Leo-5,La II,1.22,,,,,+0.22,0.17
Leo-5,Eu II,0.51,,,,,+0.54,0.18
Leo-2,Fe I,7.52,,-1.06,0.02,,,
Leo-2,Fe II,7.52,,-1.10,0.05,,,
Leo-2,O I,8.83,,,,,-0.04,0.13
Leo-2,Na I,6.33,,,,,-0.36,0.10
Leo-2,Mg I,7.58,,,,,-0.19,0.13
Leo-2,Al I,6.47,,,,,-0.28,0.18
Leo-2,Si I,7.55,,,,,+0.00,0.13
Leo-2,Ca I,6.36,,,,,+0.02,0.06
Leo-2,Sc II,3.10,,,,,-0.81,0.18
Leo-2,Ti I,4.99,,,,,-0.06,0.11
Leo-2,Ti II,4.99,,,,,+0.04,0.12
Leo-2,Cr I,5.67,,,,,,
Leo-2,Mn I,5.39,,,,,-0.39,0.10
Leo-2,Co I,4.92,,,,,-0.12,0.13
Leo-2,Ni I,6.25,,,,,-0.32,0.09
Leo-2,Cu I,4.21,,,,,-0.39,0.13
Leo-2,Zn I,4.60,,,,,,
Leo-2,Y II,2.24,,,,,-0.59,0.09
Leo-2,Ba II,2.13,,,,,+0.29,0.13
Leo-2,Nd II,1.50,,,,,+0.24,0.13
Leo-2,La II,1.22,,,,,+0.13,0.16
Leo-2,Eu II,0.51,,,,,+0.54,0.18
