JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,M/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7297,0,ROE10c,Roederer+2010c,BD-01 0306,BD-01   306,,,,MP,,,,,02:14:40.296,-01:12:05.040,33.6679,-1.2014,,,9.6,9.631,9.066,8.712,8.377,7.899,7.589,7.52,,,-1.13,,,,,,,,,,,,,,,,,,,,,6.37,,,,3.57,,,,,,,1.05,,,,,,,,,,,,0.12,,,,,-0.27,,,,,,,,,,,,,,,,<1.2,,,,,,,,,,Yelland
7298,0,ROE10c,Roederer+2010c,BD-01 2582,BD-01  2582,,,,VMP,,,,,11:53:37.320,-02:00:36.720,178.4055,-2.0102,,,,10.29,9.6,,,8.126,7.717,7.598,,,-2.21,,,,,,,,,,,,,,,,,,,,,5.29,,,,2.51,,,,,,,0.17,,,,,,,,,,,,-0.05,,,,,-1.03,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Yelland
7299,0,ROE10c,Roederer+2010c,BD-18 5550,BD-18  5550,,,,EMP,,,,,19:58:49.728,-18:12:11.160,299.7072,-18.2031,,,10.18,10.03,9.35,9.04,8.74,7.202,6.721,6.555,,,-3.05,,,,,,,,,,,,,,,,,,,,,4.45,,,,1.94,,,,,,,-1.81,,,,,,,,,,,,-2.52,,,,,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7300,0,ROE10c,Roederer+2010c,BD+01 2916,BD+01  2916,,,,MP,,,,,14:21:45.264,+00:46:59.160,215.4386,0.7831,,,,10.93,9.65,,,7.273,6.566,6.472,,,-1.92,,,,,,,,,,,,,,,,,,,,,5.58,,,,,,,,,,,-0.21,,,,,,,,,,,,-0.87,,,,,-1.22,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,Yelland
7301,0,ROE10c,Roederer+2010c,BD+04 2621,BD+04  2621,,,,VMP,,,,,12:28:44.640,+04:01:26.760,187.186,4.0241,,,,10.86,9.9,,,8.179,7.688,7.549,,,-2.52,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,-0.69,,,,,,,,,,,,-2.29,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7302,0,ROE10c,Roederer+2010c,BD+06 0648,BD+06   648,,,,VMP,,,,,04:13:13.104,+06:36:01.800,63.3046,6.6005,,,,10.27,9.09,8.58,,6.562,5.905,5.798,,,-2.14,,,,,,,,,,,,,,,,,,,,,5.36,,,,,,,,,,,-0.09,,,,,,,,,,,,-0.95,,,,,-1.5,,,,,,,,,,,,,,,,<0.0,,,,,,,,,,Yelland
7303,0,ROE10c,Roederer+2010c,BD+08 2856,BD+08  2856,,,,VMP,,,,,14:23:58.176,+08:01:33.240,215.9924,8.0259,,,,10.9,10.08,,,8.06,7.53,7.387,,,-2.12,,,,,,,,,,,,,,,,,,,,,5.38,,,,2.59,,,,,,,-0.15,,,,,,,,,,,,-1.03,,,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7304,0,ROE10c,Roederer+2010c,BD+10 2495,BD+10  2495,,,,VMP,,SS,Helmi,SB,12:59:19.920,+09:14:35.520,194.833,9.2432,,,,10.44,9.73,,,8.13,7.691,7.571,,,-2.31,,,,,,,,,,,,,,,,,,,,,5.19,,,,2.32,,,,,,,-0.52,,,,,,,,,,,,-1.36,,,,,-1.69,,,,,,,,,,,,,,,,<0.88,,,,,,,,,,Yelland
7305,0,ROE10c,Roederer+2010c,BD+17 3248,BD+17  3248,,,,VMP,,,,HB,17:28:14.472,+17:30:36.000,262.0603,17.51,,,,10.02,9.34,,,7.876,7.391,7.338,,,-2.08,,,,,,,,,,,,,,,,,,,,,5.42,,,,2.58,,,,,,,0.04,,,,,,,,,,,,-0.55,,,,,-0.78,,,,,,,,,,,,,,,,<0.27,,,,,,,,,,Yelland
7306,0,ROE10c,Roederer+2010c,BD+19 1185,HD 250792,,,,MP,,,,,06:03:14.856,+19:21:38.520,90.8119,19.3607,,,9.89,9.898,9.31,8.954,8.547,8.001,7.695,7.583,,,-1.09,,,,,,,,,,,,,,,,,,,,,6.41,,,,3.38,,,,,,,0.85,,,,,,,,,,,,0.06,,,,,-0.23,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Yelland
