JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
654,1.0,LAI08,Lai+2008,BS 16080-093,BPS BS 16080-093,,,,,,,,,16:50:38.3051,+59:13:06.553,,,-204.3,,,14.3,13.6,,,11.97,11.49,11.401,4940,1.86,-3.20,1.9,,,4.7,,,,,4.83,2.4,4.78,,,,3.44,0.07,2.24,0.72,,,4.31,2.03,3.09,,,,,,,,-0.35,-1.23,-0.42,,,,,,,,,,-1.33,,,,,,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
713,2.0,LAI08,Lai+2008,CS 30336-049,BPS CS 30336-049,,,,,,,,,20:45:23.5333,-28:42:35.912,,,-236.6,2013ApJ...762...25N,,14.89,14.03,13.328,12.844,12.112,11.641,11.545,4827,1.51,-3.95,2.3,,,4.2,4.8,5.8,,,3.62,,3.7,,,,2.41,-0.69,1.25,,,0.83,3.46,1.35,2.16,-1.0,,,,,,,-2.57,,,,,,,,,,,,-3.23,,,,,,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
771,2.0,LAI08,Lai+2008,CS 22944-032,BPS CS 22944-032,,,,,,,,,21:47:43.2239,-13:40:22.958,,,19.08,1992AJ....103.1987B,,13.87,13.28,,,11.806,11.428,11.324,5300,2.87,-3.00,1.5,,,5.85,4.5,6.6,,,4.99,2.65,,,,,3.67,0.3,2.4,1.18,,2.22,4.52,2.39,3.37,0.13,1.87,,,,,,-0.28,-1.04,-0.33,,,,,,,,,,-1.47,,,,,,-1.74,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
851,2.0,LAI08,Lai+2008,CS 29502-092,BPS CS 29502-092,,,,,,,,,22:22:35.9982,-01:38:27.620,,,-66.81,2011ApJ...737....9R,,12.64,11.87,11.365,10.862,10.177,9.713,9.601,4890,1.72,-3.30,1.6,,,6.3,5.55,6.4,,,4.82,2.5,,,,,3.49,0.01,2.03,0.86,2.7,2.05,4.32,2.1,3.15,-0.33,1.76,,,,,,-0.67,-1.57,-0.86,,,,,,,,,,-2.31,,,,,,-2.98,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1082,1.0,LAI08,Lai+2008,BD+03 740,BD +03 740,,,,,,,,,05:01:16.6226,+04:06:37.021,,,174.52,2002AJ....124.1144L,9.97,10.17,9.7,9.6,,8.795,8.532,8.516,6557,4.28,-2.75,1.8,,,6.4,5.5,7.1,,,5.1,2.92,4.91,,,,4.03,0.75,2.88,1.57,3.01,2.49,4.79,2.62,3.6,0.7,,,,,,,0.05,-0.48,0.25,,,,,,,,,,-0.95,,,,,,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1151,2.0,LAI08,Lai+2008,BD+23 3130,BD +23 3130,,,,,,,,,17:32:41.6247,+23:44:11.625,,,-283.38,2002AJ....124.1144L,,,8.9,8.6,,7.42,7.026,6.952,5285,2.83,-2.60,1.6,,,6.05,4.8,6.8,,3.66,5.25,2.9,,,,,4.02,0.65,2.69,1.54,3.02,2.43,4.92,2.54,3.52,0.3,2.09,,,,,,0.01,-0.73,0.02,,,,,,,,,,-0.92,-1.67,,,,,-1.76,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1158,2.0,LAI08,Lai+2008,BD+24 1676,BD +24 1676,,,,,,,,,07:30:41.2662,+24:05:10.248,,,-237.09,2002AJ....124.1144L,,11.15,10.7,10.4,,9.811,9.545,9.541,6241,3.81,-2.60,1.6,,,6.3,5.5,6.85,,,5.32,,5.09,,,,4.18,0.74,2.84,1.57,2.95,2.46,4.87,2.64,3.65,0.75,2.17,,,,,,0.29,-0.51,0.28,,,,,,,,,,-0.83,,,,,,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1202,1.0,LAI08,Lai+2008,BS 16077-007,BPS BS 16077-007,,,,,,,,,11:35:17.9891,+31:00:23.431,,,-36.7,,,12.79,12.4,12.49,,11.47,11.206,11.173,6544,4.29,-2.80,1.6,,,6.4,6.0,7.5,,,5.2,,4.96,,,,4.07,0.76,2.92,1.7,2.96,2.4,4.78,2.54,3.61,0.9,,,,,,,0.47,-0.18,0.73,,,,,,,,,,-0.7,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1235,2.0,LAI08,Lai+2008,CS 22872-102,BPS CS 22872-102,,,,,,,,,16:29:20.6944,-03:04:56.728,,,-42.0,1992AJ....103.1987B,,14.33,13.67,13.64,,12.08,11.755,11.622,5984,3.63,-2.90,1.5,,,6.25,5.6,,,3.42,5.09,2.88,4.96,,,,3.89,0.38,2.57,,,2.08,4.63,2.27,3.41,,,,,,,,-0.05,,,,,,,,,,,,-1.19,,,,,,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1255,2.0,LAI08,Lai+2008,CS 22878-027,BPS CS 22878-027,,,,,,,,,16:37:35.8437,+10:22:07.754,,,-116.0,1992AJ....103.1987B,,14.86,14.4,14.45,,13.348,12.984,12.97,6348,4.39,-2.50,1.4,,,6.9,6.5,,,3.57,5.12,3.15,5.14,,,,4.06,0.85,3.07,,,2.87,5.02,,3.83,,,,,,,,0.31,,,,,,,,,,,,-1.1,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1268,2.0,LAI08,Lai+2008,CS 22880-086,BPS CS 22880-086,,,,,,,,,20:45:47.5279,-18:33:32.356,,,-90.0,1992AJ....103.1987B,,15.08,14.32,14.36,,12.84,12.384,12.288,5188,2.55,-3.00,1.5,,,5.75,,,,,4.86,2.49,,,,,3.61,0.22,2.37,,,,4.49,2.38,3.4,,,,,,,,-0.14,-1.04,,,,,,,,,,,-1.68,,,,,,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1395,2.0,LAI08,Lai+2008,CS 22965-054,BPS CS 22965-054,,,,,,,,,22:06:30.2933,-02:32:34.433,,,-281.9,2014AJ....147..136R,,15.69,15.07,14.732,14.072,13.861,13.583,13.449,6205,3.73,-3.10,1.7,,,6.5,,,,,4.8,2.65,4.54,,,,3.7,0.11,2.35,,,,4.41,2.09,3.16,,,,,,,,-0.06,,,,,,,,,,,,-1.44,,,,,,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1418,2.0,LAI08,Lai+2008,CS 29506-007,BPS CS 29506-007,,,,,,,,,21:20:28.6541,-20:46:22.955,,,46.0,1992AJ....103.1987B,,,14.18,,,13.174,12.934,12.872,6369,3.84,-2.85,1.4,,,6.5,6.0,7.5,,,5.01,2.8,4.8,,,,3.96,0.6,2.74,,,2.12,4.65,2.35,3.34,0.8,,,,,,,0.25,-0.37,0.38,,,,,,,,,,-0.61,,,,,,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1440,1.0,LAI08,Lai+2008,CS 29522-046,BPS CS 29522-046,,,,,,,,,23:44:59.8584,+08:46:52.866,,,-103.99,,,13.29,12.78,12.72,,11.436,11.164,11.093,6055,3.8,-2.10,1.4,,,6.85,5.5,7.4,,,5.89,,,,,,4.65,1.2,3.36,2.08,3.69,3.03,5.41,3.0,4.13,1.33,2.66,,,,,,1.1,0.24,0.92,,,,,,,,,,0.18,,,,,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
1460,1.0,LAI08,Lai+2008,CS 31085-024,BPS CS 31085-024,,,,,,,,,00:08:27.9327,+10:54:19.831,,,-324.34,,,14.62,14.0,,,12.633,12.35,12.27,5949,4.57,-2.70,0.9,,,6.2,5.0,6.8,,,5.07,,5.08,,,,3.9,0.63,2.72,1.46,2.89,2.52,4.82,2.61,3.78,0.6,,,,,,,-0.01,,,,,,,,,,,,-1.07,,,,,,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
2677,2.0,LAI08,Lai+2008,BS 16467-062,BPS BS 16467-062,,,,,,,,,13:42:00.6326,+17:48:40.826,,,-90.0,2013MNRAS.434.1681C,,14.69,14.09,13.665,13.216,12.68,12.221,12.198,5388,3.04,-3.70,1.7,,,5.25,,,,,4.06,1.93,4.12,,,,2.89,-0.27,1.71,,,,3.75,1.86,2.79,,,,,,,,,,,,,,,,,,,,-2.3,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
2681,2.0,LAI08,Lai+2008,BS 16550-087,BPS BS 16550-087,,,,,,,,,14:10:26.7272,+18:01:23.732,,,-149.6,2013MNRAS.434.1681C,,14.59,13.76,13.211,12.688,11.912,11.409,11.306,4750,1.31,-3.50,2.3,,,4.5,5.5,,,2.81,4.63,2.33,4.42,,,,3.06,-0.41,1.64,,,,3.97,1.61,2.64,,,,,,,,-0.14,-1.0,-0.19,,,,,,,,,,-2.14,,,,,,-3.02,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
2686,2.0,LAI08,Lai+2008,BS 16545-089,BPS BS 16545-089,,,,,,,,,11:24:27.5182,+36:50:28.816,,,-161.1,2013ApJ...762...25N,,14.76,14.44,14.039,13.812,13.516,13.267,13.202,6500,4.25,-3.50,1.6,,,6.7,6.3,,,2.76,4.43,2.37,4.11,,,,3.38,0.02,2.29,,,,4.06,,,,,,,,,,-0.56,,,,,,,,,,,,-1.4,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
