Name,Simbad_Identifier,System,Teff,logg,e_logg,M/H,e_M/H,Vmic,e_Vmic
J002518,2MASS J00251849-7140074,Small Magellanic Cloud,4372,0.65,0.01,-2.33,0.30,2.71,0.50
J002623,2MASS J00262394-7128549,Small Magellanic Cloud,4388,0.87,0.01,-2.02,0.32,2.51,0.80
J002639,2MASS J00263959-7122102,Small Magellanic Cloud,4481,0.73,0.01,-2.60,0.39,3.01,0.45
J002737,2MASS J00273753-7125114,Small Magellanic Cloud,4326,0.61,0.01,-2.27,0.26,3.83,0.95
J051216,2MASS J05121686-6517147,Large Magellanic Cloud,4247,0.55,0.01,-2.32,0.36,2.91,0.50
J051335,2MASS J05133509-7109322,Large Magellanic Cloud,4520,1.06,0.02,-2.15,0.38,2.55,0.75
J051416,2MASS J05141665-6454310,Large Magellanic Cloud,4761,1.43,0.02,-2.42,0.23,2.45,0.62
J051431,2MASS J05143154-6505189,Large Magellanic Cloud,4361,1.06,0.01,-1.65,0.35,2.74,0.83
J051503,2MASS J05150380-6647003,Large Magellanic Cloud,4139,0.64,0.02,-1.83,0.46,3.31,0.91
J051600,2MASS J05160009-6207287,Large Magellanic Cloud,4151,0.60,0.02,-1.62,0.24,3.25,0.54
J052240,2MASS J05224088-6951471,Large Magellanic Cloud,4619,1.24,0.03,-2.14,0.32,3.16,0.45
J052422,2MASS J05242202-6945073,Large Magellanic Cloud,4903,1.61,0.03,-1.99,0.47,2.38,0.78
J064119,2MASS J06411906-7016314,Large Magellanic Cloud,4093,0.53,0.01,-1.54,0.14,3.28,0.47
