Species,Sun,432,432,628,628,635,635,656,656,709,709,716,716,717,717,772,772,867,867,879,879,894,894,927,927,1272,1272,1282,1282,1515,1515,1665,1665,1708,1708
Species,logepsX_sun,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX,logepsX,e_logepsX
O I,8.72,8.03,,8.35,,8.33,,8.15,,8.50,,8.54,,8.49,,8.07,,8.01,,,,8.33,,8.45,,8.17,,8.36,,,,8.43,,8.34,
Na I,6.33,,,5.81,0.08,5.40,0.03,5.74,0.08,6.03,0.13,5.83,0.16,5.87,0.16,5.52,0.15,5.36,0.07,5.64,0.08,5.82,0.10,6.00,0.14,5.49,0.02,5.48,0.06,5.42,0.04,5.49,0.07,5.32,0.04
Mg I,7.58,6.64,0.01,7.16,0.12,7.10,0.13,6.99,0.04,7.21,0.12,7.13,0.02,7.33,0.05,6.85,0.13,6.76,0.11,6.96,0.13,6.98,0.16,7.08,0.09,6.88,0.13,6.88,0.05,6.99,0.09,6.93,0.12,6.84,0.08
Al I,6.47,,,,,,,,,,,5.61,,5.66,,,,,,5.76,,,,5.70,,5.55,0.11,5.47,0.01,5.66,,5.43,0.02,5.43,
Si I,7.55,6.66,0.17,7.30,0.10,7.12,0.11,7.25,0.08,7.37,0.14,7.39,0.15,7.51,0.14,7.18,0.12,6.96,0.15,6.98,0.03,7.41,0.07,7.40,0.08,6.91,0.16,7.06,0.11,7.14,0.05,7.00,0.12,6.98,0.20
Ca I,6.36,5.48,0.08,5.83,0.15,5.80,0.09,5.96,0.18,6.13,0.16,5.97,0.12,6.18,0.19,5.68,0.16,5.63,0.19,5.74,0.21,5.96,0.18,5.99,0.16,,,6.62,0.04,,,6.62,0.04,6.59,0.04
S I,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,0.09,5.74,0.09,5.85,0.10,5.79,0.11,5.65,0.05
Sc II,3.17,2.04,,2.20,,2.45,,2.34,,2.72,,2.58,,3.12,,2.27,0.13,1.90,,2.32,0.07,2.30,,2.71,,2.15,0.01,2.36,0.04,2.42,0.04,2.30,0.04,2.29,0.15
Ti I,5.02,4.01,0.08,4.44,0.15,4.13,0.14,4.44,0.12,4.59,0.21,4.38,0.12,4.41,0.17,4.13,0.12,4.14,0.10,4.45,0.12,4.52,0.13,4.40,0.19,4.47,0.09,4.50,0.13,4.52,0.07,4.59,0.21,4.39,0.11
V I,4.00,,,3.35,0.16,3.06,0.08,3.38,0.04,3.47,0.15,3.52,0.03,3.39,0.15,3.06,,,,,,3.42,0.22,3.52,0.11,3.35,0.16,3.35,0.03,3.43,0.04,3.43,0.07,3.20,0.03
Cr II,5.67,,,,,5.31,,5.45,,5.64,,5.78,,5.86,,5.24,,,,5.30,,5.02,,5.74,,4.99,0.02,5.05,0.04,5.02,0.04,5.17,0.08,5.03,0.09
Mn I,5.39,4.20,,4.83,,4.60,,4.75,,5.03,,4.94,,4.91,,4.56,,,,4.80,,4.87,,4.79,,4.47,,4.58,,4.45,,,,,
Fe I,7.50,6.61,0.12,7.22,0.13,7.14,0.12,7.13,0.12,7.52,0.12,7.35,0.16,7.44,0.10,6.99,0.12,6.74,0.17,7.01,0.14,7.18,0.14,7.26,0.14,6.83,0.08,6.96,0.11,6.94,0.09,6.99,0.14,6.94,0.12
Fe II,7.50,6.67,0.12,7.23,0.11,7.19,0.17,7.12,0.19,7.59,0.13,7.40,0.13,7.53,0.16,7.02,0.03,6.70,0.10,7.13,0.07,7.17,0.15,7.30,0.08,6.85,0.06,6.92,0.10,6.89,0.08,6.98,0.09,6.96,0.06
Co I,4.92,3.69,0.15,4.15,0.06,4.02,0.13,4.07,0.06,4.16,0.02,4.30,0.06,4.20,,3.90,0.05,3.68,0.05,4.09,0.07,4.25,0.02,4.31,0.08,4.11,0.12,4.27,0.09,4.25,0.09,4.10,,4.01,
Ni I,6.25,4.91,0.01,5.61,0.08,5.44,0.15,5.51,0.10,5.83,0.17,5.71,0.12,5.72,0.12,5.49,0.11,5.07,0.20,5.43,0.12,5.44,0.08,5.58,0.13,5.32,0.09,5.47,0.08,5.54,0.05,5.49,0.13,5.52,0.11
