StarID,Species,lambda,References,EW,logepsX
635,Nd II,529.3162,0.1,HA,5.53,1.06
635,Nd II,543.1515,-0.470,HA,2.51,1.35
635,Nd II,548.5695,-0.120,HA,0.0,0.0
656,O I,630.0304,-9.717,STZ,0.01,8.15
656,Na I,568.2633,-0.7,KP,9.61,5.76
656,Na I,615.4227,-1.560,KP,3.36,5.62
656,Na I,616.0747,-1.260,KP,4.34,5.49
656,Mg I,552.8405,-0.552,GC,19.77,6.96
656,Mg I,571.1087,-1.729,GC,11.05,7.04
656,Mg I,631.8716,-1.945,GC,3.59,6.98
656,Mg I,631.9237,-2.165,GC,0.0,0.0
656,Al I,669.8673,-1.647,NBS,0.0,0.0
656,Si I,577.2147,-1.750,GARZ,0.0,0.0
656,Si I,594.8541,-1.230,GARZ,9.30,7.35
656,Si I,612.5021,-1.540,ED,3.72,7.31
656,Si I,614.2482,-1.480,ED,3.50,7.21
656,Si I,614.5015,-1.430,ED,3.34,7.12
656,Si I,615.5134,-0.770,ED,7.99,7.28
656,Ca I,551.2980,-0.447,SR,10.69,6.04
656,Ca I,560.1277,-0.523,SR,13.80,6.35
656,Ca I,585.7451,0.240,SR,14.22,5.95
656,Ca I,586.7562,-1.490,GC,4.26,5.92
656,Ca I,612.2217,-0.315,NIST,19.56,6.
656,Ca I,615.6022,-2.180,NIST,0.0,0.0
656,Ca I,616.1296,-1.266,SR,9.98,6.20
656,Ca I,616.2174,0.1,NBS,0.0,0.0
656,Ca I,616.6438,-1.142,SR,9.73,6.03
656,Ca I,616.9042,-0.797,SR,11.64,6.05
656,Ca I,616.9562,-0.270,NBS,0.0,0.0
656,Ca I,643.9075,0.390,SR,17.69,5.89
656,Ca I,645.5597,-1.290,SR,8.16,5.87
656,Ca I,649.3781,-0.109,SR,13.98,5.78
656,Ca I,649.9650,-0.818,SR,10.92,5.90
656,Ca I,650.8850,-2.110,NBS,2.01,5.57
656,Ca I,679.8479,-2.320,K88,1.45,5.81
656,Sc II,552.6790,0.130,MFW,10.01,2.34
656,Sc II,632.0852,-1.770,NBS,0.0,0.0
656,Ti I,488.5078,0.358,MFW,9.83,4.56
656,Ti I,491.5229,-1.019,MFW,1.91,4.32
656,Ti I,499.7097,-2.118,MFW,8.42,4.31
656,Ti I,508.7058,-0.780,MFW,6.16,4.33
656,Ti I,586.6450,-0.840,MFW,9.91,4.53
656,Ti I,612.6215,-1.425,MFW,7.18,4.58
656,V I,573.7059,-0.740,MFW,3.79,3.36
656,V I,613.5361,-0.746,MFW,3.92,3.34
656,V I,615.0157,-1.780,MFW,3.93,3.43
656,Cr II,488.4607,-2.080,MFW,4.55,5.45
656,Mn I,511.7900,-1.140,MFW,0.02,4.75
656,Fe I,489.2859,-1.290,FMW,7.78,7.28
656,Fe I,506.7151,-0.970,FMW,9.54,7.34
656,Fe I,510.4438,-1.690,FMW,4.81,7.15
656,Fe I,510.9652,-0.980,FMW,7.98,7.07
656,Fe I,552.5545,-1.330,FMW,7.92,7.29
656,Fe I,585.5076,-1.760,FMW,0.0,0.0
656,Fe I,585.6087,-1.640,FMW,4.85,7.08
656,Fe I,585.8779,-2.260,FMW,2.,7.01
656,Fe I,586.1109,-2.450,FMW,0.0,0.0
656,Fe I,587.7794,-2.230,FMW,3.64,7.31
656,Fe I,588.3817,-1.360,FMW,8.48,7.08
656,Fe I,615.1616,-3.299,FMW,9.37,6.93
656,Fe I,616.5360,-1.550,FMW,6.39,7.07
656,Fe I,618.7990,-1.720,FMW,6.49,7.01
656,Fe I,649.6465,-0.570,FMW,7.81,7.12
656,Fe I,670.3565,-3.160,FMW,7.27,7.09
656,Fe II,483.3197,-4.780,FMW,3.18,7.34
656,Fe II,492.3927,-1.320,FMW,0.0,0.0
656,Fe II,499.3358,-3.650,FMW,7.05,7.22
656,Fe II,510.0664,-4.370,FMW,3.30,7.12
656,Fe II,513.2669,-4.180,FMW,4.72,7.25
656,Fe II,516.1184,-4.483,K88,2.17,7.
656,Fe II,525.6937,-4.250,K88,0.0,0.0
656,Fe II,526.4812,-3.190,FMW,4.81,6.76
656,Fe II,614.9259,-2.724,K88,0.0,0.0
656,Co I,533.1700,-6.473,K88,0.02,4.11
656,Co I,553.0700,-2.060,FMW,0.02,4.03
656,Ni I,585.7747,-0.636,K88,0.0,0.0
656,Ni I,612.8963,-3.330,FMW,6.24,5.62
656,Ni I,613.0130,-0.960,FMW,1.96,5.52
656,Ni I,617.5360,-0.530,FMW,4.71,5.48
656,Ni I,617.6807,-0.260,LW,6.75,5.59
656,Ni I,617.7236,-3.5,FMW,2.78,5.35
656,Cu I,510.5500,-1.516,BIEL,0.02,3.05
656,Zn I,481.0528,-0.170,BG,7.88,3.92
656,YI I,488.3683,0.070,HL,10.46,1.86
656,YI I,498.2130,-1.290,HL,4.06,1.67
656,YI I,508.7417,-0.170,HL,7.92,1.43
656,YI I,511.9113,-1.360,HL,4.41,1.76
656,Ba II,649.6896,-0.377,NBS,19.02,2.20
656,La II,480.4039,-1.490,LA,4.55,1.33
656,La II,511.4558,-1.030,LA,7.65,1.51
656,La II,632.0377,-1.610,ABH,4.,1.15
656,Ce II,518.7457,0.130,H,2.78,1.21
656,Ce II,533.0556,-0.360,H,3.07,1.35
656,Ce II,546.8372,0.140,H,2.43,1.32
656,Ce II,604.3374,-0.430,H,0.0,0.0
656,Nd II,491.4382,-0.7,HA,6.80,1.67
656,Nd II,495.9119,-0.8,HA,0.0,0.0
656,Nd II,496.1387,-0.710,MC',4.14,1.40
656,Nd II,508.9832,-1.160,MC',0.0,0.0
656,Nd II,529.3162,0.1,HA,7.60,1.54
656,Nd II,543.1515,-0.470,HA,2.24,1.28
656,Nd II,548.5695,-0.120,HA,3.79,1.46
709,O I,630.0304,-9.717,STZ,0.01,8.50
709,Na I,568.2633,-0.7,KP,11.23,6.06
709,Na I,615.4227,-1.560,KP,0.0,0.0
709,Na I,616.0747,-1.260,KP,6.07,5.74
709,Mg I,552.8405,-0.552,GC,21.53,7.17
709,Mg I,571.1087,-1.729,GC,10.66,7.05
709,Mg I,631.8716,-1.945,GC,5.95,7.39
709,Mg I,631.9237,-2.165,GC,3.61,7.22
709,Al I,669.8673,-1.647,NBS,0.0,0.0
709,Si I,577.2147,-1.750,GARZ,4.82,7.27
709,Si I,594.8541,-1.230,GARZ,8.84,7.49
709,Si I,612.5021,-1.540,ED,2.29,7.12
709,Si I,614.2482,-1.480,ED,4.34,7.52
709,Si I,614.5015,-1.430,ED,3.79,7.36
709,Si I,615.5134,-0.770,ED,7.87,7.48
709,Ca I,551.2980,-0.447,SR,10.47,6.07
709,Ca I,560.1277,-0.523,SR,0.0,0.0
709,Ca I,585.7451,0.240,SR,0.0,0.0
709,Ca I,586.7562,-1.490,GC,4.68,5.98
709,Ca I,612.2217,-0.315,NIST,19.51,6.08
709,Ca I,615.6022,-2.180,NIST,0.0,0.0
709,Ca I,616.1296,-1.266,SR,10.46,6.37
709,Ca I,616.2174,0.1,NBS,0.0,0.0
709,Ca I,616.6438,-1.142,SR,10.29,6.20
709,Ca I,616.9042,-0.797,SR,12.11,6.25
709,Ca I,616.9562,-0.270,NBS,0.0,0.0
709,Ca I,643.9075,0.390,SR,18.91,6.14
709,Ca I,645.5597,-1.290,SR,8.02,5.86
709,Ca I,649.3781,-0.109,SR,0.0,0.0
709,Ca I,649.9650,-0.818,SR,12.82,6.37
709,Ca I,650.8850,-2.110,NBS,0.0,0.0
709,Ca I,679.8479,-2.320,K88,2.28,6.01
709,Sc II,552.6790,0.130,MFW,9.97,2.72
709,Sc II,632.0852,-1.770,NBS,0.0,0.0
709,Ti I,488.5078,0.358,MFW,0.0,0.0
709,Ti I,491.5229,-1.019,MFW,3.13,4.56
709,Ti I,499.7097,-2.118,MFW,7.85,4.20
709,Ti I,508.7058,-0.780,MFW,8.29,4.78
709,Ti I,586.6450,-0.840,MFW,10.26,4.65
709,Ti I,612.6215,-1.425,MFW,8.17,4.75
709,V I,573.7059,-0.740,MFW,4.87,3.49
709,V I,613.5361,-0.746,MFW,3.92,3.28
709,V I,615.0157,-1.780,MFW,5.68,3.64
709,Cr II,488.4607,-2.080,MFW,4.14,5.64
709,Mn I,511.7900,-1.140,MFW,0.02,5.03
709,Fe I,489.2859,-1.290,FMW,7.84,7.49
709,Fe I,506.7151,-0.970,FMW,9.52,7.56
709,Fe I,510.4438,-1.690,FMW,6.28,7.56
709,Fe I,510.9652,-0.980,FMW,10.01,7.67
709,Fe I,552.5545,-1.330,FMW,7.43,7.35
709,Fe I,585.5076,-1.760,FMW,5.02,7.70
709,Fe I,585.6087,-1.640,FMW,6.61,7.54
709,Fe I,585.8779,-2.260,FMW,0.0,0.0
709,Fe I,586.1109,-2.450,FMW,2.84,7.54
709,Fe I,587.7794,-2.230,FMW,4.44,7.53
709,Fe I,588.3817,-1.360,FMW,8.85,7.36
709,Fe I,615.1616,-3.299,FMW,0.0,0.0
709,Fe I,616.5360,-1.550,FMW,6.64,7.25
709,Fe I,618.7990,-1.720,FMW,8.42,7.56
709,Fe I,649.6465,-0.570,FMW,9.40,7.61
709,Fe I,670.3565,-3.160,FMW,0.0,0.0
709,Fe II,483.3197,-4.780,FMW,3.50,7.72
709,Fe II,492.3927,-1.320,FMW,0.0,0.0
709,Fe II,499.3358,-3.650,FMW,7.35,7.72
709,Fe II,510.0664,-4.370,FMW,3.41,7.47
709,Fe II,513.2669,-4.180,FMW,3.81,7.38
709,Fe II,516.1184,-4.483,K88,0.0,0.0
709,Fe II,525.6937,-4.250,K88,3.73,7.53
709,Fe II,526.4812,-3.190,FMW,7.16,7.68
709,Fe II,614.9259,-2.724,K88,5.67,7.65
709,Co I,533.1700,-6.473,K88,0.02,4.14
709,Co I,553.0700,-2.060,FMW,0.02,4.18
709,Ni I,585.7747,-0.636,K88,0.0,0.0
709,Ni I,612.8963,-3.330,FMW,5.60,5.65
709,Ni I,613.0130,-0.960,FMW,2.60,5.80
709,Ni I,617.5360,-0.530,FMW,6.47,5.99
709,Ni I,617.6807,-0.260,LW,7.99,6.06
709,Ni I,617.7236,-3.5,FMW,3.71,5.65
709,Cu I,510.5500,-1.516,BIEL,0.02,3.43
709,Zn I,481.0528,-0.170,BG,6.50,3.91
709,YI I,488.3683,0.070,HL,0.0,0.0
709,YI I,498.2130,-1.290,HL,4.43,2.05
709,YI I,508.7417,-0.170,HL,8.65,2.08
709,YI I,511.9113,-1.360,HL,4.69,2.13
709,Ba II,649.6896,-0.377,NBS,22.13,2.85
709,La II,480.4039,-1.490,LA,6.82,2.28
709,La II,511.4558,-1.030,LA,0.0,0.0
709,La II,632.0377,-1.610,ABH,6.73,2.03
709,Ce II,518.7457,0.130,H,5.34,2.12
709,Ce II,533.0556,-0.360,H,4.74,2.02
709,Ce II,546.8372,0.140,H,3.51,1.87
709,Ce II,604.3374,-0.430,H,3.21,2.44
709,Nd II,491.4382,-0.7,HA,7.53,2.33
709,Nd II,495.9119,-0.8,HA,0.0,0.0
709,Nd II,496.1387,-0.710,MC',5.69,2.10
709,Nd II,508.9832,-1.160,MC',5.13,1.86
709,Nd II,529.3162,0.1,HA,0.0,0.0
