StarID,Name,Species,logepsX_sun,l_logepsX,logepsX,e_logepsX
709,Sgr-709,Y II,2.24,,2.09,0.03
709,Sgr-709,La II,1.13,,2.16,0.12
709,Sgr-709,Ce II,1.58,,2.11,0.21
716,Sgr-716,Zn I,4.60,,3.99,
716,Sgr-716,Co I,4.92,,4.30,0.06
716,Sgr-716,Ti I,5.02,,4.38,0.12
716,Sgr-716,Ba II,2.13,,2.11,
716,Sgr-716,La II,1.13,,1.82,0.22
716,Sgr-716,V I,4.00,,3.52,0.03
716,Sgr-716,Mg I,7.58,,7.13,0.02
716,Sgr-716,Ce II,1.58,,1.89,0.13
716,Sgr-716,Na I,6.33,,5.83,0.16
716,Sgr-716,Cr II,5.67,,5.78,
716,Sgr-716,Fe I,7.50,,7.35,0.16
716,Sgr-716,Nd II,1.50,,1.80,0.24
716,Sgr-716,O I,8.72,,8.54,
716,Sgr-716,Mn I,5.39,,4.94,
716,Sgr-716,Fe II,7.50,,7.40,0.13
716,Sgr-716,Si I,7.55,,7.39,0.15
716,Sgr-716,Al I,6.47,,5.61,
716,Sgr-716,Cu I,4.21,,3.17,
716,Sgr-716,Ni I,6.25,,5.71,0.12
716,Sgr-716,Sc II,3.17,,2.58,
716,Sgr-716,S I,,,,
716,Sgr-716,Y II,2.24,,1.96,0.05
716,Sgr-716,Ca I,6.36,,5.97,0.12
717,Sgr-717,Y II,2.24,,1.97,0.15
717,Sgr-717,V I,4.00,,3.39,0.15
717,Sgr-717,Ca I,6.36,,6.18,0.19
717,Sgr-717,Ce II,1.58,,1.69,0.14
717,Sgr-717,Na I,6.33,,5.87,0.16
717,Sgr-717,Si I,7.55,,7.51,0.14
717,Sgr-717,Cu I,4.21,,3.17,
717,Sgr-717,Cr II,5.67,,5.86,
717,Sgr-717,Fe I,7.50,,7.44,0.10
717,Sgr-717,S I,,,,
717,Sgr-717,Nd II,1.50,,1.78,0.20
717,Sgr-717,O I,8.72,,8.49,
717,Sgr-717,Zn I,4.60,,4.26,
717,Sgr-717,Mg I,7.58,,7.33,0.05
717,Sgr-717,La II,1.13,,1.47,0.10
717,Sgr-717,Fe II,7.50,,7.53,0.16
717,Sgr-717,Ti I,5.02,,4.41,0.17
717,Sgr-717,Ni I,6.25,,5.72,0.12
717,Sgr-717,Mn I,5.39,,4.91,
717,Sgr-717,Al I,6.47,,5.66,
