El.,lambda,chi,loggf,f_EW-A,l_EW-A,EW-A,l_logepsX-A,logepsX-A,f_EW-B,l_EW-B,EW-B,l_logepsX-B,logepsX-B,f_EW-C,l_EW-C,EW-C,l_logepsX-C,logepsX-C,f_EW-D,l_EW-D,EW-D,l_logepsX-D,logepsX-D,f_EW-E,l_EW-E,EW-E,l_logepsX-,logepsX-E,f_EW-F,l_EW-F,EW-F,l_logepsX-F,logepsX-F,f_EW-G,l_EW-G,EW-G,l_logepsX-G,logepsX-G,f_EW-H,l_EW-H,EW-H,l_logepsX-H,logepsX-H,f_EW-I,l_EW-I,EW-I,l_logepsX-I,logepsX-I
Fe I,5194.94,1.56,-2.02,,,74.8,,4.39,,,,,,,,,,,,,40.1,,4.29,,,80.4,,5.33,,,,,,,,,,,,,,,,,,,,
Fe I,5216.27,1.61,-2.08,,,70.8,,4.45,,,56.2,,4.53,,,,,,,,,,,,,70.3,,5.23,,,,,,,,,,,,,63.6,,5.41,,,,,
Fe I,5225.53,0.11,-4.75,,,31.4,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5232.94,2.94,-0.06,,,78.8,,4.19,,,64.2,,4.20,,,62.9,,4.29,,,,,,,,104.3,,5.37,,,,,,,,,,,,,86.2,,5.26,,,40.0,,4.38
Fe I,5250.21,0.12,-4.94,,,26.8,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5250.65,2.20,-2.18,,,28.1,,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5254.96,0.11,-4.76,,,32.5,,4.69,,,21.4,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5266.56,3.00,-0.39,,,53.9,,4.22,,,44.5,,4.28,,,61.0,,4.66,,,30.3,,4.13,,,81.4,,5.30,,,,,,,,,,,,,,,,,,,,
Fe I,5269.54,0.86,-1.33,,,,,,,,148.8,,4.66,,,142.1,,4.78,,,101.0,,4.03,,,137.0,,5.04,,,105.4,,4.64,,,67.6,,3.79,,,126.6,,5.22,,,102.3,,4.89
Fe I,5281.79,3.04,-0.83,,,53.0,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5283.62,3.24,-0.52,,,37.4,,4.38,,,,,,,,,,,,,,,,,,54.2,,5.17,,,,,,,,,,,,,,,,,,,,
Fe I,5302.30,3.28,-0.72,,,,,,,,28.3,,4.65,,,29.3,,4.74,,,,,,,,58.7,,5.49,,,,,,,,,,,,,,,,,,,,
Fe I,5307.36,1.61,-2.91,,,31.6,,4.68,,,,,,,,25.1,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5324.18,3.21,-0.10,,,62.0,,4.30,,,,,,,,50.3,,4.42,,,34.6,,4.16,,,95.6,,5.52,,,45.3,,4.61,,,,,,,,77.3,,5.39,,,,,
Fe I,5328.04,0.92,-1.47,,,162.8,,4.58,,,141.9,,4.73,,,124.8,,4.64,,,101.8,,4.25,,,149.2,,5.42,,,119.1,,5.12,,,64.6,,3.93,,,117.0,,5.25,,,86.0,,4.72
Fe I,5328.53,1.56,-1.85,,,87.3,,4.40,,,66.7,,4.40,,,70.1,,4.60,,,47.2,,4.24,,,84.0,,5.23,,,,,,,,,,,,,95.8,,5.87,,,,,
Fe I,5339.93,3.27,-0.72,,,32.1,,4.52,,,,,,,,30.6,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5369.96,4.37,0.54,,,,,,,,25.6,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5371.49,0.96,-1.64,,,142.4,,4.42,,,117.0,,4.42,,,115.5,,4.64,,,101.3,,4.45,,,116.7,,5.06,,,104.9,,5.03,,,72.8,,4.32,,,111.2,,5.34,,,80.1,,4.79
Fe I,5383.37,4.31,0.65,,,,,,,,20.3,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5393.17,3.24,-0.91,,,,,,,,,,,,,,,,,,,,,,,33.9,,5.17,,,,,,,,,,,,,,,,,,,,
Fe I,5397.13,0.92,-1.98,,,134.1,,4.55,,,122.2,,4.82,,,118.0,,4.99,,,79.8,,4.24,,,103.9,,5.07,,,100.9,,5.23,,,,,,,,101.2,,5.43,,,84.7,,5.19
Fe I,5405.77,0.99,-1.85,,,127.7,,4.39,,,130.3,,4.94,,,101.1,,4.56,,,73.7,,4.06,,,131.2,,5.58,,,96.2,,5.07,,,51.4,,4.12,,,,,,,,59.8,,4.53
Fe I,5415.20,4.39,0.64,,,,,,,,24.7,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5429.70,0.96,-1.88,,,146.4,,4.72,,,126.4,,4.85,,,105.1,,4.64,,,85.6,,4.31,,,118.7,,5.33,,,77.2,,4.59,,,,,,,,115.2,,5.65,,,,,
Fe I,5434.52,1.01,-2.13,,,127.2,,4.68,,,101.5,,4.64,,,97.0,,4.77,,,74.6,,4.38,,,106.9,,5.39,,,67.9,,4.67,,,,,,,,105.4,,5.76,,,68.8,,5.04
Fe I,5446.92,0.99,-1.91,,,135.0,,4.57,,,92.9,,4.23,,,116.9,,4.97,,,73.3,,4.11,,,121.5,,5.45,,,70.5,,4.49,,,,,,,,104.4,,5.49,,,71.5,,4.87
Fe I,5455.61,1.01,-2.09,,,124.8,,4.59,,,88.4,,4.34,,,102.3,,4.84,,,82.4,,4.51,,,105.4,,5.31,,,68.2,,4.64,,,,,,,,,,,,,60.8,,4.81
Fe I,5497.52,1.01,-2.83,,,87.0,,4.66,,,74.6,,4.84,,,53.5,,4.64,,,,,,,,64.4,,5.16,,,58.3,,5.16,,,,,,,,70.0,,5.63,,,,,
Fe I,5501.47,0.96,-3.05,,,71.0,,4.58,,,39.1,,4.44,,,,,,,,17.8,,4.12,,,72.9,,5.49,,,,,,,,,,,,,65.4,,5.70,,,,,
Fe I,5506.78,0.99,-2.79,,,84.7,,4.56,,,62.6,,4.59,,,56.8,,4.63,,,29.3,,4.17,,,72.0,,5.25,,,45.3,,4.83,,,,,,,,69.0,,5.55,,,,,
Fe I,5569.62,3.42,-0.54,,,,,,,,14.7,,4.26,,,,,,,,,,,,,41.9,,5.15,,,,,,,,,,,,,,,,,,,,
Fe I,5572.84,3.40,-0.28,,,36.0,,4.29,,,33.1,,4.43,,,37.6,,4.58,,,,,,,,52.0,,5.05,,,,,,,,,,,,,64.9,,5.50,,,,,
Fe I,5586.76,3.37,-0.14,,,47.0,,4.29,,,64.2,,4.76,,,48.5,,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5615.64,3.33,0.05,,,73.1,,4.43,,,,,,,,43.5,,4.28,,,,,,,,75.9,,5.09,,,44.8,,4.57,,,,,,,,68.7,,5.17,,,,,
Fe I,5624.54,3.42,-0.76,,,24.6,,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,5658.82,3.40,-0.79,,,,,,,,23.4,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,6065.48,2.61,-1.41,,,35.1,,4.41,,,,,,,,27.4,,4.58,,,,,,,,59.0,,5.42,,,,,,,,,,,,,,,,,,,,
Fe I,6136.61,2.45,-1.41,,,50.8,,4.46,,,38.1,,4.51,,,50.0,,4.80,,,,,,,,67.8,,5.40,,,,,,,,,,,,,66.0,,5.65,,,,,
Fe I,6137.69,2.59,-1.35,,,39.6,,4.40,,,53.5,,4.86,,,,,,,,,,,,,73.6,,5.62,,,,,,,,,,,,,51.2,,5.43,,,,,
Fe I,6191.56,2.43,-1.42,,,60.4,,4.58,,,32.2,,4.39,,,,,,,,,,,,,84.4,,5.73,,,,,,,,,,,,,64.4,,5.60,,,,,
Fe I,6230.72,2.56,-1.28,,,43.7,,4.35,,,44.4,,4.61,,,,,,,,,,,,,57.8,,5.20,,,,,,,,,,,,,50.8,,5.31,,,,,
Fe I,6252.56,2.40,-1.69,,,48.4,,4.63,,,,,,,,,,,,,,,,,,49.9,,5.28,,,,,,,,,,,,,,,,,,,,
Fe I,6265.13,2.18,-2.54,,,,,,,,19.5,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,6335.33,2.20,-2.18,,,31.6,,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe I,6393.60,2.43,-1.58,,,57.0,,4.68,,,21.4,,4.30,,,33.4,,4.65,,,,,,,,57.5,,5.34,,,,,,,,,,,,,,,,,,,,
Fe I,6400.00,3.60,-0.29,,,,,,,,31.9,,4.61,,,,,,,,,,,,,44.3,,5.11,,,,,,,,,,,,,,,,,,,,
Fe I,6421.35,2.28,-2.01,,,27.1,,4.44,,,,,,,,,,,,,,,,,,53.6,,5.53,,,,,,,,,,,,,,,,,,,,
Fe I,6430.85,2.18,-1.95,,,43.5,,4.54,,,27.8,,4.52,,,,,,,,,,,,,49.2,,5.28,,,,,,,,,,,,,37.8,,5.31,,,,,
Fe I,6494.98,2.40,-1.24,,,67.7,,4.44,,,35.0,,4.20,,,43.0,,4.44,,,20.9,,4.01,,,78.0,,5.36,,,,,,,,,,,,,79.3,,5.69,,,,,
Fe I,6592.91,2.73,-1.47,,,27.8,,4.46,,,26.8,,4.66,,,,,,,,,,,,,31.8,,5.08,,,,,,,,,,,,,,,,,,,,
Fe I,6677.99,2.69,-1.42,,,43.2,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe II,4178.86,2.58,-2.51,,,,,,,,,,,,,35.2,,4.51,,,,,,,,52.9,,5.18,,,,,,,,,,,,,,,,,,,,
Fe II,4233.17,2.58,-1.97,,,80.9,,4.43,,,73.0,,4.53,,,61.6,,4.45,,,,,,,,89.6,,5.47,,,,,,,,,,,,,76.7,,5.48,,,,,
Fe II,4416.82,2.78,-2.60,,,,,,,,36.6,,4.74,,,36.8,,4.83,,,,,,,,38.4,,5.19,,,,,,,,,,,,,,,,,,,,
Fe II,4491.41,2.86,-2.71,,,,,,,,,,,,,19.1,,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe II,4508.28,2.86,-2.58,,,,,,,,34.4,,4.77,,,,,,,,,,,,,43.0,,5.34,,,,,,,,,,,,,43.7,,5.58,,,,,
Fe II,4515.34,2.84,-2.60,,,,,,,,,,,,,26.3,,4.68,,,,,,,,48.9,,5.45,,,,,,,,,,,,,35.6,,5.41,,,,,
Fe II,4520.22,2.81,-2.60,,,35.6,,4.55,,,,,,,,,,,,,,,,,,39.8,,5.24,,,,,,,,,,,,,,,,,,,,
Fe II,4522.63,2.84,-2.25,,,,,,,,,,,,,46.6,,4.72,,,,,,,,66.1,,5.44,,,,,,,,,,,,,54.8,,5.46,,,,,
Fe II,4555.89,2.83,-2.40,,,,,,,,45.5,,4.75,,,,,,,,,,,,,45.8,,5.18,,,,,,,,,,,,,43.9,,5.37,,,,,
Fe II,4583.84,2.81,-1.93,,,69.0,,4.41,,,56.0,,4.42,,,57.5,,4.56,,,40.8,,4.34,,,80.4,,5.40,,,45.0,,4.69,,,,,,,,,,,,,,,
Fe II,4923.93,2.89,-1.32,,,96.9,,4.33,,,87.2,,4.42,,,81.3,,4.46,,,53.3,,4.02,,,104.0,,5.40,,,68.2,,4.65,,,,,,,,92.3,,5.45,,,,,
Fe II,5018.45,2.89,-1.22,,,108.6,,4.43,,,,,,,,84.6,,4.42,,,63.5,,4.10,,,105.7,,5.32,,,84.6,,4.94,,,,,,,,91.1,,5.30,,,,,
Fe II,5197.58,3.23,-2.22,,,,,,,,31.3,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe II,5276.00,3.20,-2.01,,,,,,,,45.6,,4.74,,,37.7,,4.69,,,,,,,,51.6,,5.27,,,,,,,,,,,,,,,,,,,,
Co I,3845.47,0.92,0.01,,,,,,,,,,,,,80.1,,2.33,,,,,,,,87.0,,2.87,,,,,,,,,,,,,,,,,,,,
Co I,3873.12,0.43,-0.66,,,88.5,,1.97,,,,,,,,81.3,,2.45,,,,,,,,93.1,,3.15,,,,,,,,,,,,,,,,,,,,
Co I,3881.87,0.58,-1.13,,,,,,,,,,,,,61.8,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co I,3995.31,0.92,-0.22,,,62.3,,1.62,,,74.5,,2.18,,,83.2,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co I,4020.90,0.43,-2.07,,,36.5,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co I,4110.53,1.05,-1.08,,,35.4,,2.18,,,45.0,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co I,4118.77,1.05,-0.49,,,55.9,,1.92,,,69.0,,2.47,,,49.2,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co I,4121.32,0.92,-0.32,,,86.3,,2.12,,,63.2,,2.05,,,,,,,,69.0,,2.39,,,,,,,<,93.3,<,3.51,,<,84.4,<,2.60,,<,117.7,<,4.24,,<,93.2,<,3.84
Ni I,3783.52,0.42,-1.42,,,105.3,,3.00,,,91.4,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni I,3807.14,0.42,-1.22,,,104.5,,2.77,,,92.9,,2.92,,,,,,,,63.2,,2.58,,,99.3,,3.74,,,,,,,,,,,,,,,,,,,,
Ni I,3858.30,0.42,-0.95,,,128.7,,3.05,,,,,,,,103.5,,3.18,,,68.8,,2.84,,,,,,,<,192.1,<,4.86,,<,186.4,<,4.76,,<,131.9,<,4.46,,<,202.1,<,5.01
Ni I,5476.90,1.83,-0.89,,,80.2,,3.36,,,56.4,,3.30,,,57.7,,3.44,,,,,,,,91.7,,4.46,,,,,,,,,,,,,,,,,,,,
Zn I,4722.15,4.03,-0.39,,,,,,,,,,,,,,,,,,,,,,,60.1,,3.44,,,,,,,,,,,,,,,,,,,,
Zn I,4810.53,4.08,-0.14,,,,,,,,,,,,,,,,,,,,,,,55.0,,3.13,,,,,,,,,,,,,,,,,,,,
Sr II,4077.71,0.00,0.15,syn,,,,0.06,syn,,,,0.55,syn,,,,0.37,syn,,,<,-1.37,syn,,,,0.38,syn,,,,0.54,syn,,,<,-0.67,syn,,,,1.09,,,,,
Sr II,4215.52,0.00,-0.18,syn,,,,0.01,syn,,,,0.50,syn,,,,0.26,syn,,,<,-1.37,syn,,,,0.28,syn,,,,0.19,syn,,,<,-0.67,syn,,,,1.24,syn,,,,0.40
Y II,3774.33,0.13,0.21,,,95.0,,-0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y II,3788.69,0.10,-0.07,,,108.3,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y II,3818.34,0.13,-0.98,,,72.3,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y II,3950.35,0.10,-0.49,,,72.5,,-0.66,,,79.1,,-0.12,,,,,,,,,,,,,,,,,,62.5,,0.33,,,,,,,,77.1,,1.08,,,,,
Y II,4398.01,0.13,-1.00,,,66.7,,-0.29,,,70.6,,0.15,,,35.6,,-0.31,,,,,,,,27.4,,-0.03,,,50.1,,0.48,,,,,,,,,,,,,,,
Y II,4682,,,syn,,,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y II,4854,,,syn,,,,-0.80,syn,,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y II,4883.68,1.08,0.07,,,51.2,,-0.46,,,44.8,,-0.27,,,40.5,,-0.22,,,,,,,,24.6,,-0.14,,,,,,,,,,,,,57.7,,0.88,,,,,
Y II,4900,,,syn,,,,-0.55,syn,,,,-0.16,syn,,,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,3836.76,0.56,-0.06,,,,,,,,88.7,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,3998.97,0.56,-0.52,,,55.8,,0.12,,,48.2,,0.33,,,56.1,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,4149.20,0.80,-0.03,,,68.3,,0.11,,,63.1,,0.36,,,59.2,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,4161.21,0.71,-0.72,,,,,,,,37.5,,0.50,,,45.2,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,4208.98,0.71,-0.51,,,40.6,,0.02,,,41.0,,0.35,,,43.4,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr II,4496.98,0.71,-0.59,,,,,,,,47.8,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba II,4554.03,0.00,0.16,syn,,,,0.02,syn,,,,0.21,syn,,,,0.07,syn,,,<,-1.96,syn,,,,0.24,syn,,,,0.95,syn,,,<,-1.26,syn,,,,1.40,syn,,,,0.91
Ba II,4934.09,0.00,-0.16,syn,,,,-0.03,syn,,,,-0.09,syn,,,,0.77,syn,,,<,-1.96,syn,,,,0.24,syn,,,,1.15,syn,,,<,-0.96,syn,,,,1.50,syn,,,,0.61
Ba II,5853,,,syn,,,,-0.13,syn,,,,0.31,syn,,,,0.17,,,,,,syn,,,,0.29,syn,,,,0.45,,,,,,syn,,,,1.40,,,,,
Ba II,6141,,,syn,,,,-0.03,syn,,,,-0.04,syn,,,,0.17,,,,,,syn,,,,0.49,syn,,,,0.95,,,,,,syn,,,,1.50,syn,,,,0.61
Ba II,6496.90,0.60,-0.37,syn,,,,-0.03,syn,,,,0.21,syn,,,,0.57,,,,,,syn,,,,0.49,syn,,,,0.75,,,,,,syn,,,,1.50,syn,,,,1.11
La II,4077,,,syn,,,,-0.91,syn,,,,-0.67,syn,,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La II,4086,,,,,,,,syn,,,,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La II,4123,,,syn,,,,-0.91,syn,,,,-0.57,syn,,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La II,4429,,,syn,,,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce II,4083.22,0.70,0.27,,,27.3,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce II,4137.64,0.52,0.40,,,47.2,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce II,4222.60,0.12,-0.15,,,29.1,,-0.74,,,,,,,,27.5,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce II,4418.78,0.86,0.31,,,22.4,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce II,4562.36,0.48,0.33,,,43.7,,-0.54,,,49.5,,-0.10,,,52.4,,0.10,,,,,,,,,,,,,,,,,,,,,,,43.1,,0.75,,,,,
Ce II,4628.16,0.52,0.14,,,37.2,,-0.42,,,30.4,,-0.21,,,40.9,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr II,4062.80,0.42,0.33,,,,,,,,35.9,,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr II,4408,,,syn,,,,-1.09,syn,,,,-0.85,syn,,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,3784.25,0.38,0.15,,,56.8,,-0.39,,,61.3,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,3838.98,0.00,-0.24,,,,,,,,61.9,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,3991.74,0.00,-0.26,,,59.1,,-0.45,,,50.5,,-0.21,,,70.1,,0.38,,,,,,,,37.2,,0.18,,,,,,,,,,,,,86.0,,1.93,,,,,
Nd II,4012.70,0.00,-0.60,,,42.9,,-0.38,,,,,,,,,,,,,,,,,,20.7,,0.13,,,,,,,,,,,,,,,,,,,,
Nd II,4021.33,0.32,-0.17,,,36.7,,-0.53,,,,,,,,47.1,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4023.00,0.56,0.04,,,28.8,,-0.59,,,33.8,,-0.15,,,52.4,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4061.08,0.47,0.30,,,96.8,,0.29,,,71.0,,0.16,,,80.3,,0.62,,,,,,,,59.2,,0.61,,,,,,,,,,,,,,,,,,,,
Nd II,4069.26,0.06,-0.40,,,75.7,,0.03,,,71.0,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4109.07,0.06,-0.16,,,71.0,,-0.30,,,56.4,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4109.45,0.32,0.35,,,101.2,,0.12,,,59.0,,-0.31,,,64.4,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4135.32,0.63,-0.07,,,23.6,,-0.52,,,25.7,,-0.14,,,46.8,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd II,4232.37,0.06,-0.35,,,58.7,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,0.57,,,,,
Nd II,4446.38,0.20,-0.63,,,62.4,,0.15,,,44.4,,0.23,,,25.8,,0.01,,,,,,,,26.8,,0.49,,,,,,,,,,,,,,,,,,,,
Nd II,4462.98,0.56,-0.07,,,69.6,,0.15,,,41.3,,0.05,,,34.5,,0.06,,,,,,,,,,,,,,,,,,,,,,,42.8,,1.03,,,,,
Nd II,5319.81,0.55,-0.35,,,36.6,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4318.93,0.28,-0.27,,,43.6,,-0.64,,,50.8,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4434.32,0.38,-0.07,,,52.8,,-0.58,,,,,,,,44.0,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4467.34,0.66,0.15,,,36.3,,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4519.63,0.54,-0.35,,,,,,,,21.6,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4537.94,0.48,-0.23,,,,,,,,32.8,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm II,4577.69,0.25,-0.77,,,,,,,,,,,,,34.6,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu II,4129,,,syn,,,,-0.69,syn,,,,-0.90,syn,,,,-0.59,syn,,,<,-1.32,syn,,,,-0.87,syn,,,,-0.51,syn,,,<,-0.62,syn,,,,0.54,syn,,,,-0.14
Eu II,4205,,,syn,,,,-0.79,syn,,,,-0.85,syn,,,,-0.49,,,,,,syn,,,,-0.57,syn,,,,-0.51,,,,,,syn,,,,0.14,syn,,,,-0.14
Eu II,4435,,,syn,,,,-0.79,syn,,,,-0.65,syn,,,,-0.49,,,,,,,,,,,,,,,,,,,,,syn,,,,-0.06,,,,,
Eu II,4522,,,syn,,,,-0.99,syn,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu II,6645,,,syn,,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd II,3796.38,0.03,0.02,,,67.1,,-0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd II,3916.51,0.60,0.06,,,28.9,,-0.64,,,37.5,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd II,4191.07,0.43,-0.68,,,26.7,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy II,3869.86,0.00,-0.94,,,52.6,,-0.14,,,,,,,,55.0,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy II,3944.68,0.00,0.11,,,78.0,,-0.75,,,99.0,,0.21,,,76.5,,-0.09,,,,,,,,55.0,,-0.11,,,44.4,,-0.28,,,,,,,,,,,,,,,
Dy II,3996.69,0.59,-0.19,,,,,,,,,,,,,50.0,,0.28,,,,,,,,,,,,,,,,,,,,,,,56.6,,1.30,,,,,
Dy II,4077,,,syn,,,,-0.41,syn,,,,-0.57,syn,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy II,4103.31,0.10,-0.38,,,85.1,,-0.03,,,62.1,,-0.08,,,59.5,,0.06,,,,,,,,53.7,,0.42,,,56.2,,0.60,,,,,,,,63.8,,1.14,,,,,
Dy II,5169.69,0.10,-1.66,,,17.3,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
