ID,Simbad_Identifier,UFD,Starname,RA_hms,DEC_dms,R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source
33,Gaia DR3 3959875601129415168,Coma Berenices,,186.76556,24.01463,1.81,,17.17,1.08,1.00,,
34,Gaia DR3 3959875768632396800,Coma Berenices,,186.86491,23.98741,2.23,,20.23,0.97,0.78,,
35,Gaia DR3 3959876077870051328,Coma Berenices,,186.83070,24.01264,2.25,,19.74,0.94,0.92,,
36,Gaia DR3 3959877452259603968,Coma Berenices,,186.84851,24.06688,3.18,,18.09,1.04,0.99,,
37,Gaia DR3 3959882228263617536,Coma Berenices,,186.59553,24.02838,2.02,,19.85,1.02,0.94,,
38,Gaia DR3 3959884740819808256,Coma Berenices,,186.51644,24.00724,2.51,,16.85,1.14,1.00,,
39,Gaia DR3 3959888486031303680,Coma Berenices,,186.68111,24.07936,2.50,,15.40,1.42,1.00,,
40,Gaia DR3 3953877451666634240,Coma Berenices,,186.37624,23.87828,4.47,,18.51,1.06,0.86,,
41,Gaia DR3 3959813646225316864,Coma Berenices,,186.78216,23.66171,3.59,,19.57,0.99,0.69,,
42,Gaia DR3 3959816395004384768,Coma Berenices,,187.03847,23.65754,3.98,,18.35,0.63,0.91,,
43,,Ursa Major I,SDSS J103519.12+515359.5,158.82967,51.89994,0.85,,22.07,0.01,0.00,-1.41,g
44,Gaia DR3  847519608687616640,Ursa Major I,,158.82316,51.92608,0.54,-68.31,18.74,1.28,0.96,-1.14,g,m
45,Gaia DR3  847520334538526848,Ursa Major I,,158.67198,51.92003,0.28,-61.91,19.23,1.17,1.00,-2.20,g,m
46,Gaia DR3  847708243651375360,Ursa Major I,,158.71589,51.97377,0.86,-64.06,18.59,1.15,1.00,-2.75,g,m
47,Gaia DR3  847708174931896832,Ursa Major I,,158.67620,51.96635,0.89,-37.93,18.67,1.30,0.00,-2.56,g,m
48,Gaia DR3  847516172713773440,Ursa Major I,,158.77871,51.87363,0.96,-40.00,18.95,1.17,0.01,-1.22,g
49,Gaia DR3  847706972341268608,Ursa Major I,,158.47213,51.89850,1.27,-62.48,20.49,0.76,0.00,-1.34,g
50,Gaia DR3  847520605120030720,Ursa Major I,,158.76470,51.93890,0.26,-68.31,20.44,0.81,0.99,-2.57,o,g
51,Gaia DR3  847706869261834112,Ursa Major I,,158.62968,51.95030,0.88,-56.67,18.10,1.24,1.00,-2.73,o,g,m
52,Gaia DR3  849020961751785472,Ursa Major I,,158.87024,51.95040,0.71,-57.03,17.82,1.31,1.00,-2.58,o,g
53,Gaia DR3  847706731822875648,Ursa Major I,,158.59212,51.93622,0.90,-39.30,19.99,0.98,0.00,-1.58,o,g
54,Gaia DR3  849017590201559552,Ursa Major I,,158.90282,51.88844,1.39,-56.53,20.70,0.51,0.07,-2.57,o,g
55,Gaia DR3  847516103994294528,Ursa Major I,,158.79778,51.85917,1.26,-55.14,19.22,1.03,1.00,-2.30,o,g
56,Gaia DR3  847517482680353408,Ursa Major I,,158.70037,51.84745,1.08,-56.00,20.45,0.84,0.83,-2.00,o,g
57,Gaia DR3  847519230730488960,Ursa Major I,,158.71128,51.87782,0.63,-45.50,20.58,0.70,0.96,-1.40,o,g
