Name,Vel_min,Vel_max,D_heliocentric,e_D_heliocentric,ell,phi,Rh_arcmin,Rh_pc
ComBer,97.2,99.0,40,4,0.37,-58,5.63,65
UMaI,-56.7,-53.9,97,4,0.57,67,8.34,235
BooI,96.9,101.1,66,2,0.25,7,11.26,217
