JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_byJINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,,,,,,,,,,,Teff,logg,M/H,Vmic,,,epsc,epsn,epso,,epsna,epsmg,epsal,epssi,,,epsk,epsca,epssc,epsti1,epsv,epscr,epsmn,epsfe,epsco,epsni,epscu,epszn,,,,,,epssr,epsy,epszr,,,,,,,,,,epsba,epsla,epsce,,epsnd,epssm,epseu,epsgd,,epsdy,,,,,,,,,,,,,,,,,,,epsv2,epscr2,epsti,epsfe2,Added_by
6348,,JI20b,Ji+2020b,ATLAS_26,Gaia DR3 5040976937490509184,,,,,,SS,ATLAS,,01:11:13.03,-24:44:48.3,17.804292,-24.75,,,,,,,,,,,5042,1.75,-2.26,1.91,,,5.58,<6.75,<7.97,,4.45,5.67,3.67,5.74,,,3.32,4.33,0.89,2.88,1.52,3.15,2.62,5.05,2.91,3.77,<2.38,2.5,,,,,,0.86,-0.27,0.38,,,,,,,,,,-0.06,-0.95,,,,,-1.48,,,-0.73,,,,,,,,,,,,,,,,,,,1.89,3.3,2.89,5.21,Yelland
6349,,JI20b,Ji+2020b,ATLAS_27,Gaia DR3 2346224467824940544,,,,,,SS,ATLAS,,00:52:59.32,-22:54:15.5,13.247167,-22.9,,,,,,,,,,,5002,1.86,-2.55,2.33,,,6.37,<5.87,<8.01,,4.15,5.69,3.21,5.79,,,3.47,4.37,0.81,2.83,1.68,3.32,2.65,5.14,2.88,3.65,<2.49,2.26,,,,,,0.42,-0.37,0.47,,,,,,,,,,-0.41,-0.8,,,,,-1.49,,,-0.8,,,,,,,,,,,,,,,,,,,1.62,3.28,2.91,5.03,Yelland
6350,,JI20b,Ji+2020b,Chenab_10,Gaia DR3 6558441247408890240,,,,,,SS,Chenab,,21:48:16.11,-52:11:43.8,327.067125,-52.2,,,,,,,,,,,4528,0.85,-1.94,2.23,,,5.75,5.97,7.42,,4.34,6.11,4.17,5.96,,,3.93,4.71,1.21,3.15,1.91,3.67,3.36,5.56,3.06,4.22,1.74,2.5,,,,,,0.42,-0.39,0.36,,,,,,,,,,-0.23,-0.99,,,,,-1.29,,,-0.45,,,,,,,,,,,,,,,,,,,1.85,3.71,3.14,5.52,Yelland
6351,,JI20b,Ji+2020b,Chenab_12,Gaia DR3 6558460660661091456,,,,,,SS,Chenab,,21:46:14.54,-52:01:06.6,326.560583,-52.02,,,,,,,,,,,4263,0.62,-1.8,2.44,,,5.96,5.84,7.34,,4.16,5.99,3.83,6.14,,,3.64,4.67,1.21,3.33,1.77,3.69,3.27,5.53,2.82,4.26,1.99,2.52,,,,,,0.71,-0.31,0.52,,,,,,,,,,0.09,-0.81,,,,,-1.06,,,-0.55,,,,,,,,,,,,,,,,,,,,4.05,3.32,5.63,Yelland
6352,,JI20b,Ji+2020b,Chenab_16,Gaia DR3 6559165825572005120,,,,,,SS,Chenab,,21:54:15.45,-49:38:05.0,328.564375,-49.63,,,,,,,,,,,4819,1.41,-2.15,1.95,,,6.38,6.64,<7.78,,4.36,5.73,2.91,5.81,,,3.4,4.37,1.0,2.91,1.61,3.41,2.89,5.25,2.94,4.04,<2.18,2.6,,,,,,0.76,-0.07,0.34,,,,,,,,,,0.45,-0.64,,,,,-1.21,,,-0.42,,,,,,,,,,,,,,,,,,,1.99,3.5,3.03,5.33,Yelland
6353,,JI20b,Ji+2020b,Elqui_0,Gaia DR3 4935696500108507776,,,,,,SS,Elqui,,01:23:24.63,-43:33:20.0,20.852625,-43.56,,,,,,,,,,,4374,0.91,-2.02,2.27,,,5.49,5.86,<7.37,,3.62,5.45,3.71,5.51,,,3.03,4.11,0.86,2.39,1.23,3.15,2.7,5.08,2.82,3.76,<1.85,2.41,,,,,,0.59,-0.69,0.26,,,,,,,,,,-0.6,-1.63,,,,,-1.64,,,-1.02,,,,,,,,,,,,,,,,,,,,3.5,2.8,5.42,Yelland
6354,,JI20b,Ji+2020b,Elqui_1,Gaia DR3 4983776837921214336,,,,,,SS,Elqui,,01:19:05.70,-42:07:20.1,19.77375,-42.12,,,,,,,,,,,4316,0.56,-2.91,2.41,,,5.71,5.84,<7.62,,3.93,5.53,3.31,4.61,,,2.34,3.58,0.14,2.0,<1.06,2.48,2.17,4.49,2.27,3.37,<1.78,1.95,,,,,,-0.13,-1.07,-0.58,,,,,,,,,,-2.0,<-1.47,,,,,<-2.22,,,,,,,,,,,,,,,,,,,,,,,,2.17,4.59,Yelland
6355,,JI20b,Ji+2020b,Elqui_3,Gaia DR3 4984107138085841664,,,,,,SS,Elqui,,01:21:23.11,-42:02:09.2,20.346292,-42.04,,,,,,,,,,,4380,0.99,-1.81,2.32,,,6.45,6.22,<7.37,,4.38,5.45,,5.33,,,3.24,4.45,1.05,2.81,1.43,3.32,2.85,5.44,<3.75,3.99,<2.43,2.16,,,,,,<1.65,0.54,1.13,,,,,,,,,,0.92,-0.19,,,,,-1.09,,,,,,,,,,,,,,,,,,,,,,,4.27,3.18,5.69,Yelland
6356,,JI20b,Ji+2020b,Elqui_4,Gaia DR3 4984799005777773952,,,,,,SS,Elqui,,01:12:21.84,-41:33:23.9,18.091,-41.56,,,,,,,,,,,4645,1.2,-2.03,2.13,,,5.63,<6.3,<7.91,,3.82,5.34,3.01,5.32,,,2.98,4.08,0.79,2.57,1.32,3.33,2.92,5.23,2.75,3.94,<2.21,2.2,,,,,,0.24,<-0.6,<0.84,,,,,,,,,,-1.27,<-1.18,,,,,<-1.7,,,,,,,,,,,,,,,,,,,,,,1.69,3.53,2.65,5.45,Yelland
6357,,JI20b,Ji+2020b,Indus_0,Gaia DR3 6390575508661401216,,,,,,SS,Indus,,23:24:01.75,-64:02:20.8,351.007292,-64.04,,,,,,,,,,,5040,1.93,-2.41,1.73,,,6.16,6.53,<7.81,,4.72,5.54,4.31,5.83,,,3.42,4.28,0.82,2.73,1.49,3.18,2.6,5.04,2.98,3.89,<2.49,2.22,,,,,,0.68,-0.3,0.36,,,,,,,,,,-0.11,<-0.91,,,,,-1.5,,,-0.76,,,,,,,,,,,,,,,,,,,1.72,3.27,2.79,5.06,Yelland
6358,,JI20b,Ji+2020b,Indus_6,Gaia DR3 6394607108562733440,,,,,,SS,Indus,,22:56:57.69,-62:41:37.5,344.240375,-62.69,,,,,,,,,,,5251,2.43,-2.45,1.73,,,6.47,<6.35,<8.42,,4.24,5.7,3.65,5.74,,,3.36,4.49,0.83,2.95,<2.08,3.25,2.84,5.18,3.11,3.96,<2.69,2.52,,,,,,0.5,-0.14,0.67,,,,,,,,,,-0.11,-0.5,,,,,-1.2,,,-0.31,,,,,,,,,,,,,,,,,,,,,2.93,5.16,Yelland
6359,,JI20b,Ji+2020b,Indus_8,Gaia DR3 6407002315459841152,,,,,,SS,Indus,,22:43:18.18,-60:54:22.5,340.82575,-60.91,,,,,,,,,,,5206,2.5,-2.02,1.66,,,6.64,<6.15,<8.68,,4.5,5.89,3.37,5.93,,,3.61,4.78,1.16,3.15,1.91,3.58,3.24,5.46,3.22,4.3,<2.66,2.64,,,,,,0.87,-0.07,0.73,,,,,,,,,,0.15,-0.58,,,,,-1.06,,,-0.5,,,,,,,,,,,,,,,,,,,1.88,3.72,3.22,5.48,Yelland
6360,,JI20b,Ji+2020b,Indus_12,Gaia DR3 6411531547451908480,,,,,,SS,Indus,,22:11:27.25,-58:04:44.7,332.863542,-58.08,,,,,,,,,,,4741,1.45,-2.14,1.9,,,6.1,6.02,<7.79,,4.23,5.83,3.92,5.63,,,3.61,4.47,1.14,2.97,1.63,3.4,2.94,5.29,2.89,4.08,<2.02,2.44,,,,,,0.61,-0.15,0.53,,,,,,,,,,0.1,-0.84,,,,,-1.05,,,-0.35,,,,,,,,,,,,,,,,,,,1.99,3.58,3.0,5.37,Yelland
6361,,JI20b,Ji+2020b,Indus_13,Gaia DR3 6412626111276193920,,,,,,SS,Indus,,22:05:30.97,-56:30:53.4,331.379042,-56.51,,,,,,,,,,,5063,2.29,-1.91,1.59,,,6.58,<6.11,<8.36,,4.41,5.86,3.82,5.82,,,3.75,4.72,1.26,3.23,1.99,3.65,3.11,5.46,3.06,4.35,<2.76,2.41,,,,,,1.66,0.81,1.38,,,,,,,,,,1.44,0.54,0.77,,0.85,0.51,0.37,0.85,,1.42,,,,,,,,,,,,,,,,,,,2.38,3.76,3.31,5.58,Yelland
6362,,JI20b,Ji+2020b,Indus_14,Gaia DR3 6412885389863009152,,,,,,SS,Indus,,22:00:10.50,-56:04:10.3,330.04375,-56.07,,,,,,,,,,,4969,2.08,-1.98,1.52,,,6.58,<6.0,<8.0,,4.3,5.95,3.87,5.91,,,3.82,4.66,1.27,3.1,1.87,3.64,3.09,5.43,3.22,4.25,<2.42,2.67,,,,,,0.93,0.06,0.78,,,,,,,,,,0.37,-0.6,,,,,-0.79,,,0.11,,,,,,,,,,,,,,,,,,,2.25,3.79,3.2,5.52,Yelland
6363,,JI20b,Ji+2020b,Indus_15,Gaia DR3 6461006409605852416,,,,,,SS,Indus,,21:54:09.09,-55:18:35.0,328.537875,-55.31,,,,,,,,,,,4937,2.18,-1.71,1.59,,,6.85,<6.04,<8.41,,4.54,6.27,4.19,6.22,,,4.19,5.05,1.62,3.47,2.08,3.92,3.32,5.73,3.36,4.45,1.95,2.99,,,,,,1.48,0.61,1.3,,,,,,,,,,0.77,-0.26,,,,,-0.78,,,-0.29,,,,,,,,,,,,,,,,,,,2.53,4.17,3.57,5.81,Yelland
6364,,JI20b,Ji+2020b,Jhelum_0,Gaia DR3 6502308120794799616,,,,,,SS,Jhelum,,23:12:15.12,-51:09:36.6,348.063,-51.16,,,,,,,,,,,5122,2.27,-2.02,1.63,,,6.69,<5.83,<8.36,,4.51,5.91,3.93,5.84,,,3.84,4.54,1.16,3.09,1.79,3.48,2.95,5.37,3.27,4.36,<2.68,2.59,,,,,,1.13,0.02,0.88,,,,,,,,,,0.13,-0.69,,,,,-1.2,,,-0.59,,,,,,,,,,,,,,,,,,,2.06,3.51,3.24,5.46,Yelland
6365,,JI20b,Ji+2020b,Jhelum1_5,Gaia DR3 6511949016704646272,,,,,,SS,Jhelum,,22:16:19.56,-50:00:21.1,334.0815,-50.01,,,,,,,,,,,5011,2.07,-2.12,1.67,,,6.56,<5.85,<7.97,,4.3,5.83,3.66,5.84,,,3.72,4.59,1.17,3.12,1.85,3.43,2.9,5.33,3.03,4.1,<2.48,2.46,,,,,,0.88,0.01,0.78,,,,,,,,,,0.06,-0.89,,,,,-1.1,,,-0.34,,,,,,,,,,,,,,,,,,,1.98,3.6,3.16,5.37,Yelland
6366,,JI20b,Ji+2020b,Jhelum1_8,Gaia DR3 6513867905012445696,,,,,,SS,Jhelum,,22:41:59.04,-50:13:01.8,340.496,-50.22,,,,,,,,,,,5199,2.44,-2.42,1.52,,,6.32,,<8.37,,4.09,5.52,3.13,5.73,,,3.18,4.2,0.92,2.9,1.27,3.15,2.59,5.08,2.97,3.8,<2.65,<2.67,,,,,,0.7,-0.26,0.57,,,,,,,,,,-0.36,<-0.45,,,,,<-1.07,,,,,,,,,,,,,,,,,,,,,,,3.06,2.88,5.08,Yelland
6367,,JI20b,Ji+2020b,Jhelum2_2,Gaia DR3 6501458404465460992,,,,,,SS,Jhelum,,23:18:34.74,-52:02:10.2,349.64475,-52.04,,,,,,,,,,,4967,2.09,-1.62,1.49,,,6.88,5.9,<8.21,,4.51,6.28,3.74,6.2,,,4.24,5.0,1.62,3.46,1.99,4.04,3.46,5.83,3.32,4.47,<2.8,2.9,,,,,,1.47,0.33,1.18,,,,,,,,,,0.73,-0.28,,,,,-0.64,,,0.07,,,,,,,,,,,,,,,,,,,2.22,4.12,3.51,5.88,Yelland
