Name,Species,D_Teff,D_logg,D_Vmic,D_[Fe/H],e_tot
Car-484,Fe I,+0.06,-0.01,-0.04,0.00,0.07
Car-484,Fe II,-0.07,-0.05,-0.03,0.00,0.09
Car-484,O I,0.00,-0.05,-0.01,-0.01,0.05
Car-484,Na I,+0.06,+0.01,-0.01,0.00,0.06
Car-484,Mg I,+0.05,+0.01,-0.03,0.00,0.06
Car-484,Si I,0.00,-0.01,0.00,-0.01,0.01
Car-484,Ca I,+0.09,+0.01,-0.03,0.00,0.10
Car-484,Sc II,-0.02,-0.03,-0.02,0.00,0.04
Car-484,Ti I,+0.13,-0.01,-0.04,0.00,0.14
Car-484,Ti II,-0.03,-0.05,-0.04,0.00,0.07
Car-484,V I,+0.14,-0.01,-0.01,0.00,0.14
Car-484,Cr I,+0.14,-0.01,-0.05,0.00,0.15
Car-484,Mn I,+0.10,0.00,-0.03,0.00,0.11
Car-484,Co I,+0.08,-0.02,-0.03,0.00,0.08
Car-484,Ni I,+0.04,-0.01,-0.03,0.00,0.05
Car-484,Cu I,+0.08,-0.02,-0.04,0.00,0.08
Car-484,Zn I,-0.04,-0.02,-0.03,0.00,0.05
Car-484,Y II,0.00,-0.04,-0.03,0.00,0.05
Car-484,Ba II,+0.01,-0.06,-0.06,0.00,0.08
Car-484,La II,+0.01,-0.06,-0.01,-0.01,0.06
Car-484,Nd II,0.00,-0.05,-0.03,0.00,0.06
Car-484,Eu II,-0.01,-0.05,-0.01,-0.01,0.05
