Name,Species,N,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
M68-6022,Fe I,92,,-2.51,0.02,,,
M68-6022,Fe II,19,,,,,0.40,0.0
M68-6022,C-H,S,,,,,-0.82,0.20
M68-6022,O I,,,,,<,1.36,
M68-6022,Na I,S,,,,,0.07,0.10
M68-6022,Mg I,S,,,,,0.01,0.20
M68-6022,Si I,,,,,<,1.22,
M68-6022,Ca I,17,,,,,0.48,0.04
M68-6022,Sc II,10,,,,,0.57,0.05
M68-6022,Ti I,23,,,,,0.11,0.05
M68-6022,Ti II,52,,,,,0.77,0.05
M68-6022,V I,2,,,,,-0.06,0.16
M68-6022,Cr I,12,,,,,-0.17,0.06
M68-6022,Mn I,7,,,,,-0.48,0.07
M68-6022,Co I,6,,,,,-0.27,0.09
M68-6022,Ni I,8,,,,,0.06,0.03
M68-6022,Zn I,2,,,,,0.47,0.16
M68-6022,Sr II,2,,,,,-0.08,0.16
M68-6022,Y II,1,,,,,-0.07,0.23
M68-6022,Zr II,1,,,,,0.20,0.23
M68-6022,Ba II,4,,,,,0.33,0.12
M68-6022,La II,,,,,<,1.37,
M68-6022,Nd II,,,,,,,
M68-6022,Eu II,,,,,,,
M68-6023,Fe I,92,,-2.41,0.03,,,
M68-6023,Fe II,19,,,,,0.26,0.0
M68-6023,C-H,S,,,,,-0.62,0.20
M68-6023,O I,,,,,<,1.33,
M68-6023,Na I,S,,,,,0.27,0.10
M68-6023,Mg I,S,,,,,-0.09,0.20
M68-6023,Si I,,,,,<,1.15,
M68-6023,Ca I,16,,,,,0.39,0.04
M68-6023,Sc II,10,,,,,0.28,0.10
M68-6023,Ti I,21,,,,,0.12,0.04
M68-6023,Ti II,51,,,,,0.54,0.05
M68-6023,V I,2,,,,,0.02,0.17
M68-6023,Cr I,12,,,,,-0.25,0.09
M68-6023,Mn I,7,,,,,-0.61,0.12
M68-6023,Co I,7,,,,,-0.26,0.06
M68-6023,Ni I,8,,,,,0.20,0.10
M68-6023,Zn I,2,,,,,0.33,0.17
M68-6023,Sr II,2,,,,,-0.26,0.17
M68-6023,Y II,2,,,,,-0.43,0.17
M68-6023,Zr II,1,,,,,-0.05,0.24
M68-6023,Ba II,4,,,,,0.14,0.12
M68-6023,La II,,,,,<,1.36,
M68-6023,Nd II,,,,,,,
M68-6023,Eu II,2,,,,,0.24,0.17
M68-6024,Fe I,81,,-2.64,0.03,,,
M68-6024,Fe II,17,,,,,0.39,0.0
M68-6024,C-H,S,,,,,-0.59,0.20
M68-6024,O I,,,,,<,1.54,
M68-6024,Na I,S,,,,,-0.03,0.10
M68-6024,Mg I,S,,,,,0.04,0.20
M68-6024,Si I,,,,,<,1.36,
M68-6024,Ca I,15,,,,,0.48,0.05
M68-6024,Sc II,9,,,,,0.44,0.06
M68-6024,Ti I,20,,,,,0.30,0.07
M68-6024,Ti II,46,,,,,0.65,0.05
M68-6024,V I,2,,,,,0.35,0.17
M68-6024,Cr I,9,,,,,-0.17,0.08
M68-6024,Mn I,4,,,,,-0.31,0.10
M68-6024,Co I,6,,,,,0.10,0.10
M68-6024,Ni I,7,,,,,0.04,0.14
