Ion,lambda,ExPot,log(gf),l_M686022,M686022,f_M686022,l_M686023,M686023,f_M686023,l_M686024,M686024,f_M686024,l_Car1087,Car1087,f_Car1087,l_Car5070,Car5070,f_Car5070,l_Car7002,Car7002,f_Car7002
Cr I,4646.17,1.03,-0.7,,68.6,,,51.1,,,,,,,,,,,,,
Cr I,4652.16,1.0,-1.03,,62.4,,,43.4,,,43.3,,,,,,69.2,,,,
Cr I,5206.04,0.94,0.019,,110.3,,,103.6,,,93.8,,,,,,168.1,,,95.7,
Cr I,5208.419,0.94,0.16,,135.3,,,142.0,,,126.3,,,,,,,,,,
Cr I,5345.801,1.0,-0.98,,40.6,,,,,,,,,,,,59.9,,,,
Cr I,5409.8,1.03,-0.72,,74.2,,,55.5,,,56.6,,,53.6,,,71.9,,,,
Mn I,4030.753,0.0,-0.48,,139.9,,,135.6,,,151.7,,,,,,,,,,
Mn I,4033.062,0.0,-0.62,,128.6,,,96.5,,,114.9,,,118.3,,,125.6,,,143.7,
Mn I,4034.483,0.0,-0.81,,118.2,,,106.0,,,108.6,,,102.6,,,124.2,,,94.4,
Mn I,4041.36,2.11,0.285,,47.3,,,52.1,,,,,,,,,59.0,,,,
Mn I,4754.04,2.28,-0.09,,33.3,,,30.0,,,,,,,,,,,,,
Mn I,4783.43,2.3,0.042,,33.7,,,35.6,,,30.7,,,,,,,,,,
Mn I,4823.524,2.32,0.14,,46.6,,,39.5,,,,,,,,,,,,,
Co I,3842.05,0.92,-0.77,,63.8,,,57.6,,,70.9,,,,,,,,,,
Co I,3845.47,0.92,0.01,,80.9,,,85.8,,,,,,,,,,,,,
Co I,3873.12,0.43,-0.66,,,,,115.3,,,128.9,,,,,,,,,,
Co I,3881.87,0.58,-1.13,,77.8,,,73.1,,,75.8,,,,,,,,,,
Co I,3995.302,0.92,-0.22,,76.8,,,,,,,,,,,,,,,65.2,
Co I,4020.9,0.43,-2.07,,,,,37.0,,,49.0,,,,,,,,,,
Co I,4110.53,1.05,-1.08,,64.5,,,53.7,,,49.8,,,,,,,,,,
Co I,4118.767,1.05,-0.49,,,,,,,,109.2,,,,,,,,,,
Co I,4121.311,0.92,-0.32,,101.2,,,88.9,,,98.5,,,,,,,,,101.1,
Co I,5483.34,1.71,-1.488,,,,,,,,,,<,40.0,,<,40.0,,<,40.0,
Ni I,3807.138,0.42,-1.18,,,,,114.4,,,95.7,,,,,,,,,,
Ni I,4401.55,3.19,0.084,,56.9,,,58.8,,,50.8,,,,,,,,,54.5,
Ni I,4714.42,3.38,0.23,,44.1,,,44.0,,,44.0,,,54.9,,,52.5,,,43.4,
Ni I,5035.37,3.63,0.29,,33.8,,,,,,38.6,,,,,,,,,,
Ni I,5080.52,3.65,0.13,,,,,49.2,,,,,,,,,,,,,
Ni I,5084.08,3.68,0.03,,30.4,,,,,,,,,,,,55.0,,,,
Ni I,5137.07,1.68,-1.99,,43.3,,,74.6,,,53.5,,,,,,,,,,
Ni I,5476.92,1.83,-0.89,,89.4,,,98.2,,,75.0,,,,,,177.0,,,95.8,
Ni I,5578.73,1.68,-2.67,,,,,,,,,,,,,,59.9,,,,
Ni I,6327.6,1.68,-3.09,,,,,,,,,,,,,,53.2,,,,
Ni I,6643.64,1.68,-2.3,,39.1,,,43.0,,,,,,,,,56.5,,,,
Ni I,6767.78,1.83,-2.17,,37.3,,,45.9,,,35.0,,,,,,68.7,,,,
Cu I,5105.5,1.39,-1.505,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
Zn I,4722.153,4.03,-0.338,,28.7,,,25.1,,,,,,,,,,,,,
Zn I,4810.54,4.08,-0.17,,36.8,,,36.9,,,28.5,,<,40.0,,<,40.0,,<,40.0,
Sr II,4077.71,0.0,0.17,,162.1,,,151.1,,,155.5,,,,S,,,S,,,S
Sr II,4215.52,0.0,-0.14,,162.6,,,144.2,,,138.0,,,,S,,,S,,84.0,S
Y II,3950.36,0.1,-0.49,,,,,43.1,,,46.5,,,,,,,,,,
Y II,4883.69,1.08,0.07,,38.4,,,32.0,,,30.4,,<,40.0,,<,40.0,,<,40.0,
Zr II,4208.98,0.71,-0.46,,41.0,,,29.9,,,25.7,,<,40.0,,<,40.0,,<,40.0,
Ba II,4554.03,0.0,0.17,,140.7,,,127.5,,,147.5,,,,S,,135.5,,,81.9,
Ba II,5853.69,0.6,-1.01,,56.2,,,49.9,,,54.6,,<,30.0,,<,30.0,,<,30.0,
Ba II,6141.73,0.7,-0.077,,106.3,,,103.2,,,111.6,,,,S,,93.4,,,41.2,
Ba II,6496.91,0.6,-0.38,,106.5,,,102.4,,,101.5,,,47.5,,,,S,,50.3,
La II,6320.43,0.17,-1.562,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
La II,6390.46,0.32,-1.4,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
La II,6774.27,0.13,-1.708,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
Eu II,4129.7,0.0,0.22,,,,,64.0,,,69.6,,<,40.0,,,66.0,S,<,40.0,
Eu II,4205.04,0.0,0.21,,,S,,69.7,,,65.3,,<,40.0,,,,S,<,40.0,
Eu II,6645.13,1.37,0.12,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
Nd II,5319.82,0.55,-0.14,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
