ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
7,Seg1-7,[NWG2010] Seg1 7,10:08:14.45,+16:05:01.2,18.05,17.30,16.9,0.1,16.9,194,Segue 1
31,Seg1-31,[NWG2010] Seg1 31,10:07:42.72,+16:01:06.9,18.59,17.91,9.3,-3.8,10.0,211,Segue 1
42,Seg1-42,[NWG2010] Seg1 42,10:07:33.00,+15:58:34.6,18.73,18.08,7.0,-6.3,9.4,195,Segue 1
71,Seg1-71,[NWG2010] Seg1 71,10:07:02.46,+15:50:55.3,18.46,17.72,-0.4,-14.0,14.0,212,Segue 1
98,Seg1-98,[NWG2010] Seg1 98,10:07:14.58,+16:01:54.5,18.84,18.07,2.5,-3.0,3.9,199,Segue 1
183,Seg1-183,[NWG2010] Seg1 183,10:06:49.05,+16:03:48.7,20.57,20.26,-3.6,-1.1,3.8,185,Segue 1
220,Seg1-220,[NWG2010] Seg1 220,10:06:22.36,+16:04:52.3,20.60,20.04,-10.0,-0.0,10.0,199,Segue 1
270,Seg1-270,[NWG2010] Seg1 270,10:06:20.86,+16:26:24.9,19.74,19.07,-10.3,21.5,23.9,226,Segue 1
318,Seg1-318,[NWG2010] Seg1 318,10:07:10.08,+16:06:23.9,19.19,18.43,1.5,1.5,2.1,213,Segue 1
1,Seg1-1,[NWG2010] Seg1 1,10:09:49.84,+16:05:09.1,18.21,17.57,39.8,0.3,39.8,-67,
6,Seg1-6,[NWG2010] Seg1 6,10:09:48.59,+16:03:52.6,18.73,18.09,39.5,-1.0,39.6,9,
11,Seg1-11,[NWG2010] Seg1 11,10:09:14.95,+15:59:48.4,17.97,17.25,31.5,-5.1,31.9,301,
15,Seg1-15,[NWG2010] Seg1 15,10:07:53.60,+16:00:33.6,18.90,18.25,11.9,-4.4,12.7,76,
16,Seg1-16,[NWG2010] Seg1 16,10:07:20.53,+16:03:16.1,17.67,16.87,4.0,-1.6,4.3,-32,
21,Seg1-21,[NWG2010] Seg1 21,10:08:18.89,+15:57:50.1,17.85,17.09,18.0,-7.1,19.3,50,
22,Seg1-22,[NWG2010] Seg1 22,10:07:26.19,+16:03:54.3,17.47,16.50,5.3,-1.0,5.4,-4,
23,Seg1-23,[NWG2010] Seg1 23,10:07:40.13,+16:03:09.7,19.95,19.43,8.7,-1.8,8.9,298,
24,Seg1-24,[NWG2010] Seg1 24,10:07:52.01,+15:56:23.0,17.25,16.53,11.5,-8.5,14.3,48,
28,Seg1-28,[NWG2010] Seg1 28,10:07:55.19,+15:51:23.7,20.28,19.58,12.3,-13.5,18.3,-17,
