JINA_ID ,Reference     ,Name ,Simbad_Identifier ,Loc ,RA_hms  ,DEC_dms         ,RA_deg    ,DEC_deg   ,Fe/H  ,Teff ,logg ,Vmic ,Li ,Be ,C ,N ,O ,F ,Na ,Mg   ,Al ,Si ,P ,S ,K ,Ca ,Sc    ,Ti   ,V ,Cr   ,Mn   ,Fe ,Co ,Ni   ,Cu ,Zn   ,Ga ,Ge ,As ,Se ,Rb ,Sr    ,Y ,Zr ,Nb ,Mo ,Ru ,Rh ,Pd ,Ag ,Cd ,Sn ,Te ,Ba    ,La ,Ce ,Pr ,Nd ,Sm ,Eu    ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,Hf ,W ,Os ,Ir ,Pt ,Au ,Hg ,Pb ,Bi ,Th ,U ,CaII ,TiII ,VII ,CrII ,MnII ,FeII ,Added_by
   6698 ,Reichert+2020 ,     ,                  ,    ,20:34.2 ,+57:53:31.88400 ,260.14245 ,57.89219  ,-1.54 ,4442 ,1    ,     ,   ,   ,  ,  ,  ,  ,   ,6.06 ,   ,   ,  ,  ,  ,   ,1.53  ,3.75 ,  ,4.09 ,3.33 ,   ,   ,4.47 ,   ,2.47 ,   ,   ,   ,   ,   ,2.21  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1.1   ,   ,   ,   ,   ,   ,-0.47 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6682 ,Reichert+2020 ,     ,                  ,    ,21:43.7 ,+57:57:12.56400 ,260.43215 ,57.95349  ,-3.2  ,4166 ,0.62 ,     ,   ,   ,  ,  ,  ,  ,   ,4.81 ,   ,   ,  ,  ,  ,   ,0.3   ,     ,  ,     ,     ,   ,   ,2.83 ,   ,     ,   ,   ,   ,   ,   ,-1.63 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.5  ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6527 ,Reichert+2020 ,     ,                  ,    ,19:35.5 ,+57:58:46.56000 ,259.89772 ,57.9796   ,-1.47 ,4396 ,0.93 ,     ,   ,   ,  ,  ,  ,  ,   ,5.94 ,   ,   ,  ,  ,  ,   ,0.93  ,3.57 ,  ,4    ,3.17 ,   ,   ,4.53 ,   ,2.87 ,   ,   ,   ,   ,   ,1.69  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.6   ,   ,   ,   ,   ,   ,-0.71 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6681 ,Reichert+2020 ,     ,                  ,    ,19:17.5 ,+58:01:7.39200  ,259.823   ,58.01872  ,-2.05 ,4241 ,0.56 ,     ,   ,   ,  ,  ,  ,  ,   ,5.08 ,   ,   ,  ,  ,  ,   ,0.55  ,2.88 ,  ,     ,     ,   ,   ,3.6  ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.16 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6664 ,Reichert+2020 ,     ,                  ,    ,52:33.5 ,+63:05:1.10400  ,133.13962 ,63.08364  ,-3.27 ,4580 ,1.84 ,     ,   ,   ,  ,  ,  ,  ,   ,4.62 ,   ,   ,  ,  ,  ,   ,      ,2.14 ,  ,     ,     ,   ,   ,2.67 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.84 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6665 ,Reichert+2020 ,     ,                  ,    ,52:59.0 ,+63:05:54.60000 ,133.24599 ,63.0985   ,-2.39 ,4441 ,1.38 ,     ,   ,   ,  ,  ,  ,  ,   ,5.56 ,   ,   ,  ,  ,  ,   ,0.61  ,2.69 ,  ,     ,     ,   ,   ,3.57 ,   ,2.25 ,   ,   ,   ,   ,   ,-0.52 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.47 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6663 ,Reichert+2020 ,     ,                  ,    ,49:53.5 ,+63:08:21.66000 ,132.47276 ,63.13935  ,-3.39 ,4404 ,1.93 ,     ,   ,   ,  ,  ,  ,  ,   ,3.96 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,     ,     ,   ,   ,2.62 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6691 ,Reichert+2020 ,     ,                  ,    ,05:52.0 ,+66:41:29.68800 ,226.4667  ,66.69158  ,-2    ,4334 ,0.7  ,     ,   ,   ,  ,  ,  ,  ,   ,5.82 ,   ,   ,  ,  ,  ,   ,1.09  ,3.14 ,  ,     ,2.45 ,   ,   ,4.16 ,   ,2.32 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.12  ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6692 ,Reichert+2020 ,     ,                  ,    ,02:01.5 ,+66:49:22.40400 ,225.50609 ,66.82289  ,-2.65 ,4451 ,1.22 ,     ,   ,   ,  ,  ,  ,  ,   ,5.16 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,     ,     ,   ,   ,3.44 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6690 ,Reichert+2020 ,     ,                  ,    ,11:00.9 ,+66:53:4.20000  ,227.75372 ,66.8845   ,-2.61 ,4140 ,0.46 ,     ,   ,   ,  ,  ,  ,  ,   ,5.43 ,   ,   ,  ,  ,  ,   ,0.42  ,2.96 ,  ,     ,     ,   ,   ,3.47 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.64 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6693 ,Reichert+2020 ,     ,                  ,    ,02:25.5 ,+66:55:24.99600 ,225.60626 ,66.92361  ,-2    ,4542 ,1.04 ,     ,   ,   ,  ,  ,  ,  ,   ,5.68 ,   ,   ,  ,  ,  ,   ,0.96  ,2.99 ,  ,     ,     ,   ,   ,4.06 ,   ,2.45 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.19 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6689 ,Reichert+2020 ,     ,                  ,    ,13:30.3 ,+67:06:36.82800 ,228.3762  ,67.11023  ,-2.44 ,4521 ,0.83 ,     ,   ,   ,  ,  ,  ,  ,   ,5.57 ,   ,   ,  ,  ,  ,   ,0.5   ,2.86 ,  ,     ,     ,   ,   ,3.91 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.59 ,   ,   ,   ,   ,   ,-1.67 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6688 ,Reichert+2020 ,     ,                  ,    ,10:11.7 ,+67:08:28.96800 ,227.54864 ,67.14138  ,-3.49 ,3975 ,0.55 ,     ,   ,   ,  ,  ,  ,  ,   ,4.7  ,   ,   ,  ,  ,  ,   ,      ,     ,  ,     ,     ,   ,   ,2.36 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-2.35 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6694 ,Reichert+2020 ,     ,                  ,    ,11:05.7 ,+67:13:15.45600 ,227.77384 ,67.22096  ,-1.58 ,4360 ,0.78 ,     ,   ,   ,  ,  ,  ,  ,   ,5.99 ,   ,   ,  ,  ,  ,   ,1.08  ,3.47 ,  ,     ,3.23 ,   ,   ,4.39 ,   ,2.69 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.66  ,   ,   ,   ,   ,   ,-0.31 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6443 ,Reichert+2020 ,     ,                  ,    ,08:05.0 ,+67:14:0.70800  ,227.02076 ,67.23353  ,-1.3  ,4592 ,0.96 ,     ,   ,   ,  ,  ,  ,  ,   ,5.97 ,   ,   ,  ,  ,  ,   ,0.97  ,3.54 ,  ,     ,3.52 ,   ,   ,4.42 ,   ,     ,   ,   ,   ,   ,   ,1.72  ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.05 ,   ,   ,   ,   ,   ,-0.87 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
