Found,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,FLUX_B_1,FLUX_V_1,FLUX_R_1,FLUX_I_1,FLUX_J_1,FLUX_H_1,FLUX_K_1,OTYPE_2,SP_TYPE_2,RA_3,DEC_3,PMRA_2,PMDEC_2,PLX_VALUE_2,RV_VALUE_2,FLUX_U_1,FLUX_B_2,FLUX_V_2,FLUX_R_2,FLUX_I_2,FLUX_J_2,FLUX_H_2,FLUX_K_2,OTYPE_3,SP_TYPE_3,RA_4,DEC_4,PMRA_3,PMDEC_3,PLX_VALUE_3,RV_VALUE_3,SCRIPT_NUMBER_ID
True,2MASS J00590860-3342295,GB07 Scl49,00 59 08.6092,-33 42 29.639,14,14,0.0784,0.0415,90,A,O,2020yCat.1350....0G,,,17.975,,16.89,16.05,15.71,15.27,RGB*,,00 59 08.6092,-33 42 29.639,0.14,-0.22,,100.2,,17.975,,16.89,16.05,15.71,15.27,RGB*,,00 59 08.6092,-33 42 29.639,0.14,-0.22,,100.2,,,17.975,,16.89,16.05,15.71,15.27,RGB*,,00 59 08.6092,-33 42 29.639,0.14,-0.22,,100.2,1
True,2MASS J00591134-3337281,GB07 Scl21,00 59 11.3462,-33 37 28.218,14,14,0.075,0.0393,90,A,O,2020yCat.1350....0G,,,17.876,,16.65,15.66,15.09,15.29,RGB*,,00 59 11.3462,-33 37 28.218,0.207,-0.155,0.2139,110.745003,,17.876,,16.65,15.66,15.09,15.29,RGB*,,00 59 11.3462,-33 37 28.218,0.207,-0.155,0.2139,110.745003,,,17.876,,16.65,15.66,15.09,15.29,RGB*,,00 59 11.3462,-33 37 28.218,0.207,-0.155,0.2139,110.745003,1
True,2MASS J00591183-3341252,GB07 Scl40,00 59 11.8369,-33 41 25.393,14,14,0.0539,0.0299,90,A,O,2020yCat.1350....0G,,,17.476,,16.297,15.36,14.72,14.56,RGB*,,00 59 11.8369,-33 41 25.393,-0.027,-0.095,,122.15,,17.476,,16.297,15.36,14.72,14.56,RGB*,,00 59 11.8369,-33 41 25.393,-0.027,-0.095,,122.15,,,17.476,,16.297,15.36,14.72,14.56,RGB*,,00 59 11.8369,-33 41 25.393,-0.027,-0.095,,122.15,1
True,2MASS J00591514-3339438,GB07 Scl31,00 59 15.1362,-33 39 43.989,14,14,0.0784,0.0426,90,A,O,2020yCat.1350....0G,,,18.06,,16.9,16.071,15.586,15.224,RGB*,,00 59 15.1362,-33 39 43.989,0.106,-0.207,0.2398,112.46,,18.06,,16.9,16.071,15.586,15.224,RGB*,,00 59 15.1362,-33 39 43.989,0.106,-0.207,0.2398,112.46,,,18.06,,16.9,16.071,15.586,15.224,RGB*,,00 59 15.1362,-33 39 43.989,0.106,-0.207,0.2398,112.46,1
True,2MASS J00591515-3342547,GB07 Scl51,00 59 15.1497,-33 42 54.825,14,14,0.0625,0.0323,90,A,O,2020yCat.1350....0G,,,17.651,,16.34,15.49,14.83,14.67,RGB*,,00 59 15.1497,-33 42 54.825,0.034,-0.148,,112.053001,,17.651,,16.34,15.49,14.83,14.67,RGB*,,00 59 15.1497,-33 42 54.825,0.034,-0.148,,112.053001,,,17.651,,16.34,15.49,14.83,14.67,RGB*,,00 59 15.1497,-33 42 54.825,0.034,-0.148,,112.053001,1
True,2MASS J00591884-3342175,GB07 Scl45,00 59 18.8518,-33 42 17.661,14,14,0.0582,0.0303,90,A,O,2020yCat.1350....0G,,,17.599,,16.23,15.3,14.63,14.49,RGB*,,00 59 18.8518,-33 42 17.661,-0.018,-0.217,,115.890999,,17.599,,16.23,15.3,14.63,14.49,RGB*,,00 59 18.8518,-33 42 17.661,-0.018,-0.217,,115.890999,,,17.599,,16.23,15.3,14.63,14.49,RGB*,,00 59 18.8518,-33 42 17.661,-0.018,-0.217,,115.890999,1
True,2MASS J00592065-3348566,GB07 Scl85,00 59 20.6551,-33 48 56.734,14,14,0.041,0.0233,90,A,O,2020yCat.1350....0G,,,17.136,,15.789,14.67,14.0,13.86,RGB*,,00 59 20.6551,-33 48 56.734,0.097,-0.225,,115.310997,,17.136,,15.789,14.67,14.0,13.86,RGB*,,00 59 20.6551,-33 48 56.734,0.097,-0.225,,115.310997,,,17.136,,15.789,14.67,14.0,13.86,RGB*,,00 59 20.6551,-33 48 56.734,0.097,-0.225,,115.310997,1
True,2MASS J00592081-3344049,GB07 Scl61,00 59 20.8105,-33 44 04.965,14,14,0.0438,0.0248,90,A,O,2020yCat.1350....0G,,,17.21,,15.985,15.0,14.3,14.37,RGB*,,00 59 20.8105,-33 44 04.965,0.119,-0.151,0.0365,109.47,,17.21,,15.985,15.0,14.3,14.37,RGB*,,00 59 20.8105,-33 44 04.965,0.119,-0.151,0.0365,109.47,,,17.21,,15.985,15.0,14.3,14.37,RGB*,,00 59 20.8105,-33 44 04.965,0.119,-0.151,0.0365,109.47,1
True,2MASS J00592213-3349037,GB07 Scl86,00 59 22.1275,-33 49 03.818,14,14,0.067,0.0394,90,A,O,2020yCat.1350....0G,,,17.969,,16.75,15.88,15.36,15.39,RGB*,,00 59 22.1275,-33 49 03.818,0.117,-0.214,0.0788,119.1,,17.969,,16.75,15.88,15.36,15.39,RGB*,,00 59 22.1275,-33 49 03.818,0.117,-0.214,0.0788,119.1,,,17.969,,16.75,15.88,15.36,15.39,RGB*,,00 59 22.1275,-33 49 03.818,0.117,-0.214,0.0788,119.1,1
True,2MASS J00592830-3342073,FBMC Sculptor 24,00 59 28.2992,-33 42 07.401,14,14,0.0395,0.0211,90,A,O,2020yCat.1350....0G,,,17.118,,15.405,14.36,13.72,13.54,RGB*,M1?,00 59 28.2992,-33 42 07.401,0.091,-0.185,,104.783997,,17.118,,15.405,14.36,13.72,13.54,RGB*,M1?,00 59 28.2992,-33 42 07.401,0.091,-0.185,,104.783997,,,17.118,,15.405,14.36,13.72,13.54,RGB*,M1?,00 59 28.2992,-33 42 07.401,0.091,-0.185,,104.783997,1
True,2MASS J00593045-3336050,2MASS J00593045-3336050,00 59 30.4429,-33 36 05.177,14,14,0.073,0.0373,90,A,O,2020yCat.1350....0G,,,17.947,,16.732,15.84,15.6,15.09,RGB*,,00 59 30.4429,-33 36 05.177,0.18,-0.134,,105.52,,17.947,,16.732,15.84,15.6,15.09,RGB*,,00 59 30.4429,-33 36 05.177,0.18,-0.134,,105.52,,,17.947,,16.732,15.84,15.6,15.09,RGB*,,00 59 30.4429,-33 36 05.177,0.18,-0.134,,105.52,1
True,2MASS J00593048-3339041,2MASS J00593048-3339041,00 59 30.4985,-33 39 04.087,14,14,0.0762,0.0398,90,A,O,2020yCat.1350....0G,,,17.981,,16.967,15.98,15.48,15.26,RGB*,,00 59 30.4985,-33 39 04.087,0.187,-0.215,0.055,131.927002,,17.981,,16.967,15.98,15.48,15.26,RGB*,,00 59 30.4985,-33 39 04.087,0.187,-0.215,0.055,131.927002,,,17.981,,16.967,15.98,15.48,15.26,RGB*,,00 59 30.4985,-33 39 04.087,0.187,-0.215,0.055,131.927002,1
