Name,S,Vmag,u_Vmag,E_Vmag,e_Vmag,R1,u_R1,E_R1,e_R1,muV,f_muV,E_muV,e_muV,PA,f_PA,e_PA,Ell,f_Ell,e_Ell,VMag,f_VMag,E_VMag,e_VMag,R2,u_R2,E_R2,e_R2,muEff,Ref3,Com3
Canes Venatici II,,16.1,,0.5,0.5,1.6,,0.3,0.3,26.1,,0.7,0.7,177,,9,0.52,,0.11,-4.9,,0.5,0.5,74,,14,14,27.2,105,
Leo V,,16.0,,0.4,0.4,2.6,,0.6,0.6,27.1,,0.8,0.8,96,,13,0.5,,0.15,-5.2,,0.4,0.4,135,,32,32,28.2,110,
Pisces II,,16.3,,0.5,0.5,1.1,,0.1,0.1,25.7,,0.6,0.6,77,,12,0.4,,0.1,-5.0,:,,,58,,99,99,26.8,111,
Canes Venatici I,,13.1,,0.2,0.2,8.9,,0.4,0.4,27.1,,0.2,0.2,70,,4,0.39,,0.03,-8.6,,0.2,0.2,564,,36,36,28.2,105,
Leo II,,12.0,,0.3,0.3,2.6,,0.6,0.6,24.2,,0.3,0.3,12,,10,0.13,,0.05,-9.8,,0.3,0.3,176,,42,42,24.8,109,
Leo I,,10.0,,0.3,0.3,3.4,,0.3,0.3,22.6,,0.3,0.3,79,,3,0.21,,0.03,-12.0,,0.3,0.3,251,,27,27,23.3,109,
Andromeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32,,8.1,,0.1,0.1,0.47,,0.05,0.05,11.1,:f,,,159,,2,0.25,,0.02,-16.4,,0.2,0.2,110,,16,16,17.0,"108,112",
Andromeda IX,,16.3,,1.1,1.1,2.5,,0.1,0.1,28.0,,1.2,1.2,,,,,,,-8.1,,1.1,1.1,557,,29,29,29.2,"44,114",
NGC 205,,8.1,,0.1,0.1,2.46,,0.1,0.1,15.4,:g,,,28,,5,0.43,,0.1,-16.5,,0.1,0.1,590,,31,31,20.3,"108,112",
Andromeda XVII,,15.8,,0.4,0.4,1.24,,0.08,0.08,25.7,,0.5,0.5,122,,7,0.27,,0.06,-8.7,,0.4,0.4,286,,23,23,26.8,115,
Andromeda I,,12.7,,0.1,0.1,3.1,,0.3,0.3,24.7,,0.2,0.2,22,,15,0.22,,0.04,-11.7,,0.1,0.1,672,,69,69,25.8,116,
Andromeda XXVII,h,16.7,,0.5,0.5,1.8,,0.3,0.3,27.6,,0.5,0.5,150,,10,0.4,,0.2,-7.9,,0.5,0.5,434,,76,76,28.3,117,
Andromeda III,,14.4,,0.3,0.3,2.2,,0.2,0.2,24.8,,0.2,0.2,136,,3,0.52,,0.02,-10.0,,0.3,0.3,479,,46,46,26.2,116,
Andromeda XXV,,14.8,,0.5,0.5,3.0,,0.2,0.2,27.1,,0.5,0.5,170,,10,0.25,,0.05,-9.7,,0.5,0.5,709,,61,61,27.8,117,
Andromeda XXVI,,17.3,,0.5,0.5,1.0,,0.1,0.1,27.4,,0.5,0.5,145,,10,0.25,,0.05,-7.1,,0.5,0.5,222,,25,25,27.9,117,
Andromeda XI,,17.5,,1.2,1.2,0.71,,0.03,0.03,26.5,,1.3,1.3,,,,,,,-6.9,,1.3,1.3,157,,16,37,27.6,"44,114",
Andromeda V,,15.3,,0.2,0.2,1.4,,0.2,0.2,25.3,,0.2,0.2,32,,10,0.18,,0.05,-9.1,,0.2,0.2,315,,46,46,26.7,116,
Andromeda X,,16.6,,1.0,1.0,1.3,,0.1,0.1,26.3,,1.1,1.1,46,,5,0.44,,0.06,-7.6,,1.0,1.0,265,,33,33,27.4,115,
Andromeda XXIII,,14.2,,0.5,0.5,4.6,,0.2,0.2,28.0,,0.5,0.5,138,,5,0.4,,0.05,-10.2,,0.5,0.5,1029,,76,76,27.8,117,
Andromeda XX,,18.2,,0.8,0.8,0.53,,0.14,0.04,26.2,,0.8,0.8,80,,20,0.3,,0.15,-6.3,,1.1,0.8,124,,53,17,27.3,118,
Andromeda XII,,18.3,,1.2,1.2,1.2,,0.2,0.2,28.5,,1.3,1.3,,,,,,,-6.4,,1.2,1.2,304,,66,66,29.6,"44,114",
NGC 147,,9.5,,0.1,0.1,3.17,:,,,21.2,:,,,25,,3,0.41,,0.02,-14.6,,0.1,0.1,623,:,,,22.3,108,r_25_=6.6+/-0.3arcmins
Andromeda XXI,,14.8,,0.6,0.6,3.5,,0.3,0.3,27.0,,0.4,0.4,110,,15,0.2,,0.07,-9.9,,0.6,0.6,875,,91,91,28.2,119,
Andromeda XIV,,15.9,,0.5,0.5,1.7,,0.8,0.8,27.2,,0.6,0.6,,,,0.31,,0.09,-8.4,,0.6,0.6,363,,180,180,27.5,120,
Andromeda XV,,14.6,,0.3,0.3,1.21,,0.05,0.05,24.8,,0.4,0.4,0,:,,0.0,:,,-9.4,,0.4,0.4,222,,22,22,25.9,121,
Andromeda XIII,,18.1,,1.2,1.2,0.78,,0.08,0.08,27.3,,1.3,1.3,,,,,,,-6.7,,1.3,1.3,207,,23,44,28.4,"44,114",
Andromeda II,,11.7,,0.2,0.2,6.2,,0.2,0.2,24.5,,0.2,0.2,34,,6,0.2,,0.08,-12.4,,0.2,0.2,1176,,50,50,26.3,116,
NGC 185,,9.2,,0.1,0.1,2.55,:,,,20.8,:,,,35,,3,0.15,,0.01,-14.8,,0.1,0.1,458,:,,,21.9,108,r_25_=5.8+/-0.3arcmins
Andromeda XXIX,,16.0,,0.3,0.3,1.7,,0.2,0.2,27.6,,0.4,0.4,51,,8,0.35,,0.06,-8.3,,0.4,0.4,361,,56,56,27.6,122,
Andromeda XIX,,15.6,,0.6,0.6,6.2,,0.1,0.1,29.3,,0.7,0.7,37,,8,0.17,,0.02,-9.2,,0.6,0.6,1683,,105,105,30.2,118,
Triangulum,,5.7,,0.1,0.1,,,,,,,,,23,,,0.41,,,-18.8,,0.1,0.1,,,,,,108,
Andromeda XXIV,,16.3,,0.5,0.5,2.1,,0.1,0.1,27.8,,0.5,0.5,5,,10,0.25,,0.05,-7.6,,0.5,0.5,367,,27,27,28.5,117,
Andromeda VII,,11.8,,0.3,0.3,3.5,,0.1,0.1,23.2,,0.2,0.2,94,,8,0.13,,0.04,-12.6,,0.3,0.3,776,,42,42,25.3,116,
Andromeda XXII,,18.0,,0.8,0.8,0.94,,0.1,0.1,26.7,,0.6,0.6,114,,15,0.56,,0.11,-6.5,,9.9,9.9,217,,99,99,27.9,119,
IC 10,,9.5,,0.2,0.2,2.65,:,,,24.6,,0.2,0.2,,,,0.19,,0.02,-15.0,,0.2,0.2,612,:,,,22.3,"108,103",r_25_=3.2+/-0.1arcmins
LGS 3 (Local Group Suspect 3),,14.3,,0.1,0.1,2.1,,0.2,0.2,24.8,,0.1,0.1,0,:,,0.2,:,,-10.1,,0.1,0.1,470,,47,47,26.6,124,
Andromeda VI,,13.2,,0.2,0.2,2.3,,0.2,0.2,24.1,,0.2,0.2,163,,3,0.41,,0.03,-11.3,,0.2,0.2,524,,49,49,25.3,116,
Andromeda XVI,,14.4,,0.3,0.3,0.89,,0.05,0.05,23.9,,0.4,0.4,0,:,,0.0,:,,-9.2,,0.4,0.4,136,,15,15,25.0,121,
Andromeda XXVIII,,15.6,,0.4,0.9,1.11,,0.21,0.21,26.3,,0.4,0.9,39,,16,0.34,,0.13,-8.5,,0.4,1.0,213,,64,45,26.3,125,
IC 1613,,9.2,,0.1,0.1,6.81,:,,,22.8,:,,,50,,2,0.11,,0.03,-15.2,,0.2,0.2,1496,:,,,24.1,108,r_25_=8.1+/-0.2arcmins
Phoenix,,13.2,,0.4,0.4,3.76,:,,,25.8,:,,,5,i,1,0.4,j,0.1,-9.9,,0.4,0.4,454,:,,,26.4,"126,107",r_t_=15.8^+4.3^_-2.8_arcmins; assumed c=0.7
NGC 6822,,8.1,,0.2,0.2,2.65,:,,,19.7,:,,,330,,10,0.24,,0.05,-15.2,,0.2,0.2,354,:,,,20.8,"108,108",r_25_=7.7+/-0.2arcmins
Cetus,,13.2,,0.2,0.2,3.2,,0.1,0.1,25.0,,0.2,0.2,63,,3,0.33,,0.06,-11.2,,0.2,0.2,703,,31,31,26.2,116,
Pegasus dIrr,,12.6,,0.2,0.2,2.1,:,,,22.8,:,,,120,,2,0.46,,0.02,-12.2,,0.2,0.2,562,:,,,24.4,108,
Leo T,,15.1,k,0.5,0.5,0.99,,0.06,0.06,24.8,,0.6,0.6,0,:,,0.0,:,,-8.0,,0.5,0.5,120,,9,9,26.0,129,
WLM (Wolf-Lundmark-Melotte),,10.6,,0.1,0.1,7.78,:,,,23.7,:,,,4,,2,0.65,,0.01,-14.2,,0.1,0.1,2111,:,,,24.8,108,
Leo A,,12.4,,0.2,0.2,2.15,:,,,22.8,:,,,114,,5,0.4,,0.03,-12.1,,0.2,0.2,499,:,,,24.4,"108,130",r_25_=2.6+/-0.1arcmins
Andromeda XVIII,,16.0,,9.9,9.9,0.92,,0.06,0.06,25.6,:,,,,,,,,,-9.7,:,,,363,,32,32,26.7,118,Lower limits on V and {mu}_V_
Aquarius,,14.5,,0.1,0.1,1.47,,0.04,0.04,23.6,,0.2,0.2,99,,1,0.5,,0.1,-10.6,,0.1,0.1,458,,21,21,25.5,131,
Tucana,,15.2,,0.2,0.2,1.1,,0.2,0.2,25.0,,0.1,0.1,97,,2,0.48,,0.03,-9.5,,0.2,0.2,284,,54,54,25.6,132,
Sagittarius dIrr,,13.6,,0.2,0.2,0.91,,0.05,0.05,23.9,,0.2,0.2,90,:,,0.5,:,,-11.5,,0.3,0.3,282,,28,28,23.5,133,r_h_ from integral under central King profile
UGC 4879,,13.2,,0.2,0.2,0.41,,0.04,0.04,21.2,,0.2,0.2,84,,11,0.44,,0.04,-12.5,,0.2,0.2,162,,16,16,21.5,134,
NGC 3109,,10.7,,0.1,0.1,4.3,,0.1,0.1,22.6,,0.1,0.1,92,,1,0.82,,0.01,-14.9,,0.1,0.1,1626,,71,71,22.9,135,
Sextans B,,11.3,,0.2,0.2,1.06,,0.1,0.1,21.9,,0.3,0.3,110,,2,0.31,,0.03,-14.5,,0.2,0.2,440,,42,42,21.9,"108,136",
Antlia,,15.2,,0.2,0.2,1.2,,0.12,0.12,23.9,,0.2,0.2,135,,5,0.4,,0.04,-10.4,,0.2,0.2,471,,52,52,25.9,"137,136",
Sextans A,,11.5,,0.1,0.1,2.47,:,,,22.8,:,,,0,,1,0.17,,0.02,-14.3,,0.1,0.1,1029,:,,,24.1,"108,138",r_25_=2.9+/-0.1arcmins
HIZSS 3(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIZSS 3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKR 25,,15.9,,0.2,0.2,0.4,:,,,24.0,,0.2,0.2,,,,0.41,,0.02,-10.5,,0.2,0.2,222,:,,,24.2,139,r_26.5_=0.55arcmins
ESO 410- G 005,,14.9,,0.3,0.3,0.5,,0.05,0.05,22.2,,0.2,0.2,57,:,,0.37,:,,-11.5,,0.3,0.3,280,:,,,23.8,"140,136",
NGC 55,,7.9,,0.1,0.1,5.16,:,,,19.3,:,,,108,,2,0.83,,0.01,-18.5,,0.2,0.2,2900,:,,,20.4,108,r_25_=16.2+/-0.4arcmins
ESO 294- G 010,,15.3,,0.3,0.3,0.42,,0.04,0.04,22.3,,0.2,0.2,8,:,,0.51,:,,-11.2,,0.3,0.3,248,,24,24,23.5,"140,136",
NGC 300,,8.1,,0.1,0.1,5.0,:,,,21.0,:,,,111,,2,0.29,,0.01,-18.5,,0.1,0.1,3025,:,,,22.1,108,r_25_=10.1+/-0.3arcmins
IC 5152,,10.9,:l,,,0.97,:,,,20.1,:,,,100,,2,0.38,,0.02,-15.6,:,,,550,:,,,21.2,108,r_25_=2.6+/-0.1arcmins
KKH 98,,15.2,,0.3,0.3,0.64,,0.06,0.06,22.8,,0.2,0.2,-5,,1,0.41,,0.01,-11.8,,0.3,0.3,470,,48,48,24.5,"136,138",
UKS 2323-326,,13.5,,0.2,0.2,0.9,,0.1,0.1,22.9,,0.2,0.2,-60,,4,0.1,,0.01,-13.2,,0.2,0.2,578,,69,69,24.0,"141,138",
KKR 3,,17.2,,0.3,0.3,0.36,,0.04,0.04,23.8,,0.2,0.2,0,,1,0.05,,0.01,-9.5,,0.3,0.3,229,,28,28,25.8,"136,138",
GR 8,,14.5,,0.2,0.2,0.32,,0.04,0.04,22.6,,0.2,0.2,61,,2,0.2,,0.05,-12.2,,0.2,0.2,203,,28,28,22.7,"142,143",
UGC 9128,,14.4,,0.3,0.3,0.64,,0.07,0.07,22.6,,0.2,0.2,46,,2,0.4,,0.05,-12.4,,0.3,0.3,427,,47,47,23.8,"143,136",
UGC 8508,,13.7,,0.1,0.1,0.42,,0.04,0.04,21.5,,0.2,0.2,-60,,2,0.45,,0.05,-13.4,,0.1,0.1,315,,30,30,22.1,"143,136",
IC 3104,,12.8,:l,,,2.01,:,,,23.3,:,,,45,,2,0.52,,0.02,-14.0,:,,,1327,:,,,24.4,108,r_25_=1.9+/-0.1arcmins
DDO 125,,12.7,,0.3,0.3,1.04,,0.1,0.1,22.1,,0.2,0.2,-68,,4,0.41,,0.01,-14.4,,0.3,0.3,781,,77,77,23.1,"136,138",
UGCA 86,,14.2,:l,,,0.94,:,,,22.8,:,,,25,,1,0.32,,0.03,-13.2,:,,,811,:,,,24.5,"144,138",r_25_=2.3+/-0.2arcmins
DDO 99,,13.9,,0.1,0.1,0.9,,0.09,0.09,22.9,,0.2,0.2,70,,4,0.29,,0.01,-13.2,,0.2,0.2,679,,81,81,24.2,"142,138",
IC 4662,,11.1,,0.3,0.3,0.48,,0.05,0.05,18.7,,0.2,0.2,-69,,4,0.27,,0.01,-15.8,,0.3,0.3,341,,44,44,20.1,"136,138",
DDO 190,,12.8,,0.1,0.1,0.64,,0.06,0.06,21.4,,0.2,0.2,82,,5,0.1,,0.02,-14.4,,0.1,0.1,520,,49,49,22.6,"145,136",
KKH 86,,17.1,,0.3,0.3,0.28,,0.03,0.03,23.2,,0.2,0.2,-3,,1,0.39,,0.01,-10.0,,0.3,0.3,210,,27,27,24.7,"136,138",
NGC 4163,,13.2,,0.3,0.3,0.45,,0.05,0.05,21.1,,0.2,0.2,11,,2,0.3,,0.05,-14.1,,0.3,0.3,374,,42,42,22.0,"143,136",
DDO 113,,16.4,,0.3,0.3,0.7,,0.07,0.07,24.0,,0.2,0.2,0,:,,0.0,,0.09,-11.0,,0.3,0.3,601,,62,62,26.5,"108,136",
