JINA_ID,Simbad_Identifier,Reference,RA_hms,DEC_dms,epsfe,[Fe/H],epsc,ulc,[C/H],ul[C/H],[C/Fe],ul[C/Fe],ecc,Z_max,Name,Ref,I/O,Ncap_key,C_key,MP_key,Loc,System,RA_deg,DEC_deg,NLTE,alpha_key,Type,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Added_by,epsli,epsbe,epsn,epso,epsf,epsna,epsmg,epsal,epssi,epsp,epss,epsk,epsca,epssc,epsti1,epsv,epscr,epsmn,epsco,epsni,epscu,epszn,epsga,epsge,epsas,epsse,epsrb,epssr,epsy,epszr,epsnb,epsmo,epsru,epsrh,epspd,epsag,epscd,epssn,epste,epsba,epsla,epsce,epspr,epsnd,epssm,epseu,epsgd,epstb,epsdy,epsho,epser,epstm,epsyb,epslu,epshf,epsw,epsos,epsir,epspt,epsau,epshg,epspb,epsbi,epsth,epsu,epsca2,epsti,epsv2,epscr2,epsmn2,epsfe2,ulli,ulbe,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti1,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,ulca2,ulti,ulv2,ulcr2,ulmn2,ulfe2,[Li/H],[Be/H],[N/H],[O/H],[F/H],[Na/H],[Mg/H],[Al/H],[Si/H],[P/H],[S/H],[K/H],[Ca/H],[Sc/H],[Ti1/H],[V/H],[Cr/H],[Mn/H],[Co/H],[Ni/H],[Cu/H],[Zn/H],[Ga/H],[Ge/H],[As/H],[Se/H],[Rb/H],[Sr/H],[Y/H],[Zr/H],[Nb/H],[Mo/H],[Ru/H],[Rh/H],[Pd/H],[Ag/H],[Cd/H],[Sn/H],[Te/H],[Ba/H],[La/H],[Ce/H],[Pr/H],[Nd/H],[Sm/H],[Eu/H],[Gd/H],[Tb/H],[Dy/H],[Ho/H],[Er/H],[Tm/H],[Yb/H],[Lu/H],[Hf/H],[W/H],[Os/H],[Ir/H],[Pt/H],[Au/H],[Hg/H],[Pb/H],[Bi/H],[Th/H],[U/H],[Ca2/H],[Ti/H],[V2/H],[Cr2/H],[Mn2/H],[Fe2/H],ul[Li/H],ul[Be/H],ul[N/H],ul[O/H],ul[F/H],ul[Na/H],ul[Mg/H],ul[Al/H],ul[Si/H],ul[P/H],ul[S/H],ul[K/H],ul[Ca/H],ul[Sc/H],ul[Ti1/H],ul[V/H],ul[Cr/H],ul[Mn/H],ul[Fe/H],ul[Co/H],ul[Ni/H],ul[Cu/H],ul[Zn/H],ul[Ga/H],ul[Ge/H],ul[As/H],ul[Se/H],ul[Rb/H],ul[Sr/H],ul[Y/H],ul[Zr/H],ul[Nb/H],ul[Mo/H],ul[Ru/H],ul[Rh/H],ul[Pd/H],ul[Ag/H],ul[Cd/H],ul[Sn/H],ul[Te/H],ul[Ba/H],ul[La/H],ul[Ce/H],ul[Pr/H],ul[Nd/H],ul[Sm/H],ul[Eu/H],ul[Gd/H],ul[Tb/H],ul[Dy/H],ul[Ho/H],ul[Er/H],ul[Tm/H],ul[Yb/H],ul[Lu/H],ul[Hf/H],ul[W/H],ul[Os/H],ul[Ir/H],ul[Pt/H],ul[Au/H],ul[Hg/H],ul[Pb/H],ul[Bi/H],ul[Th/H],ul[U/H],ul[Ca2/H],ul[Ti/H],ul[V2/H],ul[Cr2/H],ul[Mn2/H],ul[Fe2/H],[Li/Fe],[Be/Fe],[N/Fe],[O/Fe],[F/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti1/Fe],[V/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[Ga/Fe],[Ge/Fe],[As/Fe],[Se/Fe],[Rb/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Nb/Fe],[Mo/Fe],[Ru/Fe],[Rh/Fe],[Pd/Fe],[Ag/Fe],[Cd/Fe],[Sn/Fe],[Te/Fe],[Ba/Fe],[La/Fe],[Ce/Fe],[Pr/Fe],[Nd/Fe],[Sm/Fe],[Eu/Fe],[Gd/Fe],[Tb/Fe],[Dy/Fe],[Ho/Fe],[Er/Fe],[Tm/Fe],[Yb/Fe],[Lu/Fe],[Hf/Fe],[W/Fe],[Os/Fe],[Ir/Fe],[Pt/Fe],[Au/Fe],[Hg/Fe],[Pb/Fe],[Bi/Fe],[Th/Fe],[U/Fe],[Ca2/Fe],[Ti/Fe],[V2/Fe],[Cr2/Fe],[Mn2/Fe],[Fe2/Fe],ul[Li/Fe],ul[Be/Fe],ul[N/Fe],ul[O/Fe],ul[F/Fe],ul[Na/Fe],ul[Mg/Fe],ul[Al/Fe],ul[Si/Fe],ul[P/Fe],ul[S/Fe],ul[K/Fe],ul[Ca/Fe],ul[Sc/Fe],ul[Ti1/Fe],ul[V/Fe],ul[Cr/Fe],ul[Mn/Fe],ul[Co/Fe],ul[Ni/Fe],ul[Cu/Fe],ul[Zn/Fe],ul[Ga/Fe],ul[Ge/Fe],ul[As/Fe],ul[Se/Fe],ul[Rb/Fe],ul[Sr/Fe],ul[Y/Fe],ul[Zr/Fe],ul[Nb/Fe],ul[Mo/Fe],ul[Ru/Fe],ul[Rh/Fe],ul[Pd/Fe],ul[Ag/Fe],ul[Cd/Fe],ul[Sn/Fe],ul[Te/Fe],ul[Ba/Fe],ul[La/Fe],ul[Ce/Fe],ul[Pr/Fe],ul[Nd/Fe],ul[Sm/Fe],ul[Eu/Fe],ul[Gd/Fe],ul[Tb/Fe],ul[Dy/Fe],ul[Ho/Fe],ul[Er/Fe],ul[Tm/Fe],ul[Yb/Fe],ul[Lu/Fe],ul[Hf/Fe],ul[W/Fe],ul[Os/Fe],ul[Ir/Fe],ul[Pt/Fe],ul[Au/Fe],ul[Hg/Fe],ul[Pb/Fe],ul[Bi/Fe],ul[Th/Fe],ul[U/Fe],ul[Ca2/Fe],ul[Ti/Fe],ul[V2/Fe],ul[Cr2/Fe],ul[Mn2/Fe],ul[Fe2/Fe]
7583,BD-09 4396,Sakari+2018b,16:28:56.1354,-10:14:57.644,5.5,-2.0,6.67,,-1.76,,0.24,,0.43,0.58,BD-09 4396,SAK18b,1,,,VMP,aDW,Atari,247.233897,-10.249346,,alpha,,61.0,,,11.422,10.513,9.96,9.626,8.476,7.945,7.8,4955.0,1.31,-2.0,2.19,Mardini,,,,,,4.29,6.05,,6.03,,,3.45,4.68,1.1,3.22,2.84,3.75,3.01,2.94,4.15,,2.51,,,,,,0.61,-0.08,0.66,,,,,,,,,,0.16,-0.88,-0.25,-0.92,-0.52,-0.75,-1.12,,,,,,,,,,,0.05,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.95,-1.55,,-1.48,,,-1.58,-1.66,-2.05,-1.73,-1.09,-1.89,-2.42,-2.05,-2.07,,-2.05,,,,,,-2.26,-2.29,-1.92,,,,,,,,,,-2.02,-1.98,-1.83,-1.64,-1.94,-1.71,-1.64,,,,,,,,,,,-1.35,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.45,,0.52,,,0.42,0.34,-0.05,0.27,0.91,0.11,-0.42,-0.05,-0.07,,-0.05,,,,,,-0.26,-0.29,0.08,,,,,,,,,,-0.02,0.02,0.17,0.36,0.06,0.29,0.36,,,,,,,,,,,0.65,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5685,TYC 9527-1073-1,Ezzeddine+2020,18:28:43.5444,-84:41:34.807,5.47,-2.03,6.01,,-2.42,,-0.39,,0.32,3.19,TYC 9527-1073-1,EZZ20,1,,,VMP,aDW,Atari,277.181435,-84.693002,,,,,,,12.854,11.527,,,8.962,8.257,8.107,4648.0,2.95,-2.03,1.8,Mardini,,,,8.49,,5.41,6.94,,7.42,,,4.46,5.56,2.79,4.15,,4.77,4.6,,5.2,,3.64,,,,,,1.55,,,,,,,,,,,,1.46,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,-0.83,-0.66,,-0.09,,,-0.57,-0.78,-0.36,-0.8,,-0.87,-0.83,,-1.02,,-0.92,,,,,,-1.32,,,,,,,,,,,,-0.72,,,,,,-0.82,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,1.2,1.37,,1.94,,,1.46,1.25,1.67,1.23,,1.16,1.2,,1.01,,1.11,,,,,,0.71,,,,,,,,,,,,1.31,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6087,TYC 7602-1143-1,Ruchti+2011a,05:52:15.7868,-39:53:18.441,5.16,-2.05,5.87,,-2.56,,-0.22,,0.69,1.33,TYC 7602-1143-1,RUC11a,1,,,VMP,aDW,Atari,88.065778,-39.888456,,,,,,,12.405,11.532,,,9.71,9.183,9.075,4705.0,1.55,-2.34,2.0,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,-0.2,,,,,,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.11,,,,,,,,,,,,-2.38,,,,,,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,-0.04,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,HE 0023-4825,Barklem+2005b,00:25:50.3198,-48:08:27.012,5.44,-2.06,6.64,,-1.79,,0.27,,0.53,1.61,HE 0023-4825,BAR05b,1,,,VMP,aDW,Atari,6.459666,-48.140837,,,SG,-21.5,2005A&A...439..129B,,14.298,13.83,13.485,13.161,12.696,12.393,12.352,5816.0,3.63,-2.06,1.45,Abohalima,,,,,,,5.74,3.4,,,,,4.56,1.14,3.27,,3.61,2.88,2.98,4.19,,,,,,,,0.89,0.13,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.86,-3.05,,,,,-1.78,-2.01,-1.68,,-2.03,-2.55,-2.01,-2.03,,,,,,,,-1.98,-2.08,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.99,,,,,0.28,0.05,0.38,,0.03,-0.49,0.05,0.03,,,,,,,,0.08,-0.02,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7557,UCAC2 30544966,Sakari+2018b,14:10:15.8809,-03:43:55.307,5.44,-2.06,6.28,,-2.15,,-0.09,,0.71,1.17,UCAC2 30544966,SAK18b,1,,,VMP,aDW,Atari,212.56617,-3.73203,,,,71.3,,,12.791,12.078,12.06,11.11,10.577,10.104,10.039,4931.0,2.0,-2.06,1.65,Mardini,,,,,,,5.83,,5.84,,,3.19,4.57,1.04,3.04,1.78,3.76,2.88,2.9,4.07,,2.48,,,,,,0.66,-0.08,0.67,,,,,,,,,,0,-0.76,-0.33,,-0.34,,-0.87,,,,,,,,,,,,,,,,,,-1.59,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.77,,-1.67,,,-1.84,-1.77,-2.11,-1.91,-2.15,-1.88,-2.55,-2.09,-2.15,,-2.08,,,,,,-2.21,-2.29,-1.91,,,,,,,,,,-2.18,-1.86,-1.91,,-1.76,,-1.39,,,,,,,,,,,,,,,,,,-1.61,,,-1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,0.39,,,0.22,0.29,-0.05,0.15,-0.09,0.18,-0.49,-0.03,-0.09,,-0.02,,,,,,-0.15,-0.23,0.15,,,,,,,,,,-0.12,0.2,0.15,,0.3,,0.67,,,,,,,,,,,,,,,,,,0.45,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6063,CD-54 503,Holmbeck+2020,02:21:55.5935,-54:10:14.472,5.41,-2.09,6.34,,-2.09,,0.0,,0.33,3.16,CD-54 503,HOLe20,1,,,VMP,aDW,Atari,35.48164,-54.170687,,,,,,,10.88,10.47,,,9.424,9.109,9.058,5842.0,3.53,-2.09,1.54,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0.51,,,,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,,,,,,,,,,,,-1.67,,,,,,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,0.42,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,CD-26 16470,Ruchti+2011a,23:05:50.5487,-25:57:22.308,5.37,-2.13,,,,,,,0.34,2.75,CD-26 16470,RUC11a,1,,,VMP,aDW,Atari,346.46062,-25.956197,,,RG,-73.7,2011yCat.3265....0S,,12.06,11.16,10.61,10.229,9.48,8.979,8.893,4912.0,1.76,-2.13,2.0,Abohalima,,,,,,,5.74,,5.84,,,,4.53,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.86,,-1.67,,,,-1.81,,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.46,,,,0.32,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5733,HD 119516,For+2010,13:43:26.7251,+15:34:31.069,5.34,-2.16,,,,,,,0.52,1.07,HD 119516,FOR10,1,,,VMP,aDW,Atari,205.861355,15.575297,,,,,,,9.59,9.12,,,7.771,7.431,7.366,5400.0,1.73,-2.16,2.2,Mardini,,,,,,4.62,5.72,3.47,5.75,,,,4.44,0.93,3.02,,3.3,2.97,2.82,4.02,,2.45,,,,,,0.81,-0.31,0.72,,,,,,,,,,0.34,-0.94,,,,,-1.19,,,,,,,,,,,,,,,,,,,,,2.85,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.62,-1.88,-2.98,-1.76,,,,-1.9,-2.22,-1.93,,-2.34,-2.46,-2.17,-2.2,,-2.11,,,,,,-2.06,-2.52,-1.86,,,,,,,,,,-1.84,-2.04,,,,,-1.71,,,,,,,,,,,,,,,,,,,,,-2.1,,-2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.28,-0.82,0.4,,,,0.26,-0.06,0.23,,-0.18,-0.3,-0.01,-0.04,,0.05,,,,,,0.1,-0.36,0.3,,,,,,,,,,0.32,0.12,,,,,0.45,,,,,,,,,,,,,,,,,,,,,0.06,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7573,TYC 353-223-1,Sakari+2018b,15:54:27.2897,+00:21:36.870,5.32,-2.18,6.67,,-1.76,,0.42,,0.51,0.88,TYC 353-223-1,SAK18b,1,,,VMP,aDW,Atari,238.613707,0.360242,,,,-45.3,,,11.42,10.754,,,9.245,8.878,8.743,5210.0,1.24,-2.18,1.48,Mardini,,,,,,,6.02,,6.06,,,3.39,4.76,0.96,3.35,3.28,3.49,2.8,2.96,4.07,,2.48,,,,,,0.88,-0.36,0.29,,,,,,,,,,-0.26,-1.34,,,-1.07,,-1.75,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.58,,-1.45,,,-1.64,-1.58,-2.19,-1.6,-0.65,-2.15,-2.63,-2.03,-2.15,,-2.08,,,,,,-1.99,-2.57,-2.29,,,,,,,,,,-2.44,-2.44,,,-2.49,,-2.27,,,,,,,,,,,,,,,,,,,,,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.73,,,0.54,0.6,-0.01,0.58,1.53,0.03,-0.45,0.15,0.03,,0.1,,,,,,0.19,-0.39,-0.11,,,,,,,,,,-0.26,-0.26,,,-0.31,,-0.09,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,HD 23798,Aoki_M+2017,03:46:45.7220,-30:51:13.333,5.24,-2.22,,,,,,,0.54,0.83,HD 23798,AOK17,1,,,VMP,aDW,Atari,56.690508,-30.853704,,,,89.3,,,9.35,8.32,,,6.276,5.657,5.517,4450.0,1.26,-2.26,2.17,Mardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,-0.04,0.71,,-0.11,-0.17,,-0.74,,,,,-0.1,-0.99,-0.66,,-0.67,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01,-2.25,-1.87,,-1.99,-1.92,,-2.31,,,,,-2.28,-2.09,-2.24,,-2.09,,-2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.01,0.39,,0.27,0.34,,-0.05,,,,,-0.02,0.17,0.02,,0.17,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
