MKV0842    TypeII 0.00 -0.07 -0.54
CC10194    WDD3   0.06 -0.19  0.25
MKV0677    TypeII 0.02 -0.10  0.05
MKV0628    TypeII 0.02 -0.12  0.03
MKV0640    WDD1   0.06 -0.02  0.44
MKV0914    TypeII 0.02 -0.12 -0.29
MKV0925    TypeII 0.00  0.28  0.19
Car-7002 1
MKV0812  1
CC09869    W70    0.06 -0.15  0.17
MKV0780    W70    0.22 -0.36  0.27
MKV0976    WDD1   0.14 -0.04  0.00
CC11388  1
CC07452    W70    0.40 -0.56 -0.54
CC11560    TypeII 0.02 -0.08  0.53
CC12038    TypeII 0.02 -0.05  0.23
CC11217    W70    0.06 -0.17  0.21
MKV0596    WDD3   0.17 -0.38 -0.21
CC08447    TypeII 0.04 -0.15  0.21
CC09226    WDD1   0.06 -0.14  0.55
Car-524    TypeII 0.02 -0.23  0.29
Car-1087   WDD3   0.12 -0.50 -0.68
MKV0880    TypeII 0.02 -0.14 -0.01
CC10690    WDD3   0.30 -0.39 -0.21
CC10944    TypeII 0.00 -0.10  0.30
CC09179    TypeII 0.02 -0.23  0.51
CC09225    TypeII 0.02 -0.02  0.26
CC12039    TypeII 0.02 -0.17  0.21
MKV0698    CDD2   0.08 -0.24
CC10686    TypeII 0.02 -0.16  0.37
CC10802    WDD2   0.10 -0.07  0.34
MKV0740    WDD3   0.58 -0.31
MKV1061    TypeII 0.00  0.00
CC08695    W70    0.06 -0.14  0.36
MKV0948  1
CC06122    TypeII 0.04 -0.16  0.50
CC07889    WDD1   0.10 -0.17 -0.51
MKV1007    TypeII 0.02 -0.06  0.33
MKV0577    WDD1   0.14  0.08  0.23
MKV0743    WDD3   0.54 -0.24
CC06486    TypeII 0.00 -0.28 -0.74
M10        WDD3   0.10 -0.25  0.53
CC10414    W70    0.08 -0.19 -0.13
M4         CDD2   0.06 -0.19  0.26
CC08615    TypeII 0.02 -0.07  0.36
CC08788    W7     0.06 -0.12  0.14
CC09633    W7     0.22 -0.35 -0.66
CC09507    CDD1   0.28 -0.31  0.61
CC09000    WDD3   0.14 -0.41  0.41
CC09929    TypeII 0.04 -0.03  0.50
CC10318    W70    0.06 -0.15  0.33
MKV0458    W70    0.04  0.09  0.37
MKV0397  1
CC10038    TypeII 0.02 -0.13  0.14
CC09430    WDD1   0.10 -0.03  0.05
MKV0916    TypeII 0.04  0.19  0.49
CC06975    CDD1   0.04 -0.03  0.49
CC08469    W70    0.06 -0.22  0.14
MKV0729    TypeII 0.02  0.08  0.29
MKV0556    TypeII 0.02 -0.02  0.59
MKV0733    W7     0.16 -0.19  0.15
MKV0614  1
MKV0708  1
