ID,Name,Teff_NY,logg_NY,Fe/H_NY,Vmic_NY,Teff_GM,logg_GM,Fe/H_GM,Vmic_GM,l_Teff_F09,Teff_F09,logg_F09,Fe/H_F09,Vmic_F09
33,BooI-33,4730,1.4,-2.36,2.8,4750,1.4,-2.28,2.0,,4600,1.0,-2.52,2.1
41,BooI-41,4750,1.6,-1.96,2.8,4800,1.4,-1.80,2.1,,,,,
94,BooI-94,4570,0.8,-2.97,3.3,4550,0.9,-2.91,2.0,<,4600,0.5,-2.95,2.1
117,BooI-117,4700,1.4,-2.31,2.7,4750,1.4,-2.05,1.8,,4600,1.0,-2.29,2.1
119,BooI-119,4790,1.4,-3.21,2.4,4750,1.4,-3.44,2.9,,,1.0,,
127,BooI-127,4670,1.4,-2.11,2.7,4700,1.4,-1.92,2.0,,4600,1.0,-2.03,2.1
130,BooI-130,4750,1.4,-2.35,2.6,4800,1.4,-2.28,2.1,,,1.0,,
