pName,Name,RA_hms,DEC_dms,RA_deg,DEC_deg
LMC-003,Gaia DR3 4663120661281147904,04:53:37.090,-64:43:57.55,73.404542,-64.732653
LMC-100,Gaia DR3 4656601347599359744,04:33:47.361,-67:37:31.51,68.447338,-67.625419
LMC-104,Gaia DR3 4664232847351765760,05:18:01.352,-63:22:26.56,79.505633,-63.374044
LMC-109,Gaia DR3 4668957624910036992,04:12:01.964,-66:00:58.36,63.008183,-66.016211
LMC-119,Gaia DR3 4756487787099363968,05:51:51.026,-63:56:37.60,87.962608,-63.943778
LMC-124,Gaia DR3 5481017880523468800,06:08:14.982,-62:07:23.33,92.062425,-62.123147
LMC-204,Gaia DR3 4656482806501297792,04:33:20.143,-68:02:41.87,68.333929,-68.044964
LMC-206,Gaia DR3 4660012685519633920,05:45:46.652,-65:46:35.40,86.444383,-65.7765
LMC-207,Gaia DR3 4660910093171250944,05:32:54.917,-64:53:09.88,83.228821,-64.886078
LMC-215,Gaia DR3 4755821483055814272,05:56:37.323,-66:05:17.85,89.155513,-66.088292
LMC-319,Gaia DR3 4756965486239848192,05:38:55.896,-64:21:50.52,84.7329,-64.364033
LMC-323,Gaia DR3 5264937079429558016,06:17:10.604,-73:59:35.81,94.294183,-73.993281
LMC-400,Gaia DR3 4651431542707782400,05:08:33.774,-72:25:27.55,77.140725,-72.424319
LMC-402,Gaia DR3 4655928343402591104,04:28:27.512,-69:22:08.36,67.114633,-69.368989
LMC-403,Gaia DR3 4660981114748450304,05:27:13.519,-65:11:46.17,81.806329,-65.196158
LMC-404,Gaia DR3 4662748678454160128,04:35:40.896,-66:09:29.18,68.9204,-66.158106
LMC-405,Gaia DR3 4663107359763310720,04:54:16.665,-64:50:01.06,73.569438,-64.833628
LMC-406,Gaia DR3 4663669798635063680,05:15:58.050,-64:49:18.10,78.991875,-64.821694
LMC-407,Gaia DR3 4664647264455036032,04:55:47.448,-64:12:45.29,73.9477,-64.212581
LMC-409,Gaia DR3 4756433807950488704,05:55:03.971,-63:54:43.19,88.766546,-63.911997
LMC-410,Gaia DR3 4756348905044029696,05:42:10.807,-63:53:20.39,85.545029,-63.888997
LMC-411,Gaia DR3 4757031976644052352,05:29:44.001,-63:54:12.14,82.433338,-63.903372
LMC-413,Gaia DR3 4756941576170928768,05:37:05.212,-64:34:42.64,84.271717,-64.578511
LMC-414,Gaia DR3 4757832833412225024,05:27:13.879,-61:48:50.35,81.807829,-61.813986
LMC-416,Gaia DR3 5281967518112541440,06:45:46.181,-66:29:56.95,101.442421,-66.499153
LMC-007,Gaia DR3 4650659174451143680,05:44:58.823,-72:41:45.25,86.245096,-72.695903
LMC-008,Gaia DR3 5283385647596372480,06:27:25.744,-67:01:18.05,96.857267,-67.021681
LMC-101,Gaia DR3 4662819429451108480,04:42:26.547,-65:45:50.31,70.610613,-65.763975
LMC-116,Gaia DR3 4756276543433544448,05:46:35.167,-64:20:32.05,86.646529,-64.342236
LMC-202,Gaia DR3 4651458622492513792,05:04:52.769,-72:20:42.85,76.219871,-72.345236
LMC-217,Gaia DR3 4758409591684845696,05:44:00.168,-62:10:47.41,86.0007,-62.179836
