Found,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
False,Gaia DR3 4663120661281147904,04:53:37.090,-64:43:57.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4656601347599359744,04:33:47.361,-67:37:31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4664232847351765760,05:18:01.352,-63:22:26.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4668957624910036992,04:12:01.964,-66:00:58.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756487787099363968,05:51:51.026,-63:56:37.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Gaia DR3 5481017880523468800,06:08:14.982,-62:07:23.33,Gaia DR3 5481017880523468800,06 08 14.9779,-62 07 23.341,14.0,14.0,0.0329,0.0276,90.0,A,O,2020yCat.1350....0G,,,,,,,,,ChemPec*,,06 08 14.9779,-62 07 23.341,1.625,0.795,0.0267,265.7,1.0
False,Gaia DR3 4656482806501297792,04:33:20.143,-68:02:41.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4660012685519633920,05:45:46.652,-65:46:35.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4660910093171250944,05:32:54.917,-64:53:09.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4755821483055814272,05:56:37.323,-66:05:17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756965486239848192,05:38:55.896,-64:21:50.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 5264937079429558016,06:17:10.604,-73:59:35.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4651431542707782400,05:08:33.774,-72:25:27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4655928343402591104,04:28:27.512,-69:22:08.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4660981114748450304,05:27:13.519,-65:11:46.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4662748678454160128,04:35:40.896,-66:09:29.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4663107359763310720,04:54:16.665,-64:50:01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4663669798635063680,05:15:58.050,-64:49:18.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4664647264455036032,04:55:47.448,-64:12:45.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756433807950488704,05:55:03.971,-63:54:43.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756348905044029696,05:42:10.807,-63:53:20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4757031976644052352,05:29:44.001,-63:54:12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756941576170928768,05:37:05.212,-64:34:42.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4757832833412225024,05:27:13.879,-61:48:50.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 5281967518112541440,06:45:46.181,-66:29:56.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4650659174451143680,05:44:58.823,-72:41:45.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 5283385647596372480,06:27:25.744,-67:01:18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4662819429451108480,04:42:26.547,-65:45:50.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4756276543433544448,05:46:35.167,-64:20:32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4651458622492513792,05:04:52.769,-72:20:42.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Gaia DR3 4758409591684845696,05:44:00.168,-62:10:47.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
