Found,JINA_ID,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,,HD 361,,,HD    361,00 08 16.3616,-14 49 28.168,14,14,0.021,0.0167,90,A,O,2020yCat.1350....0G,,7.65,7.03,,,5.947,5.628,5.556,Star,G1V,00 08 16.3616,-14 49 28.168,-14.371,-11.24,36.6167,8.044,1
True,,HD 1461,,,HD   1461,00 18 41.8676,-08 03 10.803,14,14,0.0255,0.0156,90,A,O,2020yCat.1350....0G,,7.14,6.46,,,5.329,5.041,4.897,HighPM*,G3VFe0.5,00 18 41.8676,-08 03 10.803,417.579,-143.9,42.7308,-10.137,1
True,,HD 2071,,,HD   2071,00 24 42.5482,-53 59 02.393,14,14,0.0106,0.0126,90,A,O,2020yCat.1350....0G,,7.95,7.27,,,6.109,5.781,5.716,HighPM*,G2V,00 24 42.5482,-53 59 02.393,210.591,-28.155,35.2622,6.613,1
True,,HD 4915,,,HD   4915,00 51 10.8478,-05 02 21.401,14,14,0.0176,0.0122,90,A,O,2020yCat.1350....0G,7.792,7.643,6.972,6.604,6.252,5.793,5.416,5.349,HighPM*,G5V,00 51 10.8478,-05 02 21.401,261.885,-119.043,44.5912,-3.692,1
True,,HD 6204,,,HD   6204,01 02 57.4203,-09 51 40.459,14,14,0.0188,0.0116,90,A,O,2020yCat.1350....0G,,9.17,8.53,,,7.348,7.084,6.956,Star,G3V,01 02 57.4203,-09 51 40.459,2.255,16.675,18.7688,-3.026,1
True,,HD 7134,,,HD   7134,01 11 32.0804,-12 50 35.095,14,14,0.0177,0.0139,90,A,O,2020yCat.1350....0G,,8.05,7.48,,,6.395,6.119,6.039,HighPM*,G1V,01 11 32.0804,-12 50 35.095,-30.422,-68.62,24.0052,-16.67,1
True,,HD 8406,,,HD   8406,01 23 00.8737,-16 29 14.860,14,14,0.018,0.0128,90,A,O,2020yCat.1350....0G,,8.58,7.93,,,6.741,6.502,6.375,HighPM*,G3V,01 23 00.8737,-16 29 14.860,-137.851,-175.95,26.5396,-7.747,1
True,,HD 11505,,,HD  11505,01 53 06.1988,-01 19 36.989,14,14,0.0267,0.0182,90,A,O,2020yCat.1350....0G,,8.05,7.42,,,6.239,5.95,5.885,HighPM*,G5V,01 53 06.1988,-01 19 36.989,-186.25,-348.39,25.6303,-16.476,1
True,,HD 12264,,,HD  12264,02 00 05.3379,-13 32 46.000,14,14,0.0189,0.0147,90,A,O,2020yCat.1350....0G,,8.64,7.98,,,6.817,6.539,6.446,HighPM*,G5V,02 00 05.3379,-13 32 46.000,49.419,-20.077,24.5845,19.558,1
True,,HD 12387,,,HD  12387,02 00 32.1252,-40 43 52.490,14,14,0.0103,0.0124,90,A,O,2020yCat.1350....0G,,8.02,7.36,,,6.153,5.844,5.768,HighPM*,G5VFe-0.8CH-0.7,02 00 32.1252,-40 43 52.490,440.402,-430.583,28.4274,-26.559,1
True,,HD 13724,,,HD  13724,02 12 20.6772,-46 48 58.954,14,14,0.0128,0.0154,90,A,O,2020yCat.1350....0G,,8.56,7.87,,,6.728,6.482,6.378,HighPM*,G3/5V,02 12 20.6772,-46 48 58.954,-30.624,-69.088,23.0157,20.504,1
True,,HD 19467,,,HD  19467,03 07 18.5750,-13 45 42.417,14,14,0.0212,0.0196,90,A,O,2020yCat.1350....0G,,7.65,7.0,7.79,8.82,5.801,5.447,5.401,HighPM*,G3V,03 07 18.5750,-13 45 42.417,-8.694,-260.642,31.2191,6.953,1
True,,HD 20619,,,HD  20619,03 19 01.8943,-02 50 35.493,14,14,0.0178,0.0183,90,A,O,2020yCat.1350....0G,7.82,7.697,7.039,6.691,6.343,5.876,5.552,5.469,HighPM*,G1.5V,03 19 01.8943,-02 50 35.493,253.735,-100.736,41.671,22.719,1
True,,HD 20766,,,* zet01 Ret,03 17 46.1634,-62 34 31.152,14,14,0.0401,0.0457,90,A,O,2020yCat.1350....0G,6.24,6.18,5.54,5.0,4.66,4.41,4.07,4.0,HighPM*,G2.5VHdel1,03 17 46.1634,-62 34 31.152,1337.53,649.84,83.024,12.488,1
True,,HD 20782,,,HD  20782,03 20 03.5777,-28 51 14.660,14,14,0.0071,0.0111,90,A,O,2020yCat.1350....0G,,8.03,7.38,,,6.229,5.956,5.827,HighPM*,G1.5V,03 20 03.5777,-28 51 14.660,349.054,-65.305,27.876,39.902,1
True,,HD 20807,,,* zet02 Ret,03 18 12.8188,-62 30 22.904,14,14,0.0598,0.0598,90,A,O,2020yCat.1350....0G,,5.814,5.228,,,4.27,3.87,3.86,**,G1V,03 18 12.8188,-62 30 22.904,1331.027,647.725,83.0606,11.953,1
True,,HD 27063,,,HD  27063,04 16 30.2412,-00 34 22.092,14,14,0.0203,0.0169,90,A,O,2020yCat.1350....0G,,8.71,8.07,,,6.875,6.607,6.522,HighPM*,G3V,04 16 30.2412,-00 34 22.092,-61.099,-172.101,23.2622,-9.649,1
