Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,M/H,e_M/H
HD 108317,HD 108317,,,12:26:36.8320,+05:18:09.024,186.65346649466997,5.3025066065,5100,200,2.67,0.2,1.50,0.2,-2.37,0.20
HD 128279,HD 128279,,,14:36:48.5109,-29:06:46.613,219.2021285524996,-29.112948016248332,5080,200,2.57,0.2,1.60,0.2,-2.46,0.22
