Query_ID                    , Found, RA_input, DEC_input, PMRA_2, DEC_input, RA_4         , pmra               , PMRA  , RA_input, RA_3         , RA           , RA_PREC, parallax_error, DEC_4        , RA_2         , DEC_2        , DEC_PREC, DEC          , DEC_3        , ra                , PMDEC  , PMDEC_2, PMRA_3, parallax            , pmdec              , PMDEC_3, radial_velocity, dec                , Error                                                                , FLUX_B_1, FLUX_U, FLUX_B_2, FLUX_K_2, phot_bp_mean_mag, FLUX_H_1, COO_BIBCODE        , phot_rp_mean_mag, FLUX_J, SP_TYPE_2, FLUX_J_1, phot_g_mean_mag, COO_WAVELENGTH, SOURCE_ID            , FLUX_K_1, FLUX_H_2, FLUX_J_2, FLUX_H, PLX_VALUE, OTYPE_2     , FLUX_K, PLX_VALUE_2, FLUX_V_2, OTYPE_3     , FLUX_V_1, COO_ERR_MINA, FLUX_I_2, FLUX_R, FLUX_R_2, COO_ERR_ANGLE, FLUX_U_1, SP_TYPE, COO_ERR_MAJA, FLUX_U_2, COO_QUAL, RV_VALUE_3, SP_TYPE_3, FLUX_B, FLUX_R_1, MAIN_ID                     , PLX_VALUE_3, SCRIPT_NUMBER_ID, FLUX_I_1, FLUX_V, FLUX_I, RV_VALUE , RV_VALUE_2, OTYPE
2MASS J01234438-7332025     , False,         ,          , 5.142 ,          , 01 23 44.3701,                    , 5.142 ,         , 01 23 44.3701, 01 23 44.3701,    14.0,               , -73 32 02.524, 01 23 44.3701, -73 32 02.524,     14.0, -73 32 02.524, -73 32 02.524,                   , -0.812 , -0.812 , 5.142 ,                     ,                    , -0.812 ,                ,                    , Could not find a numeric Gaia source_id in '2MASS J01234438-7332025' ,   13.65 ,       ,   13.65 ,    9.767,                 ,    9.88 , 2020yCat.1350....0G,                 , 10.492,          ,   10.492,                , O             ,                      ,    9.767,    9.88 ,   10.492,  9.88 ,    0.0995, ChemPec*    ,  9.767,      0.0995,   12.55 , ChemPec*    ,   12.55 ,       0.0082,         ,       ,         ,          90.0,         ,        ,       0.0098,         , A       , -57.0     ,          , 13.65 ,         , 2MASS J01234438-7332025     ,      0.0995,              1.0,         , 12.55 ,       , -57.0    , -57.0     , ChemPec*
2MASS J14362653-3127262     , False,         ,          , -2.75 ,          , 14 36 26.5359,                    , -2.75 ,         , 14 36 26.5359, 14 36 26.5359,    14.0,               , -31 27 26.222, 14 36 26.5359, -31 27 26.222,     14.0, -31 27 26.222, -31 27 26.222,                   , -1.208 , -1.208 , -2.75 ,                     ,                    , -1.208 ,                ,                    , Could not find a numeric Gaia source_id in '2MASS J14362653-3127262' ,   14.725,       ,   14.725,   10.688,                 ,   10.82 , 2020yCat.1350....0G,                 , 11.435,          ,   11.435,                , O             ,                      ,   10.688,   10.82 ,   11.435, 10.82 ,    0.0051, ChemPec*    , 10.688,      0.0051,   13.635, ChemPec*    ,   13.635,       0.0151,         , 13.483,   13.483,          90.0,         ,        ,       0.0155,         , A       , 199.90516 ,          , 14.725,   13.483, UCAC4 293-078318            ,      0.0051,              1.0,         , 13.635,       , 199.90516, 199.90516 , ChemPec*
2MASS J20055457-0928302     , False,         ,          , -7.119,          , 20 05 54.5796,                    , -7.119,         , 20 05 54.5796, 20 05 54.5796,    14.0,               , -09 28 30.157, 20 05 54.5796, -09 28 30.157,     14.0, -09 28 30.157, -09 28 30.157,                   , -6.241 , -6.241 , -7.119,                     ,                    , -6.241 ,                ,                    , Could not find a numeric Gaia source_id in '2MASS J20055457-0928302' ,   15.184,       ,   15.184,    7.723,                 ,    8.077, 2020yCat.1350....0G,                 ,  8.998,          ,    8.998,                , O             ,                      ,    7.723,    8.077,    8.998,  8.077,    0.0869, LongPeriodV*,  7.723,      0.0869,   13.492, LongPeriodV*,   13.492,       0.0167,         , 12.966,   12.966,          90.0,         ,        ,       0.0221,         , A       , -51.74    ,          , 15.184,   12.966, ATO J301.4773-09.4750       ,      0.0869,              1.0,         , 13.492,       , -51.74   , -51.74    , LongPeriodV*
Gaia DR3 4348475068024891776, True ,         ,          ,       ,          ,              , 10.612852145009125 ,       ,         ,              ,              ,        ,    0.015674636,              ,              ,              ,         ,              ,              , 242.63458901020093,        ,        ,       , 0.1582578250543222  , -5.897112608269251 ,        , -142.24763     , -8.260693273003724 ,                                                                      ,         ,       ,         ,         ,        13.778419,         ,                    ,        12.513052,       ,          ,         ,       13.229983,               , 4.348475068024892e+18,         ,         ,         ,       ,          ,             ,       ,            ,         ,             ,         ,             ,         ,       ,         ,              ,         ,        ,             ,         ,         ,           ,          ,       ,         ,                             ,            ,                 ,         ,       ,       ,          ,           , 
Gaia DR3 6308927046493238528, True ,         ,          ,       ,          ,              , -0.250828176195263 ,       ,         ,              ,              ,        ,    0.022725249,              ,              ,              ,         ,              ,              , 226.25888112673744,        ,        ,       , 0.047575454016094504, -7.449533238380787 ,        , -237.68117     , -13.738953843436517,                                                                      ,         ,       ,         ,         ,        14.267475,         ,                    ,        13.036109,       ,          ,         ,       13.733918,               , 6.308927046493238e+18,         ,         ,         ,       ,          ,             ,       ,            ,         ,             ,         ,             ,         ,       ,         ,              ,         ,        ,             ,         ,         ,           ,          ,       ,         ,                             ,            ,                 ,         ,       ,       ,          ,           , 
Gaia DR3 6725661847747358336, True ,         ,          ,       ,          ,              , -10.090384178151444,       ,         ,              ,              ,        ,    0.016992517,              ,              ,              ,         ,              ,              , 272.43169186461097,        ,        ,       , 0.17004794664045428 , -14.046177578569761,        , 466.00214      , -40.86888561990257 ,                                                                      ,         ,       ,         ,         ,        13.768646,         ,                    ,        12.611086,       ,          ,         ,       13.278628,               , 6.725661847747359e+18,         ,         ,         ,       ,          ,             ,       ,            ,         ,             ,         ,             ,         ,       ,         ,              ,         ,        ,             ,         ,         ,           ,          ,       ,         ,                             ,            ,                 ,         ,       ,       ,          ,           , 
Gaia DR3 6726207068062588160, True ,         ,          , -6.974,          , 18 21 50.8206, -6.974008195977719 , -6.974,         , 18 21 50.8206, 18 21 50.8206,    14.0,    0.013716891, -41 03 33.574, 18 21 50.8206, -41 03 33.574,     14.0, -41 03 33.574, -41 03 33.574, 275.4617115885715 , -12.936, -12.936, -6.974, 0.15643338604049764 , -12.935873705892288, -12.936, 24.26144       , -41.059383655289224,                                                                      ,         ,       ,         ,         ,        13.672575,         , 2020yCat.1350....0G,        12.598391,       ,          ,         ,       13.227261, O             , 6.726207068062588e+18,         ,         ,         ,       ,    0.1564, ChemPec*    ,       ,      0.1564,         , ChemPec*    ,         ,       0.0106,         ,       ,         ,          90.0,         ,        ,       0.0118,         , A       , 24.26     ,          ,       ,         , Gaia DR3 6726207068062588160,      0.1564,              1.0,         ,       ,       , 24.26    , 24.26     , ChemPec*
SMSS J030634.26-750133.3    , False,         ,          , 9.259 ,          , 03 06 34.2706,                    , 9.259 ,         , 03 06 34.2706, 03 06 34.2706,    14.0,               , -75 01 33.199, 03 06 34.2706, -75 01 33.199,     14.0, -75 01 33.199, -75 01 33.199,                   , -7.486 , -7.486 , 9.259 ,                     ,                    , -7.486 ,                ,                    , Could not find a numeric Gaia source_id in 'SMSS J030634.26-750133.3',         ,       ,         ,         ,                 ,         , 2020yCat.1350....0G,                 ,       ,          ,         ,                , O             ,                      ,         ,         ,         ,       ,    0.1879, ChemPec*    ,       ,      0.1879,         , ChemPec*    ,         ,       0.011 ,         ,       ,         ,          90.0,         ,        ,       0.0119,         , A       , 145.83    ,          ,       ,         , SMSS J030634.26-750133.3    ,      0.1879,              1.0,         ,       ,       , 145.83   , 145.83    , ChemPec*
SMSS J030740.92-610018.8    , False,         ,          , 2.902 ,          , 03 07 40.9499,                    , 2.902 ,         , 03 07 40.9499, 03 07 40.9499,    14.0,               , -61 00 18.764, 03 07 40.9499, -61 00 18.764,     14.0, -61 00 18.764, -61 00 18.764,                   , -2.782 , -2.782 , 2.902 ,                     ,                    , -2.782 ,                ,                    , Could not find a numeric Gaia source_id in 'SMSS J030740.92-610018.8',         ,       ,         ,         ,                 ,         , 2020yCat.1350....0G,                 ,       ,          ,         ,                , O             ,                      ,         ,         ,         ,       ,    0.0767, ChemPec*    ,       ,      0.0767,         , ChemPec*    ,         ,       0.013 ,         ,       ,         ,          90.0,         ,        ,       0.0148,         , A       , 297.78    ,          ,       ,         , SMSS J030740.92-610018.8    ,      0.0767,              1.0,         ,       ,       , 297.78   , 297.78    , ChemPec*
SMSS J090921.70-163821.1    , False,         ,          ,       ,          , 09 09 21.7104,                    ,       ,         , 09 09 21.7104, 09 09 21.7104,    12.0,               , -16 38 21.163, 09 09 21.7104, -16 38 21.163,     12.0, -16 38 21.163, -16 38 21.163,                   ,        ,        ,       ,                     ,                    ,        ,                ,                    , Could not find a numeric Gaia source_id in 'SMSS J090921.70-163821.1',         ,       ,         ,         ,                 ,         , 2018PASA...35...10W,                 ,       ,          ,         ,                , O             ,                      ,         ,         ,         ,       ,          , ChemPec*    ,       ,            ,         , ChemPec*    ,         ,      36.0   ,         ,       ,         ,          90.0,         ,        ,      34.0   ,         , C       ,           ,          ,       ,         , SMSS J090921.70-163821.1    ,            ,              1.0,         ,       ,       ,          ,           , ChemPec*
