CS29497-034 d,a,b 0.7 1.50 4900   -2.90 0.27   8.25 0.29   2.60 0.10 0.09   2.69 0.10 -0.70: 10.4159155255559   -26.3151288747604
10_8_3963   b     0.7 1.08 4513 > -3.00        8.10 0.15                               0.80: 14.984029166666666 -33.718025000000004
10_7_486    b     0.7 1.05 4523 > -2.64        7.96 0.15                               0.36: 15.189229166666667 -33.87074444444445
11_1_6440   b     0.7 1.29 4605 > -2.78        7.82 0.15                              -0.18: 14.750533333333333 -33.64748888888889
11_1_4121   b     0.7 1.24 4579 > -3.03        7.52 0.10                              -0.53: 14.9210375         -33.757022222222226
11_1_4422   b     1.0 1.75 4810   -2.85 0.23   6.80 0.34   1.10 0.25 0.16   1.26 0.25        14.90255           -33.677363888888884
6_5_1598    b     1.0 1.08 4516   -2.83 0.16   6.02 0.26   0.30 0.20 0.65   0.95 0.20        14.996220833333334 -33.61247222222222
11_2_661    b     1.0 1.16 4550   -2.93 0.17   5.67 0.23   0.05 0.15 0.67   0.72 0.15        14.856795833333333 -33.97261666666667
10_8_1566   b     1.0 1.53 4659   -2.11 0.34   5.84 0.40  -0.60 0.20 0.47  -0.13 0.20        15.141420833333333 -33.668955555555556
7_4_2408    b     1.0 1.06 4524   -2.64 0.16   5.51 0.26  -0.40 0.20 0.72   0.32 0.20        14.876795833333333 -33.60145277777778
11_1_4673   b     1.0 1.21 4570   -2.94 0.18   5.31 0.27  -0.30 0.20 0.65   0.35 0.20        14.890145833333333 -33.819472222222224
10_8_3804         1.0 1.62 4752 > -2.78        8.24 0.22                                     14.995445833333333 -33.848225
11_1_3334   d     1.0 1.62 4721                7.88 0.15                                     14.9567375         -33.67827222222222
6_5_505     d     1.0 1.57 4706                7.52 0.15                                     15.190679166666667 -33.643008333333334
11_2_556          1.0 2.04 4939 > -3.27        7.48 0.20                                     14.90795           -33.924077777777775
7_4_3280          0.7 3.59 5518   -2.41 0.25 < 6.84      < 0.70      0.00 < 0.70             14.654479166666667 -33.56891666666667
10_8_2714         1.0 3.02 5328   -2.96 0.38 < 6.59      < 1.00      0.01 < 1.01             15.061408333333333 -33.85508055555556
10_8_3810         1.0 2.69 5199   -3.10 0.33 < 6.15      < 0.70      0.01 < 0.71             14.99435           -33.724805555555555
6_5_1035          0.7 1.27 4589   -2.86 0.20   5.69 0.28   0.00 0.20 0.61   0.61 0.20        15.080554166666667 -33.619927777777775
10_8_1226         1.0 1.47 4685   -3.05 0.21   5.68 0.33   0.18 0.25 0.44   0.62 0.25        15.1789875         -33.78509722222222
10_7_442          1.0 1.61 4752   -3.33 0.22   5.67 0.30   0.45 0.20 0.29   0.74 0.20        15.209808333333333 -33.87101944444444
7_4_1992          1.0 1.66 4769   -3.14 0.22   5.60 0.33   0.19 0.25 0.23   0.42 0.25        14.926241666666666 -33.59646666666667
11_1_4296         1.0 1.52 4720   -3.99 0.22 < 5.56      < 1.00      0.36 < 1.36             14.911454166666667 -33.770716666666665
11_1_6015         1.0 1.87 4824   -2.42 0.30   5.53 0.36  -0.60 0.20 0.12  -0.48 0.20        14.792725          -33.76482222222222
10_7_790          0.7 1.23 4574   -3.03 0.17   5.47 0.34  -0.05 0.30 0.63   0.58 0.30        15.052654166666667 -33.885933333333334
6_6_402           1.0 1.68 4802   -3.91 0.25 < 5.44      < 0.80      0.17 < 0.97             15.001633333333332 -33.48755833333333
10_7_923          1.0 1.39 4666   -3.87 0.20 < 4.88      < 0.20      0.49 < 0.69             15.004679166666667 -33.989272222222226
