Type           , Name       , Loc, Sci_key, RA_hms     , DEC_dms     , RA_deg            , DEC_deg            , logg, Teff, l_A(C), A(C), e_A(C), l_[Fe/H], [Fe/H], e_[Fe/H], l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]f, [C/Fe]f, e_[C/Fe]f, [Ba/H], Slit, Reference      , Ref
RGB            , 6_5_736    , DW ,        , 01:00:31.87, -33:38:00.22,                   ,                    , 1.23, 4547,       ,     ,       ,         , -3.03 ,     0.18,         , -0.07 ,     0.38,    0.63,          , 0.56   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_948    , DW ,        , 01:00:22.37, -33:38:07.79,                   ,                    , 1.39, 4633,       ,     ,       ,         , -2.50 ,     0.27,         , -0.18 ,     0.35,    0.57,          , 0.39   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_3_243    , DW ,        , 00:59:50.78, -33:31:47.06,                   ,                    , 1.25, 4491,       ,     ,       ,         , -1.48 ,     0.27,         , -1.32 ,     0.32,    0.66,          , -0.66  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_4_1514   , DW ,        , 00:59:54.47, -33:37:53.50,                   ,                    , 1.23, 4479,       ,     ,       ,         , -1.45 ,     0.26,         , -1.14 ,     0.27,    0.64,          , -0.50  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_4_2408   , DW ,        , 00:59:30.43, -33:36:05.23,                   ,                    , 1.07, 4500,       ,     ,       ,         , -2.68 ,     0.16,         , -0.72 ,     0.35,    0.75,          , 0.03   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_4_2750   , DW ,        , 00:59:17.20, -33:38:06.68,                   ,                    , 1.36, 4606,       ,     ,       ,         , -3.05 ,     0.2 ,         , -0.34 ,     0.42,    0.55,          , 0.21   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_4_3182   , DW ,        , 00:58:49.80, -33:37:19.10,                   ,                    , 1.61, 4719,       ,     ,       ,         , -3.05 ,     0.26,         , 0.07  ,     0.37,    0.3 ,          , 0.37   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 7_4_3266   , DW ,        , 00:58:38.77, -33:35:02.28,                   ,                    , 0.98, 4461,       ,     ,       ,         , -2.40 ,     0.15,         , -1.07 ,     0.33,    0.79,          , -0.28  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_7_442   , DW ,        ,            ,             , 15.209808333333333, -33.87101944444444 , 1.61, 4752,       , 5.67,   0.30,         , -3.33 ,     0.22,         , 0.45  ,     0.20,    0.29,          , 0.74   ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 10_7_486   , DW ,        ,            ,             , 15.189229166666667, -33.87074444444445 , 1.05, 4523,       , 7.96,   0.15, >       , -2.64 ,         ,         ,       ,         ,        ,          ,        ,          , 0.36: ,  0.7, Chiti+2018_MagE, CHI18_MagE
               , 10_7_790   , DW ,        ,            ,             , 15.052654166666667, -33.885933333333334, 1.23, 4574,       , 5.47,   0.34,         , -3.03 ,     0.17,         , -0.05 ,     0.30,    0.63,          , 0.58   ,      0.30,       ,  0.7, Chiti+2018_MagE, CHI18_MagE
RGB            , 10_7_923   , DW ,        ,            ,             , 15.004679166666667, -33.989272222222226, 1.39, 4666, <     , 4.88,       ,         , -3.87 ,     0.20, <       , 0.20  ,         ,    0.49, <        , 0.69   ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 10_8_1226  , DW ,        ,            ,             , 15.1789875        , -33.78509722222222 , 1.47, 4685,       , 5.68,   0.33,         , -3.05 ,     0.21,         , 0.18  ,     0.25,    0.44,          , 0.62   ,      0.25,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 10_8_1566  , DW ,        ,            ,             , 15.141420833333333, -33.668955555555556, 1.53, 4659,       , 5.84,   0.40,         , -2.11 ,     0.34,         , -0.60 ,     0.20,    0.47,          , -0.13  ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 10_8_2714  , DW ,        ,            ,             , 15.061408333333333, -33.85508055555556 , 3.02, 5328, <     , 6.59,       ,         , -2.96 ,     0.38, <       , 1.00  ,         ,    0.01, <        , 1.01   ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 10_8_3804  , DW ,        ,            ,             , 14.995445833333333, -33.848225         , 1.62, 4752,       , 8.24,   0.22, >       , -2.78 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 10_8_3810  , DW ,        ,            ,             , 14.99435          , -33.724805555555555, 2.69, 5199, <     , 6.15,       ,         , -3.10 ,     0.33, <       , 0.70  ,         ,    0.01, <        , 0.71   ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 10_8_3963  , DW ,        ,            ,             , 14.984029166666666, -33.718025000000004, 1.08, 4513,       , 8.10,   0.15, >       , -3.00 ,         ,         ,       ,         ,        ,          ,        ,          , 0.80: ,  0.7, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 11_1_3334  , DW ,        ,            ,             , 14.9567375        , -33.67827222222222 , 1.62, 4721,       , 7.88,   0.15,         ,       ,         ,         ,       ,         ,        ,          ,        ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 11_1_4121  , DW ,        ,            ,             , 14.9210375        , -33.757022222222226, 1.24, 4579,       , 7.52,   0.10, >       , -3.03 ,         ,         ,       ,         ,        ,          ,        ,          , -0.53:,  0.7, Chiti+2018_MagE, CHI18_MagE
RGB            , 11_1_4296  , DW ,        ,            ,             , 14.911454166666667, -33.770716666666665, 1.52, 4720, <     , 5.56,       ,         , -3.99 ,     0.22, <       , 1.00  ,         ,    0.36, <        , 1.36   ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 11_1_4422  , DW ,        ,            ,             , 14.90255          , -33.677363888888884, 1.75, 4810,       , 6.80,   0.34,         , -2.85 ,     0.23,         , 1.10  ,     0.25,    0.16,          , 1.26   ,      0.25,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 11_1_4673  , DW ,        ,            ,             , 14.890145833333333, -33.819472222222224, 1.21, 4570,       , 5.31,   0.27,         , -2.94 ,     0.18,         , -0.30 ,     0.20,    0.65,          , 0.35   ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 11_1_6015  , DW ,        ,            ,             , 14.792725         , -33.76482222222222 , 1.87, 4824,       , 5.53,   0.36,         , -2.42 ,     0.30,         , -0.60 ,     0.20,    0.12,          , -0.48  ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 11_1_6440  , DW ,        ,            ,             , 14.750533333333333, -33.64748888888889 , 1.29, 4605,       , 7.82,   0.15, >       , -2.78 ,         ,         ,       ,         ,        ,          ,        ,          , -0.18:,  0.7, Chiti+2018_MagE, CHI18_MagE
               , 11_2_556   , DW ,        ,            ,             , 14.90795          , -33.924077777777775, 2.04, 4939,       , 7.48,   0.20, >       , -3.27 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 11_2_661   , DW ,        ,            ,             , 14.856795833333333, -33.97261666666667 , 1.16, 4550,       , 5.67,   0.23,         , -2.93 ,     0.17,         , 0.05  ,     0.15,    0.67,          , 0.72   ,      0.15,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 6_5_1035   , DW ,        ,            ,             , 15.080554166666667, -33.619927777777775, 1.27, 4589,       , 5.69,   0.28,         , -2.86 ,     0.20,         , 0.00  ,     0.20,    0.61,          , 0.61   ,      0.20,       ,  0.7, Chiti+2018_MagE, CHI18_MagE
RGB            , 6_5_1598   , DW ,        ,            ,             , 14.996220833333334, -33.61247222222222 , 1.08, 4516,       , 6.02,   0.26,         , -2.83 ,     0.16,         , 0.30  ,     0.20,    0.65,          , 0.95   ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
CEMP-s         , 6_5_505    , DW ,        ,            ,             , 15.190679166666667, -33.643008333333334, 1.57, 4706,       , 7.52,   0.15,         ,       ,         ,         ,       ,         ,        ,          ,        ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 6_6_402    , DW ,        ,            ,             , 15.001633333333332, -33.48755833333333 , 1.68, 4802, <     , 5.44,       ,         , -3.91 ,     0.25, <       , 0.80  ,         ,    0.17, <        , 0.97   ,          ,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 7_4_1992   , DW ,        ,            ,             , 14.926241666666666, -33.59646666666667 , 1.66, 4769,       , 5.60,   0.33,         , -3.14 ,     0.22,         , 0.19  ,     0.25,    0.23,          , 0.42   ,      0.25,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
RGB            , 7_4_2408   , DW ,        ,            ,             , 14.876795833333333, -33.60145277777778 , 1.06, 4524,       , 5.51,   0.26,         , -2.64 ,     0.16,         , -0.40 ,     0.20,    0.72,          , 0.32   ,      0.20,       ,  1.0, Chiti+2018_MagE, CHI18_MagE
               , 7_4_3280   , DW ,        ,            ,             , 14.654479166666667, -33.56891666666667 , 3.59, 5518, <     , 6.84,       ,         , -2.41 ,     0.25, <       , 0.70  ,         ,    0.00, <        , 0.70   ,          ,       ,  0.7, Chiti+2018_MagE, CHI18_MagE
               , CS29497-034, DW ,        ,            ,             , 10.4159155255559  , -26.3151288747604  , 1.50, 4900,       , 8.25,   0.29,         , -2.90 ,     0.27,         , 2.60  ,     0.10,    0.09,          , 2.69   ,      0.10, -0.70:,  0.7, Chiti+2018_MagE, CHI18_MagE
