Type           , Name       , Loc, Sci_key, RA_hms     , DEC_dms     , RA_deg            , DEC_deg            , logg, Teff, l_A(C), A(C), e_A(C), l_[Fe/H], [Fe/H], e_[Fe/H], l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]f, [C/Fe]f, e_[C/Fe]f, [Ba/H], Slit, Reference      , Ref
RGB            , 10_8_2558  , DW ,        , 01:00:17.03, -33:42:47.26,                   ,                    , 1.88, 4837,       ,     ,       ,         , -2.91 ,     0.28,         , 0.22  ,     0.47,    0.09,          , 0.31   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2635  , DW ,        , 01:00:15.87, -33:45:01.90,                   ,                    , 1.39, 4616,       ,     ,       ,         , -3.05 ,     0.2 ,         , -0.28 ,     0.36,    0.52,          , 0.24   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2647  , DW ,        , 01:00:15.67, -33:45:59.96,                   ,                    , 1.49, 4680,       ,     ,       ,         , -2.39 ,     0.29,         , -0.11 ,     0.34,    0.52,          , 0.41   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_265   , DW ,        , 01:01:27.22, -33:45:15.31,                   ,                    , 1.51, 4671,       ,     ,       ,         , -3.05 ,     0.22,         , 0.37  ,     0.34,    0.41,          , 0.78   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2669  , DW ,        , 01:00:15.26, -33:45:49.87,                   ,                    , 1.83, 4814,       ,     ,       ,         , -2.94 ,     0.23,         , -0.03 ,     0.38,    0.1 ,          , 0.07   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2730  , DW ,        , 01:00:14.49, -33:47:50.49,                   ,                    , 1.35, 4601,       ,     ,       ,         , -2.86 ,     0.22,         , -0.37 ,     0.40,    0.57,          , 0.20   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2818  , DW ,        , 01:00:12.95, -33:42:03.91,                   ,                    , 1.2 , 4532,       ,     ,       ,         , -2.83 ,     0.19,         , -0.18 ,     0.34,    0.66,          , 0.48   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2824  , DW ,        , 01:00:12.77, -33:38:53.56,                   ,                    , 1.45, 4646,       ,     ,       ,         , -3.14 ,     0.22,         , 0.39  ,     0.31,    0.45,          , 0.84   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2908  , DW ,        , 01:00:11.72, -33:44:50.34,                   ,                    , 0.99, 4451,       ,     ,       ,         , -2.78 ,     0.15,         , -0.53 ,     0.32,    0.75,          , 0.22   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2927  , DW ,        , 01:00:11.30, -33:39:35.67,                   ,                    , 1.18, 4527,       ,     ,       ,         , -2.94 ,     0.17,         , 0.03  ,     0.39,    0.65,          , 0.68   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_2933  , DW ,        , 01:00:11.19, -33:40:38.65,                   ,                    , 1.78, 4790,       ,     ,       ,         , -2.96 ,     0.23, <       , 0.25  ,         ,    0.14, <        , 0.39   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_3045  , DW ,        , 01:00:09.72, -33:47:00.79,                   ,                    , 2.49, 5100,       ,     ,       ,         , -2.55 ,     0.28,         , 0.16  ,     0.39,    0.01,          , 0.17   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_3111  , DW ,        , 01:00:08.86, -33:49:49.67,                   ,                    , 2.65, 5066,       ,     ,       ,         , -1.15 ,     0.37,         , -0.86 ,     0.30,    0.02,          , -0.84  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3167  , DW ,        , 01:00:07.86, -33:47:07.62,                   ,                    , 1.51, 4672,       ,     ,       ,         , -3.05 ,     0.22,         , 0.11  ,     0.42,    0.4 ,          , 0.51   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_3188  , DW ,        , 01:00:07.66, -33:49:46.99,                   ,                    , 3.32, 5394,       ,     ,       ,         , -1.98 ,     0.45, <       , 0.00  ,         ,    0.0 , <        , 0.00   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_320   , DW ,        , 01:01:22.24, -33:46:21.81,                   ,                    , 1.1 , 4493,       ,     ,       ,         , -3.00 ,     0.15,         , -0.39 ,     0.40,    0.72,          , 0.33   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3315  , DW ,        , 01:00:05.93, -33:45:56.39,                   ,                    , 0.99, 4465,       ,     ,       ,         , -2.54 ,     0.18,         , -0.59 ,     0.35,    0.76,          , 0.17   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3520  , DW ,        , 01:00:03.27, -33:47:44.44,                   ,                    , 1.33, 4591,       ,     ,       ,         , -2.85 ,     0.21,         , -0.38 ,     0.38,    0.59,          , 0.21   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_3558  , DW ,        , 01:00:02.65, -33:49:18.73,                   ,                    , 3.02, 5309,       ,     ,       ,         , -2.48 ,     0.31, <       , 0.4   ,         ,    0.01, <        , 0.41   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3625  , DW ,        , 01:00:01.44, -33:51:16.74,                   ,                    , 1.0 , 4469,       ,     ,       ,         , -2.11 ,     0.17,         , -0.84 ,     0.31,    0.75,          , -0.09  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3698  , DW ,        , 01:00:00.04, -33:45:28.81,                   ,                    , 1.18, 4546,       ,     ,       ,         , -2.59 ,     0.21,         , -0.47 ,     0.38,    0.69,          , 0.22   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3709  , DW ,        , 00:59:59.95, -33:47:02.03,                   ,                    , 1.67, 4742,       ,     ,       ,         , -2.85 ,     0.24,         , 0.26  ,     0.40,    0.25,          , 0.51   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_3723  , DW ,        , 00:59:59.92, -33:51:11.79,                   ,                    , 2.96, 5286,       ,     ,       ,         , -2.38 ,     0.82, <       , 0.40  ,         ,    0.01, <        , 0.41   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_3751  , DW ,        , 00:59:59.33, -33:44:24.34,                   ,                    , 1.6 , 4711,       ,     ,       ,         , -3.05 ,     0.24,         , 0.18  ,     0.39,    0.3 ,          , 0.48   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_8_3804  , DW , S      , 00:59:58.91, -33:50:53.61,                   ,                    , 1.63, 4727,       ,     ,       , >       , -3.15 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_8_3926  , DW , S      , 00:59:56.73, -33:39:37.54,                   ,                    , 1.36, 4626,       ,     ,       , >       , -3.76 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_8_3963  , DW , S      , 00:59:56.17, -33:43:04.89,                   ,                    , 1.09, 4488,       ,     ,       , >       , -3.09 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_4014  , DW ,        , 00:59:55.48, -33:45:51.48,                   ,                    , 2.88, 5244,       ,     ,       ,         , -2.99 ,     0.42,         , 0.64  ,     0.51,    0.01,          , 0.65   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_4020  , DW ,        , 00:59:55.22, -33:42:11.34,                   ,                    , 1.4 , 4624,       ,     ,       ,         , -3.05 ,     0.21,         , -0.07 ,     0.36,    0.51,          , 0.44   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_4247  , DW ,        , 00:59:51.56, -33:45:07.76,                   ,                    , 3.32, 5419,       ,     ,       ,         , -2.84 ,     0.39, <       , 0.40  ,         ,    0.0 , <        , 0.40   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_4250  , DW ,        , 00:59:51.51, -33:44:02.67,                   ,                    , 1.29, 4573,       ,     ,       ,         , -2.73 ,     0.22,         , -0.75 ,     0.40,    0.63,          , -0.12  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_436   , DW ,        , 01:01:14.95, -33:47:21.34,                   ,                    , 3.35, 5404,       ,     ,       ,         , -1.42 ,     0.83,         , -0.47 ,     0.57,    0.0 ,          , -0.47  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 10_8_437   , DW , S      , 01:01:15.05, -33:50:02.63,                   ,                    , 1.24, 4553,       ,     ,       , >       , -3.20 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 10_8_440   , DW ,        , 01:01:14.29, -33:39:27.82,                   ,                    , 3.59, 5493,       ,     ,       ,         , -1.65 ,     0.2 ,         , -0.45 ,     0.31,    0.0 ,          , -0.45  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_462   , DW ,        , 01:01:13.19, -33:43:20.56,                   ,                    , 1.53, 4681,       ,     ,       ,         , -3.06 ,     0.22,         , 0.28  ,     0.36,    0.38,          , 0.66   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 10_8_577   , DW ,        , 01:01:06.92, -33:46:13.15,                   ,                    , 1.74, 4773,       ,     ,       ,         , -3.23 ,     0.27,         , 0.61  ,     0.39,    0.17,          , 0.78   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
