Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Cr I,5247.565,0.961,-1.640,,,81.7,4.25,,,,,,,48.1,3.58,,
Cr I,5296.691,0.983,-1.400,37.1,3.25,,,,,36.5,3.26,,,72.0,3.74,,
Cr I,5298.272,0.983,-1.150,48.9,3.20,,,14.2,2.30,61.4,3.44,,,67.8,3.42,60.8,3.44
Cr I,5300.745,0.983,-2.120,,,,,,,,,,,,,19.2,3.66
Cr I,5345.796,1.004,-0.980,49.0,3.05,111.7,4.18,27.4,2.51,70.8,3.46,,,93.5,3.72,71.0,3.45
Cr I,5348.315,1.004,-1.290,33.5,3.10,100.4,4.27,12.8,2.42,48.3,3.38,,,87.6,3.92,59.9,3.59
Cr I,5409.784,1.030,-0.720,63.5,3.05,,,32.0,2.37,93.5,3.68,,,100.3,3.61,77.5,3.32
Fe I,4859.741,2.875,-0.764,66.2,4.84,,,54.1,4.52,91.4,5.41,,,,,85.5,5.21
Fe I,4871.317,2.865,-0.363,94.4,4.95,,,70.8,4.41,,,,,,,,
Fe I,4872.136,2.882,-0.567,,,,,58.9,4.42,,,25.9,3.93,,,,
Fe I,4890.754,2.875,-0.394,,,,,68.9,4.42,,,,,,,,
Fe I,4891.492,2.851,-0.112,,,,,,,,,76.2,4.16,,,,
Fe I,4903.308,2.882,-0.926,63.9,4.97,,,,,80.2,5.34,,,99.4,5.55,,
Fe I,4918.993,2.865,-0.342,,,,,84.5,4.66,,,60.1,4.20,,,,
Fe I,4920.502,2.832,0.068,,,,,,,,,77.1,3.97,,,,
Fe I,4924.770,2.279,-2.241,,,,,30.0,4.82,85.1,6.04,,,78.3,5.74,,
Fe I,4938.813,2.875,-1.077,46.2,4.82,,,33.0,4.45,89.0,5.66,,,73.8,5.21,,
Fe I,4957.596,2.808,0.233,,,,,,,,,86.5,3.89,,,,
Fe I,4966.089,3.332,-0.871,51.2,5.23,,,39.4,4.92,70.6,5.62,,,80.5,5.68,67.8,5.54
Fe I,4969.916,4.217,-0.710,,,,,,,24.2,5.61,,,,,,
Fe I,4973.101,3.960,-0.950,,,,,,,42.5,5.93,,,46.9,5.93,,
Fe I,5001.862,3.881,0.010,,,,,24.7,4.40,,,,,97.0,5.77,,
Fe I,5002.789,3.396,-1.580,,,,,,,,,,,41.0,5.79,,
Fe I,5006.117,2.832,-0.638,,,,,75.1,4.71,,,53.1,4.36,,,99.7,5.28
Fe I,5012.067,0.859,-2.642,,,,,,,,,74.6,4.29,,,,
Fe I,5014.941,3.943,-0.303,37.3,5.14,,,,,52.9,5.44,,,56.3,5.42,,
Fe I,5022.235,3.984,-0.530,24.2,5.15,,,,,,,,,,,,
Fe I,5028.126,3.573,-1.123,,,32.2,5.48,,,,,,,49.7,5.69,,
Fe I,5044.210,2.851,-2.038,28.4,5.42,74.3,6.24,,,40.9,5.67,,,,,,
Fe I,5049.819,2.279,-1.355,,,,,71.5,4.67,,,,,,,,
Fe I,5051.634,0.915,-2.795,,,,,,,,,67.3,4.41,,,,
Fe I,5068.765,2.940,-1.042,,,83.6,5.50,24.9,4.31,,,,,87.7,5.49,,
Fe I,5074.748,4.220,-0.200,,,77.7,6.06,,,,,,,,,,
Fe I,5090.767,4.256,-0.400,,,,,,,,,,,,,23.3,5.34
Fe I,5125.112,4.220,-0.140,,,,,,,39.0,5.34,,,61.6,5.66,,
Fe I,5131.468,2.223,-2.515,,,,,17.9,4.72,50.7,5.57,,,61.0,5.63,,
Fe I,5133.681,4.178,0.140,,,,,35.1,4.84,74.9,5.68,,,83.2,5.70,,
Fe I,5141.739,2.424,-1.964,37.8,5.01,70.5,5.59,,,46.1,5.18,,,,,,
Fe I,5191.454,3.038,-0.551,,,,,53.5,4.47,91.3,5.34,,,,,73.1,4.94
Fe I,5192.343,2.998,-0.421,77.2,4.80,96.6,5.17,,,91.1,5.15,,,,,79.1,4.86
Fe I,5194.941,1.557,-2.090,,,,,,,,,34.0,4.01,,,,
Fe I,5196.059,4.256,-0.493,,,,,,,,,,,31.8,5.54,,
Fe I,5198.711,2.223,-2.135,,,74.2,5.57,30.0,4.63,,,,,89.2,5.72,,
